case,frequency_real,frequency_imag,v(out)_real,v(out)_imag,v(vn)_real,v(vn)_imag,v(sum)_real,v(sum)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(iin)_real,i(iin)_imag,i(rf)_real,i(rf)_imag,i(cf)_real,i(cf)_imag,i(vn)_real,i(vn)_imag,i(ci)_real,i(ci)_imag
1,36.86945064519569,0.0,-99999.89517427777,23.53546501873311,0.0,0.0,0.1003049361461308,0.3694377004715363,0.0,0.0,0.4994989644237648,1.167464065421342e-07,1.0,0.0,-0.9999999547921392,0.0002316602731826158,-5.366586071805109e-08,-0.0002316575801049324,0.4994989644237648,1.167464065421342e-07,-8.558304755979345e-09,2.323639983066035e-09
1,38.31186849557281,0.0,-99999.89480749522,24.45622656076289,0.0,0.0,0.1003118717344478,0.3838909530297201,0.0,0.0,0.4994989647675538,1.213137112987539e-07,1.0,0.0,-0.9999999511936696,0.0002407233560773317,-5.794706329996054e-08,-0.0002407205574732919,0.4994989647675538,1.213137112987539e-07,-9.241044873248244e-09,2.414713086363847e-09
1,39.81071705534965,0.0,-99999.89441145251,25.41301040689548,0.0,0.0,0.1003193606738932,0.3989096499540778,0.0,0.0,0.4994989651368087,1.260596893537524e-07,1.0,0.0,-0.9999999473081319,0.0002501410075694141,-6.256979948487145e-08,-0.0002501380992902122,0.4994989651368087,1.260596893537524e-07,-9.978250688576363e-09,2.509369552321062e-09
1,41.36820402388499,0.0,-99999.89398381545,26.40722583159477,0.0,0.0,0.1003274469985627,0.4145159127099305,0.0,0.0,0.4994989655378959,1.309913286728914e-07,1.0,0.0,-0.9999999431126245,0.0002599270991888485,-6.756131516676989e-08,-0.0002599240769208821,0.4994989655378959,1.309913286728914e-07,-1.077426721093435e-08,2.607752053441183e-09
1,42.98662347082268,0.0,-99999.89352206356,27.44033724325884,0.0,0.0,0.100336178438738,0.4307327282028268,0.0,0.0,0.4994989659689963,1.361158932233764e-07,1.0,0.0,-0.9999999385824201,0.0002700960451505602,-7.295102978448863e-08,-0.0002700929044086806,0.4994989659689963,1.361158932233764e-07,-1.163378607293662e-08,2.710009151620843e-09
1,44.66835921509622,0.0,-99999.89302347536,28.51386634117069,0.0,0.0,0.1003456064208876,0.447583982636047,0.0,0.0,0.4994989664373861,1.414409274147488e-07,1.0,0.0,-0.999999933690818,0.0002806628235853465,-7.877070971647277e-08,-0.0002806595597058052,0.4994989664373861,1.414409274147488e-07,-1.256187318276791e-08,2.816295558396091e-09
1,46.41588833612769,0.0,-99999.8924851122,29.62939435683163,0.0,0.0,0.1003557865187759,0.4650944966929274,0.0,0.0,0.4994989669403367,1.4697427364041e-07,1.0,0.0,-0.9999999284089872,0.0002916429986013871,-8.505465550811887e-08,-0.0002916396067344695,0.4994989669403367,1.4697427364041e-07,-1.356399858204953e-08,2.926772420917018e-09
1,48.23178482239296,0.0,-99999.89190380105,30.78856438297939,0.0,0.0,0.1003667787299491,0.4832900620955343,0.0,0.0,0.499498967483305,1.527240784948702e-07,1.0,0.0,-0.9999999227057979,0.0003030527432088385,-9.183990403518255e-08,-0.0003030492183111574,0.499498967483305,1.527240784948702e-07,-1.464606868561644e-08,3.041607618950634e-09
1,50.11872336272711,0.0,-99999.89127611567,31.99308379371952,0.0,0.0,0.100378647854086,0.5021974795934625,0.0,0.0,0.4994989680717481,1.586988083168706e-07,1.0,0.0,-0.9999999165476353,0.0003149088631412606,-9.916644679477406e-08,-0.0003149051999676994,0.4994989680717481,1.586988083168706e-07,-1.581446109321957e-08,3.160976081288753e-09
1,52.07948328595451,0.0,-99999.89059835665,33.24472675933584,0.0,0.0,0.100391463827691,0.5218445984390314,0.0,0.0,0.4994989687056659,1.649072609577473e-07,1.0,0.0,-0.9999999098982049,0.0003272288216089681,-1.070774656105209e-07,-0.0003272250147042502,0.4994989687056659,1.649072609577473e-07,-1.707606217833842e-08,3.285060118709556e-09
1,54.11695265464624,0.0,-99999.88986652925,34.54533685948218,0.0,0.0,0.1004053022479638,0.5422603574059508,0.0,0.0,0.4994989693905154,1.713585762175285e-07,1.0,0.0,-0.9999999027183151,0.0003400307650207623,-1.156195871411096e-07,-0.0003400268087106224,0.4994989693905154,1.713585762175285e-07,-1.843830767561234e-08,3.414049782224578e-09
1,56.23413251903477,0.0,-99999.88907632024,35.89682979860583,0.0,0.0,0.1004202445910778,0.5634748274142112,0.0,0.0,0.4994989701290251,1.780622538305465e-07,1.0,0.0,-0.9999998949656483,0.0003533335497119162,-1.248431576922393e-07,-0.0003533294380938567,0.4994989701290251,1.780622538305465e-07,-1.990922650618231e-08,3.548143232138241e-09
1,58.43414133735162,0.0,-99999.88822307222,37.30119622759977,0.0,0.0,0.1004363789688796,0.5855192558203726,0.0,0.0,0.499498970926652,1.850281621251781e-07,1.0,0.0,-0.999999886594512,0.000367156769717794,-1.348025399516954e-07,-0.0003671524966513901,0.499498970926652,1.850281621251781e-07,-2.149748809912451e-08,3.687547147493016e-09
1,60.7202195690987,0.0,-99999.88730175614,38.76050467584107,0.0,0.0,0.1004538004635833,0.6084261124431123,0.0,0.0,0.4994989717906719,1.922665557874126e-07,1.0,0.0,-0.9999998775555662,0.0003815207856339796,-1.455564333964438e-07,-0.0003815163447307207,0.4994989717906719,1.922665557874126e-07,-2.32124534880376e-08,3.832477145983045e-09
1,63.09573444801917,0.0,-99999.886306942,40.27690459793153,0.0,0.0,0.1004726117535029,0.6322291373866165,0.0,0.0,0.4994989727219945,1.997880918480632e-07,1.0,0.0,-0.9999998677955376,0.0003964467546054492,-1.571682202601864e-07,-0.000396442139218072,0.4994989727219945,1.997880918480632e-07,-2.506423048375778e-08,3.983158240229842e-09
1,65.56418494179772,0.0,-99999.8852327664,41.85262953962975,0.0,0.0,0.1004929237242322,0.6569633907369621,0.0,0.0,0.4994989737242577,2.076038425613547e-07,1.0,0.0,-0.9999998572569014,0.0004119566614889279,-1.697063391004476e-07,-0.0004119518647002144,0.4994989737242577,2.076038425613547e-07,-2.706373324854786e-08,4.139825322668885e-09
1,68.12920690579594,0.0,-99999.88407289829,43.4900004276331,0.0,0.0,0.1005148560652742,0.6826653042008957,0.0,0.0,0.4994989748120133,2.157253113921342e-07,1.0,0.0,-0.9999998458775436,0.0004280733512343221,-1.832446881669346e-07,-0.0004280683658453368,0.4994989748120133,2.157253113921342e-07,-2.922274662274022e-08,4.302723681050462e-09
