case,frequency_real,frequency_imag,v(base)_real,v(base)_imag,v(col)_real,v(col)_imag,v(out)_real,v(out)_imag,v(em)_real,v(em)_imag,v(vcc)_real,v(vcc)_imag,i(vcc)_real,i(vcc)_imag,i(vin)_real,i(vin)_imag,i(rc)_real,i(rc)_imag,i(co)_real,i(co)_imag,i(vb)_real,i(vb)_imag,ic(q1)_real,ic(q1)_imag,ib(q1)_real,ib(q1)_imag,i(rl)_real,i(rl)_imag
1,21.54434690031881,0.0,0.0,0.0,34.20609177834154,-0.002489202417692967,34.20424355687709,0.2501884239677021,1.0,0.0,0.0,0.0,0.03420609177834154,-2.489202417692967e-06,-0.03475960386289351,-2.393897531269966e-08,-0.03420609177834154,2.489202417692967e-06,0.0003420424355687708,2.501884239679116e-06,0.0002114696489831932,1.125715333096272e-08,-0.03454813421391031,-1.268182198173693e-08,-0.0002114696489831924,-1.125715333096272e-08,0.0003420424355687709,2.501884239677021e-06
1,22.38721138568337,0.0,0.0,0.0,34.20609043729117,-0.002396078593816063,34.20437876216224,0.2407693546350349,1.0,0.0,0.0,0.0,0.03420609043729118,-2.396078593816063e-06,-0.03475960387389612,-2.331251151640628e-08,-0.03420609043729118,2.396078593816063e-06,0.0003420437876216223,2.407693546346448e-06,0.0002114696489833311,1.169755897951683e-08,-0.03454813422491278,-1.161495253688945e-08,-0.0002114696489833312,-1.169755897951683e-08,0.0003420437876216224,2.40769354635035e-06
1,23.26305067153623,0.0,0.0,0.0,34.20608919530983,-0.002306482630672262,34.20450397926228,0.231704781032474,1.0,0.0,0.0,0.0,0.03420608919530983,-2.306482630672262e-06,-0.03475960388408593,-2.272037397076302e-08,-0.03420608919530983,2.306482630672262e-06,0.0003420450397926229,2.317047810326063e-06,0.0002114696489834798,1.215519431634626e-08,-0.03454813423510245,-1.056517965441676e-08,-0.0002114696489834769,-1.215519431634626e-08,0.0003420450397926229,2.31704781032474e-06
1,24.17315480804101,0.0,0.0,0.0,34.20608804507951,-0.0022202827114566,34.2046199459814,0.222981366978543,1.0,0.0,0.0,0.0,0.03420608804507951,-2.2202827114566e-06,-0.03475960389352297,-2.216169174389933e-08,-0.03420608804507951,2.2202827114566e-06,0.0003420461994598141,2.229813669796918e-06,0.0002114696489836404,1.263073340637455e-08,-0.03454813424453933,-9.530958337524786e-09,-0.0002114696489836365,-1.263073340637455e-08,0.000342046199459814,2.22981366978543e-06
1,25.11886431509577,0.0,0.0,0.0,34.2060869798227,-0.002137352004952925,34.20472734563316,0.2145862771320712,1.0,0.0,0.0,0.0,0.0342060869798227,-2.137352004952925e-06,-0.03475960390226285,-2.163564304553597e-08,-0.0342060869798227,2.137352004952925e-06,0.0003420472734563317,2.145862771319665e-06,0.0002114696489838136,1.312487668550457e-08,-0.03454813425327903,-8.510766360031398e-09,-0.00021146964898381,-1.312487668550457e-08,0.0003420472734563316,2.145862771320712e-06
1,26.10157215682533,0.0,0.0,0.0,34.20608599326243,-0.002057568480631192,34.20482681106358,0.2065071582674255,1.0,0.0,0.0,0.0,0.03420608599326243,-2.057568480631192e-06,-0.03475960391035705,-2.114145403222259e-08,-0.03420608599326243,2.057568480631192e-06,0.0003420482681106357,2.065071582659984e-06,0.0002114696489840005,1.363835199231181e-08,-0.03454813426137306,-7.50310203991078e-09,-0.0002114696489839973,-1.363835199231181e-08,0.0003420482681106358,2.065071582674255e-06
1,27.12272579332025,0.0,0.0,0.0,34.20608507958532,-0.0019808147303636,34.20491892837737,0.1987321212404565,1.0,0.0,0.0,0.0,0.03420608507958532,-1.9808147303636e-06,-0.0347596039178533,-2.067839767948734e-08,-0.03420608507958532,1.9808147303636e-06,0.0003420491892837738,1.987321212413398e-06,0.0002114696489842023,1.417191564009974e-08,-0.03454813426886909,-6.506482039387598e-09,-0.0002114696489841986,-1.417191564009974e-08,0.0003420491892837737,1.987321212404565e-06
1,28.1838293126445,0.0,0.0,0.0,34.20608423340743,-0.001906977797006763,34.20500424038939,0.1912497236202433,1.0,0.0,0.0,0.0,0.03420608423340743,-1.906977797006763e-06,-0.03475960392479575,-2.024579272341976e-08,-0.03420608423340743,1.906977797006763e-06,0.000342050042403894,1.912497236209881e-06,0.00021146964898442,1.472635353089664e-08,-0.03454813427581132,-5.519439192523127e-09,-0.0002114696489844206,-1.472635353089664e-08,0.000342050042403894,1.912497236202434e-06
1,29.28644564625232,0.0,0.0,0.0,34.20608344974244,-0.001835949009281272,34.20508324982099,0.1840489529632952,1.0,0.0,0.0,0.0,0.03420608344974244,-1.835949009281272e-06,-0.03475960393122531,-1.984300266753418e-08,-0.03420608344974244,1.835949009281272e-06,0.0003420508324982098,1.840489529627967e-06,0.0002114696489846551,1.530248231303436e-08,-0.03454813428224065,-4.540520354499822e-09,-0.0002114696489846565,-1.530248231303436e-08,0.0003420508324982099,1.840489529632952e-06
1,30.43219887107717,0.0,0.0,0.0,34.20608272397236,-0.001767623822802618,34.20515642226081,0.1771192107071929,1.0,0.0,0.0,0.0,0.03420608272397236,-1.767623822802618e-06,-0.03475960393717987,-1.946943485424798e-08,-0.03420608272397236,1.767623822802618e-06,0.0003420515642226081,1.77119210707003e-06,0.0002114696489849088,1.590115058401444e-08,-0.03454813428819496,-3.568284270233541e-09,-0.0002114696489849063,-1.590115058401444e-08,0.0003420515642226081,1.771192107071929e-06
