case,frequency_real,frequency_imag,v(buf)_real,v(buf)_imag,v(hp)_real,v(hp)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(out)_real,v(out)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(rh)_real,i(rh)_imag,i(rl)_real,i(rl)_imag,i(vn)_real,i(vn)_imag,i(ch)_real,i(ch)_imag,i(cl)_real,i(cl)_imag
1,1.467799267622069,0.0,8.504600912511383e-05,0.009221569001901917,8.504473812383081e-05,0.009221578255176726,0.0,0.0,1.0,0.0,8.58964634268659e-05,0.00922156108013941,0.0,0.0,4.299130594807843e-11,5.041391674780182e-11,-8.504558857121203e-09,-9.221670470959279e-07,8.50447381238308e-09,9.221578255176727e-07,-8.504543017520677e-11,7.921762506385433e-13,4.299130594807843e-11,5.041391674780182e-11,8.504558857121203e-09,9.221670470959278e-07,-8.504543017520682e-11,7.92176250765157e-13
1,1.525222956539018,0.0,9.182994529200599e-05,0.009582273014667677,9.182857290570025e-05,0.009582282630923509,0.0,0.0,1.0,0.0,9.274823843058054e-05,0.009582264126364261,0.0,0.0,4.64206262676143e-11,5.235303602310962e-11,-9.18294911914293e-09,-9.582378453749816e-07,9.182857290570025e-09,9.582282630923509e-07,-9.182931385745514e-11,8.888303416193511e-13,4.64206262676143e-11,5.235303602310962e-11,9.18294911914293e-09,9.582378453749816e-07,-9.182931385745512e-11,8.888303415822682e-13
1,1.584893192461112,0.0,9.915496771069117e-05,0.009957080667834156,9.915348585290074e-05,0.009957090661390201,0.0,0.0,1.0,0.0,0.0001001465104962868,0.00995707069506676,0.0,0.0,5.012346840225823e-11,5.436396883877481e-11,-9.915447738775926e-09,-9.957190232296814e-07,9.915348585290074e-09,9.957090661390202e-07,-9.915427855956491e-11,9.972767396615456e-13,5.012346840225823e-11,5.436396883877481e-11,9.915447738775926e-09,9.957190232296814e-07,-9.9154278559564e-11,9.972767395773265e-13
1,1.646897865482867,0.0,0.0001070642244789546,0.01034654276072469,0.0001070626244183749,0.0103465531464748,0.0,0.0,1.0,0.0,0.0001081348591968406,0.01034653157118415,0.0,0.0,5.412164384596642e-11,5.644903067116708e-11,-1.070636950446191e-08,-1.034665661200626e-06,1.070626244183749e-08,1.03465531464748e-06,-1.070634717885945e-10,1.118954053892785e-12,5.412164384596642e-11,5.644903067116708e-11,1.070636950446191e-08,1.034665661200626e-06,-1.070634717885931e-10,1.118954054054988e-12
1,1.71132830416178,0.0,0.0001156043029970411,0.01075123152318433,0.0001156025753061251,0.01075124231662126,0.0,0.0,1.0,0.0,0.0001167603377998229,0.01075121896842058,0.0,0.0,5.843870265238323e-11,5.861056778799778e-11,-1.156037313318782e-08,-1.075134982904443e-06,1.156025753061251e-08,1.075124231662126e-06,-1.156034802781818e-10,1.255476374077691e-12,5.843870265238323e-11,5.861056778799778e-11,1.156037313318782e-08,1.075134982904443e-06,-1.156034802781824e-10,1.255476374145383e-12
1,1.778279410038921,0.0,0.000124825503866876,0.0111717414396007,0.0001248236383663409,0.01117175265684154,0.0,0.0,1.0,0.0,0.0001260737499056455,0.01117172735305402,0.0,0.0,6.31000718984701e-11,6.085095014679576e-11,-1.248248866027246e-08,-1.11718643743681e-06,1.248236383663409e-08,1.117175265684154e-06,-1.248246038769516e-10,1.408654668605402e-12,6.31000718984701e-11,6.085095014679576e-11,1.248248866027246e-08,1.11718643743681e-06,-1.248246038769514e-10,1.408654668514801e-12
1,1.847849797422289,0.0,0.0001347821365634285,0.01160869010340871,0.0001347801222623436,0.01160870176122147,0.0,0.0,1.0,0.0,0.0001361299480755024,0.01160867429820077,0.0,0.0,6.81332051265284e-11,6.317256429338308e-11,-1.347814700635662e-08,-1.160881784823908e-06,1.347801222623436e-08,1.160870176122147e-06,-1.347811512073861e-10,1.580520793582896e-12,6.81332051265284e-11,6.317256429338308e-11,1.347814700635662e-08,1.160881784823908e-06,-1.347811512073859e-10,1.580520793684563e-12
1,1.9201419386388,0.0,0.000145532838602125,0.01206271910305789,0.0001455306636332297,0.01206273121888953,0.0,0.0,1.0,0.0,0.0001469881561903135,0.0120627013695136,0.0,0.0,7.356774370397587e-11,6.557780609772051e-11,-1.45532118939866e-08,-1.206285184620172e-06,1.455306636332297e-08,1.206273121888953e-06,-1.455317588188555e-10,1.77335442875376e-12,7.356774370397587e-11,6.557780609772051e-11,1.45532118939866e-08,1.206285184620172e-06,-1.455317588188579e-10,1.773354428716979e-12
1,1.995262314968878,0.0,0.000157140920061604,0.01253449494043401,0.0001571385716114771,0.01253450753243976,0.0,0.0,1.0,0.0,0.0001587123174185417,0.01253447504330108,0.0,0.0,7.943569094198038e-11,6.806906839400273e-11,-1.571401429971932e-08,-1.253463287751508e-06,1.571385716114771e-08,1.253450753243976e-06,-1.571397356937653e-10,1.989713292911699e-12,7.943569094198038e-11,6.806906839400273e-11,1.571401429971932e-08,1.253463287751508e-06,-1.571397356937643e-10,1.989713292685791e-12
1,2.073321573485953,0.0,0.0001696747354669205,0.01302470998273578,0.0001696721997005915,0.01302472306980998,0.0,0.0,1.0,0.0,0.0001713714698180359,0.01302468765806534,0.0,0.0,8.577160010882212e-11,7.064873187336007e-11,-1.696738964225885e-08,-1.302485331704068e-06,1.696721997005915e-08,1.302472306980998e-06,-1.696734351115377e-10,2.232467044560593e-12,8.577160010882212e-11,7.064873187336007e-11,1.696738964225885e-08,1.302485331704068e-06,-1.696734351115372e-10,2.232467044699815e-12
1,2.154434690031882,0.0,0.0001832080851953504,0.01353408344881433,0.0001832053471749119,0.01353409705062286,0.0,0.0,1.0,0.0,0.000185040151755673,0.01353405840046118,0.0,0.0,9.261277731546032e-11,7.33191490376664e-11,-1.832071792283836e-08,-1.353423239159337e-06,1.832053471749119e-08,1.353409705062286e-06,-1.83206656032258e-10,2.504835315032816e-12,9.261277731546032e-11,7.33191490376664e-11,1.832071792283836e-08,1.353423239159337e-06,-1.832066560322611e-10,2.504835314860457e-12
1,2.238721138568337,0.0,0.0001978206487360299,0.0140633624309857,0.0001978176923327752,0.01406337656800014,0.0,0.0,1.0,0.0,0.0001997988394993364,0.01406333432668201,0.0,0.0,9.999950051674874e-11,7.608263064701193e-11,-1.978196705096985e-08,-1.406351720176582e-06,1.978176923327752e-08,1.406337656800014e-06,-1.978190763306546e-10,2.810430369155903e-12,9.999950051674874e-11,7.608263064701193e-11,1.978196705096985e-08,1.406351720176582e-06,-1.978190763306551e-10,2.810430369041831e-12
1,2.326305067153623,0.0,0.0002135984523166756,0.01461332295332534,0.0002135952601162476,0.0146133376468589,0.0,0.0,1.0,0.0,0.0002157344195206066,0.01461329142027562,0.0,0.0,1.079752559013906e-10,7.894142566196305e-11,-2.135973960688488e-08,-1.461348378023536e-06,2.135952601162476e-08,1.46133376468589e-06,-2.135967203930993e-10,3.153304971650894e-12,1.079752559013906e-10,7.894142566196305e-11,2.135973960688488e-08,1.461348378023537e-06,-2.135967203931027e-10,3.153304971498489e-12
1,2.417315480804101,0.0,0.0002306343736065092,0.01518477106744693,0.0002306309268065063,0.01518478633969233,0.0,0.0,1.0,0.0,0.0002329406982443712,0.01518473568738615,0.0,0.0,1.165869929877693e-10,8.189770216160408e-11,-2.306332331157744e-08,-1.518493818755572e-06,2.306309268065063e-08,1.518478633969233e-06,-2.306324637862045e-10,3.538006077691281e-12,1.165869929877693e-10,8.189770216160408e-11,2.306332331157744e-08,1.518493818755572e-06,-2.306324637862049e-10,3.538006077827624e-12
1,2.511886431509577,0.0,0.0002490286864152409,0.01577854398675534,0.000249024964714683,0.01577855986082481,0.0,0.0,1.0,0.0,0.0002515189521944005,0.01577850429040466,0.0,0.0,1.258853999791125e-10,8.495352208162665e-11,-2.490274549643301e-08,-1.577871764642342e-06,2.49024964714683e-08,1.577855986082481e-06,-2.490265779159543e-10,3.969635067879729e-12,1.258853999791125e-10,8.495352208162665e-11,2.490274549643301e-08,1.577871764642342e-06,-2.49026577915954e-10,3.969635067632361e-12
1,2.610157215682533,0.0,0.0002688896485346368,0.01639551126014493,0.0002688856300146451,0.01639552776011241,0.0,0.0,1.0,0.0,0.0002715785217128686,0.0163954667209918,0.0,0.0,1.359252008806277e-10,8.811081584399888e-11,-2.688883188709453e-08,-1.639569171539001e-06,2.688856300146451e-08,1.639552776011242e-06,-2.688873178231745e-10,4.453915312604973e-12,1.359252008806277e-10,8.811081584399888e-11,2.688883188709453e-08,1.639569171539001e-06,-2.688873178231738e-10,4.453915312350339e-12
