case,time,v(bh),v(bl),v(ep),v(vn),v(en),v(in),v(out),v(vp),i(vp),i(vin),i(vbl),ic(q1),ib(q1),i(ren),i(vn),i(vbh),ic(q2),ib(q2),i(rep),i(rl)
2,0.0028855000000005014,-0.7679041246626936,-1.867904124662694,-1.152767051746441,-12.0,-1.127952028528954,-1.317904124662694,-1.127952067396338,12.0,2.02478687408015e-09,6.780246890865431e-05,-6.782216068811596e-05,-2.02478687408955e-09,1.969177946167386e-08,1.766699251539514e-08,0.01121171618027011,-1.969177946165067e-08,-0.01121171618027004,-6.782216068811679e-05,-0.01127953834095595,-0.01127952067396338
2,0.0028857000000005015,-0.7660126376470482,-1.866012637647048,-1.150917537295858,-12.0,-1.126142327287843,-1.316012637647048,-1.126142366262958,12.0,2.001894291474022e-09,6.76923436060861e-05,-6.77120614617768e-05,-2.001894291450984e-09,1.971785569068083e-08,1.771596142513038e-08,0.01119372931713153,-1.971785569069022e-08,-0.01119372931713146,-6.771206146177697e-05,-0.01126144137859104,-0.01126142366262958
2,0.0028859000000005016,-0.7641190724678115,-1.864119072467812,-1.149066056219994,-12.0,-1.124330701749632,-1.314119072467812,-1.124330740835621,12.0,1.979054322103315e-09,6.758210524881718e-05,-6.76018506618305e-05,-1.979054322085987e-09,1.974541301331729e-08,1.776635868725148e-08,0.01117572332405553,-1.974541301332498e-08,-0.01117572332405572,-6.760185066183074e-05,-0.0112433251747149,-0.01124330740835621
2,0.0028861000000005017,-0.7622234321151924,-1.862223432115192,-1.147212611861502,-12.0,-1.122517155195532,-1.312223432115192,-1.122517194390225,12.0,1.955721123124221e-09,6.747175367454906e-05,-6.749152516509135e-05,-1.955721123101606e-09,1.977149054233439e-08,1.781576946575052e-08,0.01115769823450896,-1.977149054229583e-08,-0.0111576982345088,-6.749152516509122e-05,-0.01122518975967147,-0.01122517194390225
2,0.002886300000000502,-0.7603257195826547,-1.860325719582655,-1.145357207570255,-12.0,-1.120701690892791,-1.310325719582655,-1.120701730199331,12.0,1.932438001933321e-09,6.736128946616045e-05,-6.738108851317166e-05,-1.932438001918871e-09,1.979904701118629e-08,1.786660900035289e-08,0.01113965408009132,-1.979904701120269e-08,-0.01113965408009141,-6.738108851317056e-05,-0.01120703516860222,-0.01120701730199331
2,0.002886500000000502,-0.7584259378669511,-1.858425937866951,-1.14349984669956,-12.0,-1.118884312133021,-1.308425937866951,-1.118884351549249,12.0,1.908659095385334e-09,6.725071246312607e-05,-6.727053758940997e-05,-1.908659095402219e-09,1.982512628391586e-08,1.791646719873086e-08,0.01112159089437281,-1.982512628389589e-08,-0.01112159089437287,-6.727053758940955e-05,-0.01118886143195966,-0.01118884351549249
2,0.002886700000000502,-0.7565240899681018,-1.856524089968102,-1.141640532609987,-12.0,-1.11706502219396,-1.306524089968102,-1.11706506172302,12.0,1.884927691261676e-09,6.714002324809397e-05,-6.715987593044516e-05,-1.884927691262983e-09,1.985268235119523e-08,1.796775465785897e-08,0.01110350870905669,-1.985268235118716e-08,-0.01110350870905673,-6.715987593044562e-05,-0.01117066858498489,-0.0111706506172302
2,0.002886900000000502,-0.7546201788893732,-1.854620178889373,-1.139779268665522,-12.0,-1.115243824377649,-1.304620178889373,-1.115243864017394,12.0,1.860697906799147e-09,6.702922166199784e-05,-6.704910042581742e-05,-1.86069790676026e-09,1.987876381955675e-08,1.801806592816035e-08,0.01108540755781628,-1.98787638195795e-08,-0.01108540755781632,-6.704910042581858e-05,-0.01115245665823984,-0.01115243864017394
2,0.0028871000000005023,-0.7527142076373061,-1.852714207637306,-1.137916058237459,-12.0,-1.113420721972338,-1.302714207637306,-1.113420761725914,12.0,1.836513009408444e-09,6.691830828725573e-05,-6.693821460720256e-05,-1.836513009387337e-09,1.990631994681785e-08,1.806980696385872e-08,0.01106728747246094,-1.990631994682715e-08,-0.011067287472461,-6.693821460720156e-05,-0.01113422568706602,-0.01113420761725914
2,0.0028873000000005024,-0.7508061792216947,-1.850806179221695,-1.136050904700545,-12.0,-1.111595718290578,-1.300806179221695,-1.111595758155848,12.0,1.811827095876028e-09,6.680728296604477e-05,-6.682721537011604e-05,-1.811827095868712e-09,1.993240407129397e-08,1.8120576958128e-08,0.01104914848676769,-1.993240407127087e-08,-0.01104914848676766,-6.682721537011613e-05,-0.01111597570213527,-0.01111595758155848
2,0.0028875000000005025,-0.7488960966555658,-1.848896096655566,-1.134183811436825,-12.0,-1.109768816631157,-1.298896096655566,-1.109768856611267,12.0,1.787183413934112e-09,6.669614628071699e-05,-6.671610624144585e-05,-1.787183413959537e-09,1.995996072880354e-08,1.817277732337045e-08,0.01103099063265101,-1.995996072885601e-08,-0.01103099063265096,-6.671610624144578e-05,-0.01109770673888995,-0.01109768856611267
2,0.0028877000000005026,-0.7469839629552109,-1.846983962955211,-1.132314781831837,-12.0,-1.107940020317164,-1.296983962955211,-1.10794006040999,12.0,1.76203603871434e-09,6.65848980750768e-05,-6.66048841230565e-05,-1.762036038757099e-09,1.998604797970775e-08,1.822401189551085e-08,0.01101281394399101,-1.998604797970511e-08,-0.01101281394399111,-6.660488412305656e-05,-0.01107941882811189,-0.01107940060409991
2,0.0028879000000005027,-0.7450697811401397,-1.84506978114014,-1.130443819278437,-12.0,-1.106109332657989,-1.29506978114014,-1.106109372866679,12.0,1.736928197804892e-09,6.647353893092517e-05,-6.649355253657199e-05,-1.736928197788263e-09,2.001360564678436e-08,1.827667744420063e-08,0.01099461845281008,-2.0013605646818e-08,-0.01099461845281012,-6.649355253657162e-05,-0.01106111200534428,-0.01106109372866679
2,0.002888100000000503,-0.7431535542331116,-1.843153554233112,-1.128570927172993,-12.0,-1.104276756987296,-1.293153554233112,-1.104276797309737,12.0,1.711313944947393e-09,6.636206869348399e-05,-6.638210838998734e-05,-1.711313944933702e-09,2.00396965033399e-08,1.832838254904474e-08,0.0109764041930922,-2.003969650334406e-08,-0.01097640419309216,-6.638210838998861e-05,-0.01104278630147998,-0.01104276797309737
2,0.002888300000000503,-0.7412352852601161,-1.841235285260116,-1.126696108919236,-12.0,-1.102442296625133,-1.291235285260116,-1.102442337064475,12.0,1.68573648620173e-09,6.625048794457785e-05,-6.627055520024624e-05,-1.685736486221818e-09,2.006725566841541e-08,1.838151923601443e-08,0.01095817119696629,-2.006725566839067e-08,-0.0109581711969662,-6.6270555200246e-05,-0.01102444175216382,-0.01102442337064475
2,0.002888500000000503,-0.7393149772503507,-1.839314977250351,-1.124819367924396,-12.0,-1.100605954915775,-1.289314977250351,-1.100605995469916,12.0,1.659649854394379e-09,6.613879653079795e-05,-6.615888988141701e-05,-1.659649854374013e-09,2.009335061908781e-08,1.843370072746547e-08,0.01093991949852074,-2.009335061905386e-08,-0.01093991949852079,-6.615888988141759e-05,-0.01100607838839988,-0.01100605995469916
2,0.002888700000000503,-0.7373926332362495,-1.83739263323625,-1.122940707603111,-12.0,-1.098767735189962,-1.28739263323625,-1.098767775862054,12.0,1.633597233397726e-09,6.602699503375839e-05,-6.604711594553926e-05,-1.633597233441464e-09,2.012091178090727e-08,1.848731450754764e-08,0.01092164912999211,-2.012091178087562e-08,-0.0109216491299921,-6.604711594554059e-05,-0.01098769624593513,-0.01098767775862054
2,0.0028889000000005033,-0.7354682562534613,-1.835468256253461,-1.121060131373557,-12.0,-1.096927640802658,-1.285468256253461,-1.096927681590611,12.0,1.60703263449354e-09,6.591508330143367e-05,-6.593523031275719e-05,-1.60703263448018e-09,2.014701132349299e-08,1.85399786432263e-08,0.01090336012557447,-2.014701132351448e-08,-0.01090336012557448,-6.593523031275647e-05,-0.01096929535588487,-0.01096927681590611
2,0.0028891000000005034,-0.7335418493408294,-1.83354184934083,-1.11917764266131,-12.0,-1.095085675095326,-1.283541849340829,-1.095085716002293,12.0,1.580499219312184e-09,6.580306191511631e-05,-6.582323649010659e-05,-1.580499219301464e-09,2.017457499030204e-08,1.859407577404164e-08,0.01088505251761124,-2.017457499027694e-08,-0.01088505251761119,-6.58232364901067e-05,-0.01095087575409881,-0.01095085716002293
2,0.0028893000000005035,-0.7316134155404186,-1.831613415540419,-1.117293244895524,-12.0,-1.093241841433652,-1.281613415540419,-1.093241882457555,12.0,1.553450976357546e-09,6.569093072441453e-05,-6.571113140404691e-05,-1.55345097634127e-09,2.020067963238295e-08,1.864722860970987e-08,0.01086672634040287,-2.02006796323794e-08,-0.0108667263404029,-6.571113140404587e-05,-0.0109324374718041,-0.01093241882457555
2,0.0028895000000005036,-0.7296829578974944,-1.829682957897494,-1.115406941512797,-12.0,-1.091396143169904,-1.279682957897494,-1.091396184313897,12.0,1.526431045446982e-09,6.557869031050716e-05,-6.559891855682874e-05,-1.526431045449516e-09,2.022824632157599e-08,1.870181524794971e-08,0.01084838162640006,-2.022824632157225e-08,-0.01084838162640009,-6.55989185568289e-05,-0.01091398054495419,-0.01091396184313897
2,0.0028897000000005038,-0.7277504794605023,-1.827750479460502,-1.113518735953293,-12.0,-1.089548583680519,-1.277750479460502,-1.089548624942538,12.0,1.498893391711142e-09,6.546634052408839e-05,-6.548659488066991e-05,-1.498893391683117e-09,2.025435658157032e-08,1.875546324308692e-08,0.01083001841001036,-2.025435658152249e-08,-0.01083001841001037,-6.54865948806702e-05,-0.01089550500488847,-0.01089548624942538
2,0.002889900000000504,-0.7258159832811002,-1.8258159832811,-1.111628631664673,-12.0,-1.087699166328612,-1.2758159832811,-1.087699207711812,12.0,1.471381132235878e-09,6.535388194637006e-05,-6.537416387319105e-05,-1.471381132252041e-09,2.028192682101238e-08,1.881054564637194e-08,0.01081163672379326,-2.028192682098956e-08,-0.01081163672379322,-6.537416387319129e-05,-0.01087701088766385,-0.01087699207711812
2,0.002890100000000504,-0.7238794724141109,-1.823879472414111,-1.109736632098184,-12.0,-1.085847894501443,-1.273879472414111,-1.085847936003772,12.0,1.443348209088085e-09,6.52413144295258e-05,-6.526162247275265e-05,-1.44334820910395e-09,2.030804322684027e-08,1.886469495766944e-08,0.01079323660226272,-2.030804322684823e-08,-0.01079323660226266,-6.526162247275216e-05,-0.01085849822473284,-0.01085847936003772
2,0.002890300000000504,-0.7219409499175602,-1.82194094991756,-1.107842740712595,-12.0,-1.083994771573016,-1.27194094991756,-1.083994813197632,12.0,1.415337715124342e-09,6.512863855444328e-05,-6.514897417199753e-05,-1.41533771515381e-09,2.033561755429847e-08,1.892027978733779e-08,0.01077481807808706,-2.033561755424539e-08,-0.01077481807808704,-6.514897417199674e-05,-0.01083996705225611,-0.01083994813197632
2,0.002890500000000504,-0.7200004188526286,-1.820000418852629,-1.105946960970287,-12.0,-1.082139800941465,-1.270000418852629,-1.082139842686326,12.0,1.386803569892751e-09,6.501585417476724e-05,-6.50362159154115e-05,-1.386803569901787e-09,2.036174064428383e-08,1.897493697520438e-08,0.01075638118588756,-2.036174064426466e-08,-0.01075638118588763,-6.503621591541247e-05,-0.01082141740180034,-0.01082139842686326
2,0.0028907000000005043,-0.7180578822836854,-1.818057882283685,-1.104049296341188,-12.0,-1.080282985991733,-1.268057882283685,-1.08028302786,12.0,1.358288841244209e-09,6.490296187113315e-05,-6.4923351190742e-05,-1.358288841239775e-09,2.038931960882375e-08,1.903103079166483e-08,0.01073792595844258,-2.038931960884872e-08,-0.01073792595844257,-6.492335119074172e-05,-0.01080284930963086,-0.0108028302786
