case,time,v(limit),v(clamp),v(in),i(vin),i(dp),i(cc),i(dc),i(rs),i(dn),i(rl)
2,0.008282636118871214,0.6145157170091788,5.323095990562805,2.937147049878452,-0.002375846916828503,0.002322629916580166,5.321558390231074e-05,1.537599933431603e-08,0.002322631332869273,-1.416289059043074e-09,5.323095990562806e-05
2,0.008283636118871214,0.6144425642784942,5.318667871549394,2.93325086298257,-0.002371979138356747,0.002318806865215239,5.317083959538449e-05,1.583911610651348e-08,0.002318808298704076,-1.433488485310525e-09,5.318667871549394e-05
2,0.008284636118871213,0.6143671136244859,5.314124406045783,2.929238876365138,-0.002367996700431012,0.002314870382648659,5.312493763259818e-05,1.63064236508316e-08,0.002314871762740652,-1.380091731006363e-09,5.314124406045784e-05
2,0.008285636118871212,0.6142893568163369,5.309465763962753,2.925111248412528,-0.002363899780097603,0.002310820494436649,5.307788844310934e-05,1.676919224326664e-08,0.002310821891596191,-1.39715860737277e-09,5.309465763962753e-05
2,0.008286636118871211,0.6142092853986723,5.304692119759126,2.920868142076424,-0.002359688541789238,0.002306657513050925,5.302968505294103e-05,1.723614068312174e-08,0.002306658856677751,-1.343626565950948e-09,5.304692119759126e-05
2,0.00828763611887121,0.6141268905766388,5.299803652434889,2.916509724867397,-0.002355363172330821,0.002302381473738846,5.298033798106783e-05,1.76985393037034e-08,0.002302382834290758,-1.360551831160655e-09,5.29980365243489e-05
2,0.00828863611887121,0.6140421633232181,5.294800545524121,2.912036168848298,-0.002350923845929016,0.002297992698649942,5.292984034444004e-05,1.816510684978278e-08,0.00229799400552508,-1.306875318583858e-09,5.294800545524122e-05
2,0.00828963611887121,0.6139550942641031,5.289682987087752,2.907447650627457,-0.002346370759176463,0.002293491232713274,5.287820275312605e-05,1.862711371194274e-08,0.002293492556363354,-1.323649662332347e-09,5.289682987087753e-05
2,0.008290636118871209,0.6138656737847142,5.284451169706134,2.902744351351718,-0.002341704096041748,0.002288877407747858,5.282541841428179e-05,1.909327858025307e-08,0.002288878677567003,-1.269819237450641e-09,5.284451169706135e-05
2,0.008291636118871208,0.613773891914726,5.279105290471437,2.897926456699276,-0.002336924062874414,0.002284151278351132,5.277149802879189e-05,1.95548719024798e-08,0.002284152564784551,-1.286433081838747e-09,5.279105290471437e-05
2,0.008292636118871207,0.6136797384348414,5.273645550979882,2.892994156872374,-0.002332030853392558,0.002279313185998832,5.271643489351829e-05,2.002061231377111e-08,0.002279314418437533,-1.232439026232318e-09,5.273645550979883e-05
2,0.008293636118871206,0.6135832027608957,5.268072157323775,2.88794764658977,-0.002327024683689716,0.002274363194946782,5.266023979882961e-05,2.048177031888143e-08,0.002274364443828874,-1.248882505503078e-09,5.268072157323775e-05
2,0.008294636118871206,0.6134842740503424,5.262385320083335,2.882787125079026,-0.002321905757223682,0.00226930165631356,5.26029061322375e-05,2.094706449829141e-08,0.002269302851028683,-1.194714801419138e-09,5.262385320083336e-05
2,0.008295636118871205,0.6133829410861695,5.256585254318445,2.877512796068706,-0.0023166742998196,0.002264128644004493,5.254444477376108e-05,2.140776541305776e-08,0.002264129854982536,-1.210977742543803e-09,5.256585254318445e-05
2,0.008296636118871204,0.6132791923827413,5.250672179560119,2.872124867780288,-0.002311330524661307,0.002258844518771008,5.248484919995189e-05,2.187259158904444e-08,0.002258845675397547,-1.156626051623358e-09,5.250672179560119e-05
