case,vin,v(in),v(out),v(vcc),i(vcc),ic(q1),ib(q1),i(vin),i(rl)
1,4.0,4.0,3.31506237183974,8.0,-0.003293947328255276,0.003293947328255266,2.111504362516093e-05,-2.111504362516071e-05,0.00331506237183974
1,4.025,4.025,3.339863409458633,8.0,-0.003318585315107092,0.003318585315107142,2.12780943910075e-05,-2.127809439100761e-05,0.003339863409458633
1,4.05,4.05,3.364665861015713,8.0,-0.003343224628959307,0.003343224628959256,2.144123209482836e-05,-2.144123209482825e-05,0.003364665861015713
1,4.075,4.075,3.389469705956305,8.0,-0.00336786524932553,0.003367865249325633,2.160445666797692e-05,-2.160445666797703e-05,0.003389469705956306
1,4.100000000000001,4.100000000000001,3.414274924169091,8.0,-0.003392507156160685,0.003392507156160709,2.176776804453011e-05,-2.176776804452968e-05,0.003414274924169091
1,4.125,4.125,3.43908149597348,8.0,-0.003417150329847241,0.003417150329847363,2.193116616122496e-05,-2.193116616122474e-05,0.00343908149597348
1,4.15,4.15,3.463889402107415,8.0,-0.003441794751184113,0.003441794751184141,2.20946509574563e-05,-2.209465095745619e-05,0.003463889402107415
1,4.175,4.175,3.488698623715611,8.0,-0.003466440401373561,0.003466440401373618,2.225822237520011e-05,-2.225822237520011e-05,0.003488698623715611
1,4.2,4.2,3.513509142338207,8.0,-0.003491087262011638,0.003491087262011684,2.242188035876159e-05,-2.242188035876148e-05,0.003513509142338206
1,4.225000000000001,4.225000000000001,3.538320939899791,8.0,-0.003515735315076207,0.003515735315076194,2.258562485500301e-05,-2.258562485500312e-05,0.003538320939899791
1,4.25,4.25,3.563133998698836,8.0,-0.003540384542916386,0.003540384542916426,2.274945581295083e-05,-2.274945581295061e-05,0.003563133998698836
1,4.275,4.275,3.587948301397467,8.0,-0.003565034928242894,0.003565034928243006,2.291337318408037e-05,-2.291337318408027e-05,0.003587948301397467
1,4.3,4.3,3.612763831011584,8.0,-0.003589686454118612,0.003589686454118632,2.307737692193825e-05,-2.307737692193836e-05,0.003612763831011584
