case,frequency_real,frequency_imag,v(gate)_real,v(gate)_imag,v(source)_real,v(source)_imag,v(out)_real,v(out)_imag,v(vdd)_real,v(vdd)_imag,i(vdd)_real,i(vdd)_imag,id(m1)_real,id(m1)_imag,i(rs)_real,i(rs)_imag,i(vin)_real,i(vin)_imag,i(rd)_real,i(rd)_imag
1,56.23413251903477,0.0,1.0,0.0,0.7819791919910538,-2.369085001520447e-06,-1.663785514875419,5.040606386216268e-06,0.0,0.0,-0.001663785514875419,5.040606386216268e-09,0.001663785514873783,-5.040606386214915e-09,0.001663785514874583,-5.040606386213716e-09,0.0,0.0,0.001663785514875419,-5.040606386216268e-09
1,58.43414133735162,0.0,1.0,0.0,0.7819791919904566,-2.461769064759555e-06,-1.66378551487439,5.237806520768477e-06,0.0,0.0,-0.00166378551487439,5.237806520768477e-09,0.001663785514873783,-5.237806520761462e-09,0.001663785514873312,-5.237806520765011e-09,0.0,0.0,0.00166378551487439,-5.237806520768477e-09
1,60.7202195690987,0.0,1.0,0.0,0.7819791919899312,-2.558079142080732e-06,-1.663785514872362,5.442721578895761e-06,0.0,0.0,-0.001663785514872363,5.442721578895761e-09,0.001663785514871563,-5.442721578893919e-09,0.001663785514872194,-5.442721578895175e-09,0.0,0.0,0.001663785514872363,-5.442721578895761e-09
1,63.09573444801917,0.0,1.0,0.0,0.781979191989167,-2.658157091509731e-06,-1.663785514871684,5.655653386194705e-06,0.0,0.0,-0.001663785514871684,5.655653386194705e-09,0.001663785514869343,-5.655653386191722e-09,0.001663785514870568,-5.655653386190917e-09,0.0,0.0,0.001663785514871684,-5.655653386194705e-09
1,65.56418494179772,0.0,1.0,0.0,0.7819791919885581,-2.762150320882385e-06,-1.663785514869291,5.8769155763456e-06,0.0,0.0,-0.001663785514869291,5.8769155763456e-09,0.001663785514867122,-5.876915576339458e-09,0.001663785514869273,-5.876915576345501e-09,0.0,0.0,0.001663785514869291,-5.8769155763456e-09
1,68.12920690579594,0.0,1.0,0.0,0.7819791919875051,-2.870212004972652e-06,-1.663785514869747,6.106834053143246e-06,0.0,0.0,-0.001663785514869747,6.106834053143246e-09,0.001663785514867122,-6.106834053140991e-09,0.001663785514867032,-6.106834053133303e-09,0.0,0.0,0.001663785514869747,-6.106834053143246e-09
1,70.7945784384136,0.0,1.0,0.0,0.781979191986822,-2.982501311098648e-06,-1.663785514866749,6.345747470427151e-06,0.0,0.0,-0.001663785514866749,6.345747470427151e-09,0.001663785514864902,-6.345747470422913e-09,0.001663785514865579,-6.345747470422657e-09,0.0,0.0,0.001663785514866749,-6.345747470427151e-09
1,73.56422544596393,0.0,1.0,0.0,0.781979191985905,-3.099183633576693e-06,-1.663785514864892,6.594007731019211e-06,0.0,0.0,-0.001663785514864892,6.594007731019211e-09,0.001663785514862681,-6.594007731013188e-09,0.001663785514863628,-6.59400773101424e-09,0.0,0.0,0.001663785514864892,-6.594007731019211e-09
1,76.44222742525982,0.0,1.0,0.0,0.7819791919848535,-3.220430837326762e-06,-1.663785514863356,6.851980504958628e-06,0.0,0.0,-0.001663785514863356,6.851980504958628e-09,0.001663785514862681,-6.851980504955907e-09,0.001663785514861391,-6.851980504950557e-09,0.0,0.0,0.001663785514863356,-6.851980504958628e-09
1,79.43282347242791,0.0,1.0,0.0,0.7819791919839068,-3.346421511019736e-06,-1.663785514860249,7.120045768130834e-06,0.0,0.0,-0.001663785514860249,7.120045768130834e-09,0.00166378551485824,-7.120045768122595e-09,0.001663785514859376,-7.120045768127098e-09,0.0,0.0,0.001663785514860249,-7.120045768130834e-09
