case,time,v(out),v(raw),v(vn),v(in),v(vp),i(vp),i(vin),i(riso),i(rl),i(vn),i(cl)
1,1.915535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,1.965535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,2.015535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,2.065535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,2.115535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,2.165535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,2.215535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,2.265535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,2.315535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,2.365535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,2.415535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,2.465535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,2.515535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,2.565535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,2.615535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,2.665535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,2.715535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,2.765535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,2.815535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,2.865535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,2.915535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,2.965535998849955e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,3.015535998849955e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,3.065535998849955e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,3.115535998849955e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,3.165535998849955e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,3.215535998849955e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,3.265535998849955e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,3.315535998849955e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,3.365535998849955e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,3.415535998849955e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,3.465535998849955e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,3.515535998849955e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,3.565535998849955e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,3.615535998849955e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,3.665535998849955e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,3.715535998849955e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,3.765535998849955e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,3.815535998849955e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,3.865535998849955e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,3.915535998849955e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
