case,frequency_real,frequency_imag,v(gate)_real,v(gate)_imag,v(out)_real,v(out)_imag,v(vdd)_real,v(vdd)_imag,i(vdd)_real,i(vdd)_imag,id(j1)_real,id(j1)_imag,i(vin)_real,i(vin)_imag,i(rs)_real,i(rs)_imag
1,63.09573444801917,0.0,1.0,0.0,0.7186588323795005,6.515182053133732e-08,0.0,0.0,-0.001529061344206842,7.17983968951401e-10,0.001529061344206842,-7.17983968951401e-10,-1.28145708607057e-12,-8.566048636989272e-10,0.001529061345488299,1.386208947475262e-10
1,65.56418494179772,0.0,1.0,0.0,0.7186588323795018,6.770070984957842e-08,0.0,0.0,-0.001529061344206834,7.460731559334968e-10,0.001529061344206835,-7.460731559334968e-10,-1.281466286296972e-12,-8.90117219443238e-10,0.001529061345488302,1.440440635097413e-10
1,68.12920690579594,0.0,1.0,0.0,0.7186588323795031,7.034931759016997e-08,0.0,0.0,-0.001529061344206827,7.752612566231889e-10,0.001529061344206827,-7.752612566231889e-10,-1.281476220472929e-12,-9.249406557512097e-10,0.001529061345488305,1.496793991280212e-10
1,70.7945784384136,0.0,1.0,0.0,0.7186588323795046,7.310154496752897e-08,0.0,0.0,-0.001529061344206819,8.05591263056434e-10,0.001529061344206819,-8.055912630564341e-10,-1.281486947149385e-12,-9.611264651150063e-10,0.001529061345488308,1.555352020585723e-10
1,73.56422544596393,0.0,1.0,0.0,0.718658832379506,7.596144582056857e-08,0.0,0.0,-0.001529061344206811,8.371078492166835e-10,0.001529061344206811,-8.371078492166835e-10,-1.281498529548197e-12,-9.987279467072548e-10,0.001529061345488311,1.616200974905714e-10
1,76.44222742525982,0.0,1.0,0.0,0.7186588323795076,7.89332325837191e-08,0.0,0.0,-0.001529061344206803,8.698574368365408e-10,0.001529061344206803,-8.698574368365408e-10,-1.281511035934754e-12,-1.037800484887007e-09,0.001529061345488314,1.679430480504662e-10
1,79.43282347242791,0.0,1.0,0.0,0.7186588323795094,8.202128249155086e-08,0.0,0.0,-0.001529061344206792,9.038882637737382e-10,0.001529061344206792,-9.038882637737382e-10,-1.281524540020329e-12,-1.078401630777038e-09,0.001529061345488318,1.745133670032997e-10
1,82.5404185268016,0.0,1.0,0.0,0.7186588323795113,8.523014402613504e-08,0.0,0.0,-0.001529061344206782,9.392504550621352e-10,0.001529061344206782,-9.392504550621352e-10,-1.281539121396523e-12,-1.120591187032635e-09,0.001529061345488322,1.813407319705001e-10
1,85.76958985908915,0.0,1.0,0.0,0.7186588323795133,8.856454361664007e-08,0.0,0.0,-0.001529061344206771,9.759960967423931e-10,0.001529061344206771,-9.759960967423933e-10,-1.28155486600437e-12,-1.164431295926734e-09,0.001529061345488326,1.884351991843406e-10
1,89.12509381337428,0.0,1.0,0.0,0.7186588323795157,9.202939260103261e-08,0.0,0.0,-0.001529061344206758,1.014179312581084e-09,0.001529061344206758,-1.014179312581084e-09,-1.281571866640863e-12,-1.209986530881153e-09,0.001529061345488331,1.958072183000694e-10
1,92.61187281287906,0.0,1.0,0.0,0.7186588323795181,9.562979446013547e-08,0.0,0.0,-0.001529061344206745,1.05385634379122e-09,0.001529061344206745,-1.05385634379122e-09,-1.281590223505893e-12,-1.257323991578742e-09,0.001529061345488336,2.034676477875223e-10
1,96.23506263980856,0.0,1.0,0.0,0.7186588323795206,9.937105233469869e-08,0.0,0.0,-0.001529061344206731,1.095085631871635e-09,0.001529061344206731,-1.095085631871635e-09,-1.28161004479281e-12,-1.306513402796527e-09,0.001529061345488342,2.114277709248908e-10
1,99.99999999999969,0.0,1.0,0.0,0.7186588323795233,1.032586768365563e-07,0.0,0.0,-0.001529061344206716,1.13792790468724e-09,0.001529061344206716,-1.13792790468724e-09,-1.281631447326108e-12,-1.357627217105445e-09,0.001529061345488348,2.196993124182048e-10
1,103.9122303835166,0.0,1.0,0.0,0.7186588323795264,1.072983941653724e-07,0.0,0.0,-0.001529061344206699,1.182446265916925e-09,0.001529061344206699,-1.182446265916925e-09,-1.281654557249974e-12,-1.41074072158793e-09,0.001529061345488354,2.282944556710052e-10
1,107.9775162327706,0.0,1.0,0.0,0.7186588323795297,1.114961545429346e-07,0.0,0.0,-0.00152906134420668,1.228706288000881e-09,0.001529061344206681,-1.228706288000881e-09,-1.281679510771768e-12,-1.465932148730529e-09,0.001529061345488361,2.37225860729648e-10
1,112.201845430196,0.0,1.0,0.0,0.718658832379533,1.158581409774148e-07,0.0,0.0,-0.001529061344206662,1.276776108724227e-09,0.001529061344206663,-1.276776108724227e-09,-1.281706454964815e-12,-1.523282791654897e-09,0.001529061345488368,2.465066829306697e-10
1,116.5914401179828,0.0,1.0,0.0,0.7186588323795369,1.203907783705094e-07,0.0,0.0,-0.001529061344206641,1.326726531579212e-09,0.001529061344206641,-1.326726531579212e-09,-1.281735548635235e-12,-1.582877123856891e-09,0.001529061345488376,2.561505922776796e-10
1,121.1527658628584,0.0,1.0,0.0,0.7186588323795411,1.251007429808712e-07,0.0,0.0,-0.001529061344206618,1.378631130053823e-09,0.001529061344206618,-1.378631130053823e-09,-1.281766963257935e-12,-1.644802923630145e-09,0.001529061345488385,2.661717935763216e-10
1,125.8925411794163,0.0,1.0,0.0,0.7186588323795456,1.299949722577722e-07,0.0,0.0,-0.001529061344206593,1.432566356000401e-09,0.001529061344206593,-1.432566356000401e-09,-1.281800883987261e-12,-1.709151403357362e-09,0.001529061345488395,2.765850473569621e-10
1,130.8177474260189,0.0,1.0,0.0,0.7186588323795502,1.350806750594829e-07,0.0,0.0,-0.001529061344206568,1.488611652243877e-09,0.001529061344206568,-1.488611652243877e-09,-1.281837510748275e-12,-1.776017343859798e-09,0.001529061345488405,2.874056916159211e-10
1,135.9356390878521,0.0,1.0,0.0,0.7186588323795554,1.40365342271417e-07,0.0,0.0,-0.001529061344206538,1.54684956959552e-09,0.001529061344206539,-1.54684956959552e-09,-1.281877059415094e-12,-1.845499234002791e-09,0.001529061345488416,2.986496644072702e-10
1,141.2537544622749,0.0,1.0,0.0,0.7186588323795611,1.458567578396841e-07,0.0,0.0,-0.001529061344206507,1.607365888444521e-09,0.001529061344206508,-1.607365888444521e-09,-1.281919763083229e-12,-1.917699415762997e-09,0.001529061345488428,3.103335273184768e-10
1,146.7799267622064,0.0,1.0,0.0,0.7186588323795671,1.515630102362976e-07,0.0,0.0,-0.001529061344206474,1.670249745106516e-09,0.001529061344206474,-1.670249745106516e-09,-1.281965873443421e-12,-1.992724234970979e-09,0.001529061345488441,3.22474489864463e-10
1,152.5222956539013,0.0,1.0,0.0,0.7186588323795737,1.574925043729313e-07,0.0,0.0,-0.001529061344206438,1.735593763115167e-09,0.001529061344206438,-1.735593763115167e-09,-1.282015662265083e-12,-2.07068419795119e-09,0.001529061345488455,3.35090434836024e-10
1,158.4893192461107,0.0,1.0,0.0,0.7186588323795807,1.636539739807668e-07,0.0,0.0,-0.001529061344206399,1.803494189650161e-09,0.001529061344206399,-1.803494189650161e-09,-1.282069422998075e-12,-2.151694134290089e-09,0.00152906134548847,3.481999446399293e-10
1,164.6897865482862,0.0,1.0,0.0,0.7186588323795882,1.700564944746706e-07,0.0,0.0,-0.001529061344206358,1.874051037302591e-09,0.001529061344206358,-1.874051037302591e-09,-1.282127472502268e-12,-2.235873365972103e-09,0.001529061345488485,3.618223286695118e-10
1,171.1328304161774,0.0,1.0,0.0,0.7186588323795964,1.767094963206472e-07,0.0,0.0,-0.001529061344206313,1.947368231386528e-09,0.001529061344206313,-1.947368231386528e-09,-1.282190152915081e-12,-2.323345883132586e-09,0.001529061345488503,3.759776517460578e-10
