case,time,v(b),v(plus),v(sum),v(vn),v(a),v(out),v(vp),i(vp),i(v1),i(r1),i(rf),i(r3),i(vn),i(v2),i(r2)
1,0.0020295000000000035,0.0,0.009214676354735959,0.009204804457090444,-12.0,0.01842944485623547,0.01840970096222546,12.0,-0.001147980420040958,-9.214768501499508e-07,-9.204804457090444e-07,9.204896505135016e-07,9.214676354735959e-07,0.001147060133363094,9.204804457090452e-07,9.214768501499508e-07
1,0.0020305000000000037,0.0,0.009523268945215817,0.009513408219006632,-12.0,0.01904663312312109,0.01902691157209546,12.0,-0.001147995752613054,-9.523364177905271e-07,-9.513408219006632e-07,9.513503353088827e-07,9.523268945215817e-07,0.001147044612054986,9.513408219006649e-07,9.52336417790527e-07
1,0.002031500000000004,0.0,0.009831485573344336,0.009821636407922177,-12.0,0.01966306946154441,0.01964337103220844,12.0,-0.00114801106341902,-9.831583888200073e-07,-9.821636407922178e-07,9.821734624286262e-07,9.831485573344336e-07,0.001147029106530141,9.821636407922184e-07,9.831583888200073e-07
1,0.002032500000000004,0.0,0.01013931407125636,0.01012947685539099,-12.0,0.02027872953565343,0.02025905500555053,12.0,-0.001148026351865934,-1.013941546439708e-06,-1.012947685539099e-06,1.012957815015954e-06,1.013931407125636e-06,0.001147013617412229,1.012947685539099e-06,1.013941546439708e-06
1,0.002033500000000004,0.0,0.0104467422864104,0.01043691740850936,-12.0,0.02089358904024366,0.02087393918619281,12.0,-0.001148041617362123,-1.044684675383327e-06,-1.043691740850936e-06,1.043702177768345e-06,1.04467422864104e-06,0.001146998145324607,1.043691740850936e-06,1.044684675383326e-06
1,0.002034500000000004,0.0,0.01075375808206648,0.01074394592995393,-12.0,0.02150762370171379,0.02148799929936716,12.0,-0.001148056859317159,-1.075386561964731e-06,-1.074394592995393e-06,1.074405336941323e-06,1.075375808206649e-06,0.001146982690890326,1.074394592995392e-06,1.075386561964731e-06
1,0.0020355000000000043,0.0,0.01106034933776696,0.01105055029884933,-12.0,0.0221208092790273,0.02210121110320166,12.0,-0.001148072077141901,-1.106045994126034e-06,-1.105055029884933e-06,1.105066080435232e-06,1.106034933776696e-06,0.001146967254732079,1.105055029884935e-06,1.106045994126034e-06
1,0.0020365000000000045,0.0,0.01136650394981393,0.01135671841090552,-12.0,0.02273312156466736,0.02271355038899514,12.0,-0.0011480872702485,-1.136661761485343e-06,-1.135671841090552e-06,1.135683197808963e-06,1.136650394981393e-06,0.001146951837472189,1.135671841090551e-06,1.136661761485343e-06
1,0.0020375000000000046,0.0,0.01167220983174745,0.01166243817919517,-12.0,0.02334453638559321,0.02332499298277213,12.0,-0.001148102438050436,-1.167232655384577e-06,-1.166243817919517e-06,1.166255480357696e-06,1.167220983174745e-06,0.001146936439732572,1.166243817919517e-06,1.167232655384577e-06
1,0.0020385000000000047,0.0,0.011977454914823,0.01196769753436774,-12.0,0.02395502960419516,0.02393551474571083,12.0,-0.00114811757996252,-1.197757468937215e-06,-1.196769753436774e-06,1.196781721134309e-06,1.1977454914823e-06,0.001146921062134726,1.196769753436773e-06,1.197757468937216e-06
