case,frequency_real,frequency_imag,v(gate)_real,v(gate)_imag,v(source)_real,v(source)_imag,v(out)_real,v(out)_imag,v(vdd)_real,v(vdd)_imag,i(vdd)_real,i(vdd)_imag,id(j1)_real,id(j1)_imag,i(rs)_real,i(rs)_imag,i(cs)_real,i(cs)_imag,i(vin)_real,i(vin)_imag,i(rd)_real,i(rd)_imag
2,251188.6431509545,0.0,1.0,0.0,3.876858730733533e-07,-0.0001674209833853881,-5.813098436073881,0.02068268297993076,0.0,0.0,-0.002642317470942673,9.401219536332161e-06,0.002642317470942673,-9.401219536332161e-06,3.876858730733533e-10,-1.674209833853881e-07,0.002642346435152328,6.118709638183257e-06,-2.935189552899355e-08,-1.535250819113003e-05,0.002642317470942673,-9.401219536332161e-06
2,261015.72156825,0.0,1.0,0.0,3.848270115087672e-07,-0.0001611176907083143,-5.813092960454145,0.02156669026830217,0.0,0.0,-0.002642314982024611,9.803041031046442e-06,0.00264231498202461,-9.80304103104644e-06,3.848270115087672e-10,-1.611176907083143e-07,0.002642346475745892,6.311202035988105e-06,-3.187854829251637e-08,-1.595312537632623e-05,0.002642314982024611,-9.803041031046442e-06
2,271227.2579331989,0.0,1.0,0.0,3.821793653189883e-07,-0.000155051713054966,-5.813087045467033,0.02248246089065019,0.0,0.0,-0.002642312293394106,1.0219300404841e-05,0.002642312293394106,-1.021930040484099e-05,3.821793653189883e-10,-1.55051713054966e-07,0.002642346517975359,6.512990377827482e-06,-3.460676061773897e-08,-1.657723906961351e-05,0.002642312293394106,-1.0219300404841e-05
2,281838.2931264414,0.0,1.0,0.0,3.79727329571879e-07,-0.0001492141156736885,-5.813080656252648,0.02343134335970946,0.0,0.0,-0.002642309389205749,1.065061061804976e-05,0.002642309389205749,-1.065061061804975e-05,3.797273295718791e-10,-1.492141156736885e-07,0.002642346562089612,6.724371881946902e-06,-3.755261119242128e-08,-1.722576838432296e-05,0.002642309389205749,-1.065061061804976e-05
2,292864.4564625195,0.0,1.0,0.0,3.774564522411871e-07,-0.0001435963001999225,-5.813073755156437,0.02441473491653653,0.0,0.0,-0.002642306252343835,1.109760678024388e-05,0.002642306252343836,-1.109760678024388e-05,3.774564522411871e-10,-1.435963001999225e-07,0.002642346608348641,6.945657896409716e-06,-4.07334612583499e-08,-1.789966837645367e-05,0.002642306252343835,-1.109760678024388e-05
2,304321.9887107678,0.0,1.0,0.0,3.75353349027977e-07,-0.0001381899919915335,-5.813066301507336,0.02543408358328612,0.0,0.0,-0.002642302864321517,1.156094708331188e-05,0.002642302864321517,-1.156094708331187e-05,3.75353349027977e-10,-1.381899919915335e-07,0.002642346657025074,7.177174357662647e-06,-4.416805690640435e-08,-1.859993144898299e-05,0.002642302864321517,-1.156094708331188e-05
2,316227.7660168334,0.0,1.0,0.0,3.734056244751158e-07,-0.0001329872279409498,-5.813058251378134,0.02649089029014253,0.0,0.0,-0.002642299205171879,1.204131376824661e-05,0.002642299205171879,-1.20413137682466e-05,3.734056244751159e-10,-1.329872279409498e-07,0.002642346708405784,7.419262270585395e-06,-4.787663952876339e-08,-1.932758881089105e-05,0.002642299205171879,-1.204131376824661e-05
2,328599.3247600607,0.0,1.0,0.0,3.716017989098733e-07,-0.0001279803447461558,-5.813049557326655,0.02758671107946079,0.0,0.0,-0.002642295253330298,1.253941412702763e-05,0.002642295253330298,-1.253941412702763e-05,3.716017989098733e-10,-1.279803447461558e-07,0.002642346762793577,7.672278210731009e-06,-5.188106507841368e-08,-2.008371199301248e-05,0.002642295253330298,-1.253941412702763e-05
2,341454.8873833552,0.0,1.0,0.0,3.699312407840455e-07,-0.0001231619676232691,-5.813040168116251,0.02872315939027595,0.0,0.0,-0.002642290985507386,1.305598154103452e-05,0.002642290985507386,-1.305598154103452e-05,3.699312407840455e-10,-1.231619676232691e-07,0.002642346820508984,7.936594849496287e-06,-5.620493283789413e-08,-2.086941442290754e-05,0.002642290985507386,-1.305598154103452e-05
2,354813.3892335703,0.0,1.0,0.0,3.683841040128238e-07,-0.0001185249994440743,-5.813030028413928,0.02990190842644727,0.0,0.0,-0.002642286376551786,1.359177655747603e-05,0.002642286376551786,-1.359177655747603e-05,3.683841040128238e-10,-1.185249994440743e-07,0.002642346881892137,8.212601502995233e-06,-6.087372445509583e-08,-2.168585306102719e-05,0.002642286376551786,-1.359177655747603e-05
2,368694.5064519521,0.0,1.0,0.0,3.66951269943091e-07,-0.0001140626102825162,-5.81301907846438,0.0311246936118145,0.0,0.0,-0.002642281399301991,1.414758800537023e-05,0.002642281399301991,-1.414758800537022e-05,3.66951269943091e-10,-1.140626102825162e-07,0.002642346947304785,8.50070470544339e-06,-6.591495406426234e-08,-2.25342301005311e-05,0.002642281399301991,-1.414758800537023e-05
2,383118.6849557231,0.0,1.0,0.0,3.656242936091163e-07,-0.000109768227354756,-5.81300725373794,0.03239331513585839,0.0,0.0,-0.002642276024426336,1.47242341526629e-05,0.002642276024426336,-1.47242341526629e-05,3.656242936091163e-10,-1.09768227354756e-07,0.002642347017132418,8.80132880789695e-06,-7.135833037545111e-08,-2.341579473320509e-05,0.002642276024426336,-1.47242341526629e-05
2,398107.1705534914,0.0,1.0,0.0,3.643953539588814e-07,-0.0001056355253379733,-5.812994484550459,0.03370964059347607,0.0,0.0,-0.002642270220250209,1.532256390612549e-05,0.002642270220250208,-1.532256390612549e-05,3.643953539588814e-10,-1.056355253379733e-07,0.002642347091786541,9.114916603227736e-06,-7.723593168600447e-08,-2.433184498401525e-05,0.002642270220250209,-1.532256390612549e-05
2,413682.0402388446,0.0,1.0,0.0,3.63257207757686e-07,-0.0001016584170536549,-5.812980695652811,0.03507560772260311,0.0,0.0,-0.002642263952569459,1.594345805572869e-05,0.002642263952569459,-1.594345805572869e-05,3.63257207757686e-10,-1.016584170536549e-07,0.002642347171707094,9.441929978253861e-06,-8.358239484344121e-08,-2.528372961692889e-05,0.002642263952569459,-1.594345805572869e-05
2,429866.2347082213,0.0,1.0,0.0,3.622031468973368e-07,-9.783104450164847e-05,-5.812965805787641,0.03649322724353919,0.0,0.0,-0.002642257184448928,1.658783056524509e-05,0.002642257184448928,-1.658783056524509e-05,3.622031468973368e-10,-9.783104450164847e-08,0.002642347257365052,9.782850593985453e-06,-9.043511927106198e-08,-2.627285011472889e-05,0.002642257184448928,-1.658783056524509e-05
2,446683.5921509565,0.0,1.0,0.0,3.612269588593133e-07,-9.41477702317751e-05,-5.812949727210765,0.03796458580396332,0.0,0.0,-0.002642249876004893,1.725662991089242e-05,0.002642249876004893,-1.725662991089242e-05,3.612269588593133e-10,-9.41477702317751e-08,0.00264234734926519,1.013818059498653e-05,-9.783448725593738e-08,-2.730066273564717e-05,0.002642249876004893,-1.725662991089242e-05
2,464158.8833612709,0.0,1.0,0.0,3.603228900988816e-07,-9.060316904029276e-05,-5.812932365174343,0.03949184903375521,0.0,0.0,-0.002642241984170156,1.795084046988873e-05,0.002642241984170156,-1.795084046988873e-05,3.603228900988816e-10,-9.060316904029276e-08,0.00264234744794906,1.05084433488965e-05,-1.058241017943232e-07,-2.836868064974494e-05,0.002642241984170156,-1.795084046988873e-05
2,482317.8482239234,0.0,1.0,0.0,3.594856121343464e-07,-8.719201997898e-05,-5.812913617368886,0.04107726471387543,0.0,0.0,-0.002642233462440403,1.867148396085247e-05,0.002642233462440403,-1.867148396085246e-05,3.594856121343464e-10,-8.719201997898001e-08,0.002642347553998183,1.08941842171993e-05,-1.144510433924835e-07,-2.947847615807278e-05,0.002642233462440403,-1.867148396085247e-05
2,501187.2336272647,0.0,1.0,0.0,3.58710190141576e-07,-8.39092986650704e-05,-5.812893373320721,0.04272316606369378,0.0,0.0,-0.002642224260600328,1.941962093804263e-05,0.002642224260600328,-1.941962093804263e-05,3.58710190141576e-10,-8.39092986650704e-08,0.002642347668037469,1.129597135837383e-05,-1.237661473319817e-07,-3.063168299775139e-05,0.002642224260600328,-1.941962093804263e-05
2,520794.8328595385,0.0,1.0,0.0,3.579920538687021e-07,-8.075016988071157e-05,-5.81287151374144,0.0444319751512967,0.0,0.0,-0.002642214324427927,2.01963523414985e-05,0.002642214324427927,-2.01963523414985e-05,3.579920538687022e-10,-8.075016988071157e-08,0.002642347790738902,1.171439656460709e-05,-1.338243030283689e-07,-3.182999873622488e-05,0.002642214324427927,-2.01963523414985e-05
2,541169.5265464555,0.0,1.0,0.0,3.573269706995639e-07,-7.770998045104783e-05,-5.812847909825483,0.04620620643144693,0.0,0.0,-0.00264220359537522,2.100282110520315e-05,0.002642203595375219,-2.100282110520315e-05,3.573269706995639e-10,-7.770998045104783e-08,0.002642347922825489,1.21500761333004e-05,-1.44684777241549e-07,-3.307518725805251e-05,0.00264220359537522,-2.100282110520315e-05
2,562341.3251903405,0.0,1.0,0.0,3.567110207071421e-07,-7.478425239043767e-05,-5.812822422491737,0.04804847041601509,0.0,0.0,-0.002642192010223517,2.18402138254614e-05,0.002642192010223516,-2.184021382546141e-05,3.567110207071421e-10,-7.478425239043767e-08,0.002642348065075532,1.260365177465029e-05,-1.564115630356616e-07,-3.436908134772126e-05,0.002642192010223517,-2.18402138254614e-05
