Cbypass,time,V(in),V(em),V(col),V(out),V(base),V(low),I(RC),I(RE1),Ic(Q1),Ib(Q1),Ie(Q1)
0.0001,0.04585700000000585,-0.0078239081055368,1.343346979726744,7.770692924548655,0.1972284573923666,2.003348208952589,1.214800396310445,0.001281608204682226,0.001285465834162989,0.001277411854525703,8.05397964365533e-06,-0.001285465834169359
0.0001,0.04585900000000585,-0.007745030601754618,1.343412146549234,7.768657539298033,0.1951922372040986,2.003427255833541,1.214799116721625,0.001282224988091505,0.001286130298276096,0.001278071961777095,8.058336505172036e-06,-0.001286130298282267
0.0001,0.045861000000005855,-0.00766493006785754,1.343478331754283,7.766591366390642,0.1931252380893147,2.003507523983242,1.21479785055087,0.001282851101093745,0.00128680481203413,0.001278742053470881,8.062758569342344e-06,-0.001286804812040223
0.0001,0.04586300000000586,-0.0075836191526477,1.343545525145497,7.764494724416458,0.1910277787682872,2.003589000726442,1.214796597997833,0.001283486447146528,0.001287489271476641,0.001279422026326108,8.067245156407725e-06,-0.001287489271482516
0.0001,0.04586500000000586,-0.007501110696061177,1.343613716367861,7.762367936594543,0.1889001825890091,2.003671673197035,1.214795359260067,0.001284130928304684,0.001288183571077943,0.001280111775494763,8.071795588879698e-06,-0.001288183571083643
0.0001,0.04586700000000586,-0.00741741772714048,1.343682894909121,7.760211330896247,0.1867427776503732,2.003755528340089,1.214794134532996,0.001284784445182955,0.001288887603761257,0.0012808111946007,8.076409166163752e-06,-0.001288887603766864
0.0001,0.04586900000000586,-0.007332553461975234,1.343753050101404,7.758025240090937,0.1845558968478844,2.003840552913914,1.214792924009881,0.00128544689694214,0.001289601260915227,0.001281520175729738,8.081085190959794e-06,-0.001289601260920698
0.0001,0.045871000000005865,-0.007246531301616684,1.343824171122597,7.755810001601795,0.1823398777294338,2.003926733492143,1.214791727881794,0.001286118181332789,0.00129032443240803,0.001282238609470335,8.085822943044298e-06,-0.001290324432413379
0.0001,0.04587300000000587,-0.00715936482996115,1.343896246997972,7.753565957319289,0.1800950623087569,2.004014056465862,1.214790546337582,0.001286798194751731,0.001291057006603902,0.001282966384903718,8.090621705494735e-06,-0.001291057006609213
0.0001,0.04587500000000587,-0.007071067811604976,1.343969266601712,7.751293453946921,0.1778217974111556,2.004102508045753,1.214789379563842,0.001287486832137297,0.0012917988703787,0.001283703389645284,8.095480738436753e-06,-0.00129179887038372
0.0001,0.04587700000000587,-0.006981654189670522,1.344043218658505,7.748992842410857,0.1755204340831131,2.00419207426427,1.214788227744889,0.001288183987148225,0.001292549909136158,0.001284449509834546,8.100399306450505e-06,-0.001292549909140996
0.0001,0.04587900000000587,-0.006891138083606018,1.344118091745119,7.746664478202959,0.1731913279352986,2.004282740977855,1.214787091062729,0.001288889552059709,0.001293310006823898,0.001285204630179219,8.105376649447664e-06,-0.001293310006828667
0.0001,0.045881000000005875,-0.006799533786953503,1.34419387429216,7.744308721375702,0.1708348391374752,2.004374493869157,1.214785969697027,0.001289603417764939,0.001294079045951331,0.001285968633942197,8.110412013771586e-06,-0.001294079045955968
0.0001,0.04588300000000588,-0.006706855765093333,1.344270554585561,7.74192593621418,0.1684513320904832,2.004467318449302,1.214784863825079,0.001290325473874491,0.001294856907604822,0.001286741402988057,8.115504621220767e-06,-0.001294856907609278
0.0001,0.04588500000000588,-0.006613118652959513,1.344348120768377,7.739516491164053,0.1660411753541728,2.004561200060182,1.214783773621787,0.001291055608738166,0.001295643471465897,0.0012875228177708,8.120653699441239e-06,-0.001295643471470241
0.0001,0.04588700000000588,-0.006518337252728687,1.344426560842452,7.737080759154473,0.1636047419703006,2.004656123876765,1.214782699259629,0.001291793709347129,0.001296438615828233,0.001288312757381046,8.125858451445755e-06,-0.001296438615832492
0.0001,0.04588900000000588,-0.006422526531482255,1.344505862670208,7.734619117270427,0.1611424091348681,2.004752074909437,1.214781640908629,0.001292539661433204,0.001297242217615799,0.001289111099532106,8.131118087700905e-06,-0.001297242217619806
0.0001,0.045891000000005885,-0.006325701618844643,1.344586013976267,7.732131946615972,0.1586545580613343,2.004849038006368,1.214780598736333,0.001293293349510311,0.001298054152399344,0.001289917720610057,8.136431793254502e-06,-0.001298054152403312
0.0001,0.04589300000000589,-0.006227877804592001,1.344667002349404,7.7296196325468,0.1561415742131569,2.004946997855912,1.214779572907783,0.001294054656804,0.001298874294416203,0.001290732495659273,8.141798760673624e-06,-0.001298874294419947
0.0001,0.04589500000000589,-0.006129070536237722,1.344748815244157,7.727082564262723,0.1536038468962699,2.005045938989015,1.214778563585488,0.001294823465374932,0.001299702516586683,0.001291555298431724,8.147218158554007e-06,-0.001299702516590278
0.0001,0.04589700000000589,-0.00602929541659533,1.344831439982825,7.72452113503811,0.1510417694894945,2.005145845781664,1.214777570929399,0.001295599656049058,0.001300538690534268,0.001292386001376384,8.152689161420138e-06,-0.001300538690537805
0.0001,0.04589900000000589,-0.005928568201312389,1.344914863757189,7.721935742105892,0.1484557393285346,2.005246702457352,1.214776595096881,0.00129638310845276,0.001301382686603079,0.001293224475685135,8.15821092141519e-06,-0.00130138268660655
0.0001,0.045901000000005895,-0.005826904796384771,1.344999073630489,7.719326786605542,0.1458461576539376,2.00534849308957,1.214775636242694,0.001297173701028624,0.001302234373877946,0.001294070591284563,8.163782596690878e-06,-0.001302234373881253
0.0001,0.0459030000000059,-0.005724321255642179,1.345084056539167,7.716694673326238,0.1432134293542395,2.005451201604322,1.21477469451896,0.001297971311113261,0.001303093620202067,0.001294924216881892,8.169403323230373e-06,-0.001303093620205123
0.0001,0.0459050000000059,-0.005620833778214884,1.345169799294919,7.714039810793039,0.1405579630521219,2.005554811782664,1.214773770075144,0.0012987758149112,0.001303960292197743,0.001295785219958209,8.175072242469106e-06,-0.001303960292200679
0.0001,0.0459070000000059,-0.005516458705975235,1.345256288586533,7.711362611278886,0.1378801711164073,2.005659307263262,1.214772863058029,0.001299587087491247,0.001304834255285039,0.001296653466813409,8.180788474505735e-06,-0.001304834255287915
0.0001,0.0459090000000059,-0.005411212520957093,1.345343510981984,7.708663490889876,0.1351804697473131,2.00576467154498,1.21477197361169,0.001300405002760644,0.001305715373702949,0.001297528822560418,8.186551145184132e-06,-0.001305715373705602
0.0001,0.045911000000005905,-0.005305111842752645,1.345431452930169,7.705942868820834,0.132459278232,2.005870887989485,1.214771101877471,0.001301229433690656,0.001306603510526976,0.001298411151169317,8.192359360259322e-06,-0.001306603510529576
0.0001,0.04591300000000591,-0.005198173425889895,1.345520100763189,7.703201168215152,0.1297170198044073,2.00597793982387,1.214770247993966,0.001302060252056015,0.001307498527692232,0.001299300315466056,8.198212228655873e-06,-0.001307498527694712
0.0001,0.04591500000000591,-0.005090414157184058,1.34560944069812,7.700438815324645,0.1269541208050935,2.006085810143309,1.214769412096992,0.001302897328689502,0.001308400286011286,0.001300196177170644,8.204108843011601e-06,-0.001308400286013656
0.0001,0.04591700000000591,-0.004981851053072848,1.345699458839271,7.697656240054187,0.1241710112258456,2.006194481913722,1.214768594319566,0.001303740533316913,0.001309308645197049,0.001301098596903202,8.210048296125999e-06,-0.001309308645199328
