case,time,v(out),v(vn),v(in),v(vp),i(vp),i(vin),i(rl),i(vn)
2,8.957000000000153e-05,-1.222487679667202,-12.0,-1.334509946597237,12.0,-0.001081537131722876,1.334509946597236e-09,-0.0001222487679667203,0.001203772303691494
2,8.959000000000153e-05,-1.232455742371796,-12.0,-1.273853628412292,12.0,-0.001080958740379383,1.273853628412292e-09,-0.0001232455742371796,0.001204190679252662
2,8.961000000000154e-05,-1.232546257730268,-12.0,-1.212996153972373,12.0,-0.001080900099829446,1.212996153972373e-09,-0.0001232546257730268,0.001204141150991198
2,8.963000000000154e-05,-1.222647680381577,-12.0,-1.151947133378278,12.0,-0.001081474400838583,1.151947133378279e-09,-0.0001222647680381578,0.001203725753909299
2,8.965000000000154e-05,-1.212676156436379,-12.0,-1.090716206977993,12.0,-0.001082052929095939,1.090716206977993e-09,-0.000121267615643638,0.001203307291144595
2,8.967000000000155e-05,-1.202704735493465,-12.0,-1.029313043844644,12.0,-0.001082630538947464,1.029313043844643e-09,-0.0001202704735493465,0.001202887920320188
2,8.969000000000155e-05,-1.192733224595624,-12.0,-0.9677473402494949,12.0,-0.001083207747187877,9.677473402494949e-10,-0.0001192733224595624,0.001202468139051616
2,8.971000000000155e-05,-1.182761814696723,-12.0,-0.9060288181309075,12.0,-0.001083784043607712,9.060288181309074e-10,-0.0001182761814696723,0.00120204745621507
2,8.973000000000155e-05,-1.172790315736074,-12.0,-0.8441672235588833,12.0,-0.001084359932445898,8.441672235588834e-10,-0.0001172790315736074,0.001201626357033664
2,8.975000000000156e-05,-1.162818917122934,-12.0,-0.7821723251963273,12.0,-0.001084934915940181,7.821723251963271e-10,-0.0001162818917122934,0.001201204362676227
2,8.977000000000156e-05,-1.152847430334229,-12.0,-0.7200539127563932,12.0,-0.001085509485962574,7.200539127563929e-10,-0.0001152847430334229,0.001200781946152765
2,8.979000000000156e-05,-1.142876043247967,-12.0,-0.6578217954565402,12.0,-0.001086083157028753,6.578217954565404e-10,-0.0001142876043247967,0.001200358640756911
2,8.981000000000157e-05,-1.132904568865423,-12.0,-0.5954858004694725,12.0,-0.001086656408812108,5.954858004694729e-10,-0.0001132904568865423,0.001199934907452335
2,8.983000000000157e-05,-1.122933193546557,-12.0,-0.5330557713714204,12.0,-0.001087228767939097,5.330557713714206e-10,-0.0001122933193546557,0.001199510291491658
2,8.985000000000157e-05,-1.112961731803858,-12.0,-0.4705415665876547,12.0,-0.001087800702050522,4.705415665876546e-10,-0.0001112961731803859,0.001199085241957124
2,8.987000000000158e-05,-1.102990368492321,-12.0,-0.4079530578358339,12.0,-0.001088371749718514,4.079530578358341e-10,-0.0001102990368492321,0.001198659315896466
2,8.989000000000158e-05,-1.093018919622636,-12.0,-0.3453001285670743,12.0,-0.001088942366715577,3.453001285670742e-10,-0.0001093018919622636,0.001198232950673291
2,8.991000000000158e-05,-1.083047568557786,-12.0,-0.2825926724051679,12.0,-0.001089512103396237,2.825926724051679e-10,-0.0001083047568557786,0.001197805714968657
2,8.993000000000159e-05,-1.073076132793775,-12.0,-0.2198405915843706,12.0,-0.001090081403826791,2.198405915843705e-10,-0.0001073076132793775,0.001197378034588491
2,8.995000000000159e-05,-1.063104794214405,-12.0,-0.1570537953856536,12.0,-0.00109064982998313,1.57053795385654e-10,-0.0001063104794214405,0.001196949489687148
2,8.99700000000016e-05,-1.053133371788229,-12.0,-0.09424219857201985,12.0,-0.001091217814385523,9.424219857202007e-11,-0.0001053133371788229,0.001196520494671865
2,8.99900000000016e-05,-1.043162045932582,-12.0,-0.03141571982277683,12.0,-0.001091784930471913,3.14157198227768e-11,-0.0001043162045932582,0.001196090641012358
2,9.00100000000016e-05,-1.033190637075916,-12.0,0.03141571983277324,12.0,-0.001092351599374881,-3.141571983277328e-11,-0.0001033190637075916,0.001195660331874182
2,9.00300000000016e-05,-1.02321932418169,-12.0,0.0942421985820502,12.0,-0.00109291740583705,-9.424219858205046e-11,-0.0001023219324181691,0.001195229169886396
2,9.00500000000016e-05,-1.013247929125732,-12.0,0.1570537953956808,12.0,-0.001093482759759748,-1.570537953956811e-10,-0.0001013247929125732,0.00119479754712791
2,9.007000000000161e-05,-1.003276629430097,-12.0,0.2198405915943931,12.0,-0.001094047257034839,-2.198405915943934e-10,-0.0001003276629430097,0.001194365077232931
2,9.009000000000161e-05,-0.9933052484055753,-12.0,0.282592672415184,12.0,-0.001094611296486844,-2.825926724151842e-10,-9.933052484055754e-05,0.001193932141347165
2,9.011000000000162e-05,-0.9833339621451774,-12.0,0.3453001285770471,12.0,-0.001095174485003306,-3.453001285770475e-10,-9.833339621451775e-05,0.001193498363957518
2,9.013000000000162e-05,-0.9733625953823661,-12.0,0.4079530578458326,12.0,-0.001095737210484671,-4.079530578458323e-10,-9.733625953823662e-05,0.001193064115427848
2,9.015000000000162e-05,-0.9633913227933443,-12.0,0.4705415665976423,12.0,-0.001096299090662368,-4.70541566597642e-10,-9.633913227933443e-05,0.00119262903094737
2,9.017000000000163e-05,-0.9534199705220694,-12.0,0.53305577138136,12.0,-0.001096860502663555,-5.3305577138136e-10,-9.534199705220694e-05,0.00119219347024771
2,9.019000000000163e-05,-0.943448711840062,-12.0,0.5954858004794332,12.0,-0.001097421074913701,-5.954858004794329e-10,-9.43448711840062e-05,0.001191757079071626
2,9.021000000000163e-05,-0.9334773742897118,-12.0,0.6578217954664499,12.0,-0.00109798117391563,-6.5782179546645e-10,-9.334773742897118e-05,0.001191320206666326
2,9.023000000000163e-05,-0.9235061297498687,-12.0,0.7200539127663207,12.0,-0.001098540438640772,-7.200539127663207e-10,-9.235061297498687e-05,0.001190882509181319
2,9.025000000000164e-05,-0.9135348071494055,-12.0,0.7821723252062358,12.0,-0.001099099225114829,-7.821723252062359e-10,-9.135348071494056e-05,0.001190444325525321
2,9.027000000000164e-05,-0.9035635769863992,-12.0,0.8441672235687364,12.0,-0.001099657182708873,-8.441672235687368e-10,-9.035635769863993e-05,0.001190005322109423
2,9.029000000000164e-05,-0.8935922695643675,-12.0,0.9060288181407737,12.0,-0.001100214657116932,-9.06028818140774e-10,-8.935922695643675e-05,0.00118956582764821
2,9.031000000000165e-05,-0.883621054012402,-12.0,0.9677473402593373,12.0,-0.001100771307965133,-9.677473402593375e-10,-8.83621054012402e-05,0.001189125518670939
2,9.033000000000165e-05,-0.8736497619969392,-12.0,1.029313043854461,12.0,-0.001101327470759535,-1.029313043854461e-09,-8.736497619969393e-05,0.001188684713840558
2,9.035000000000165e-05,-0.8636785612897622,-12.0,1.090716206987784,12.0,-0.0011018828152385,-1.090716206987784e-09,-8.636785612897622e-05,0.001188243099662929
2,9.037000000000166e-05,-0.8537072849086084,-12.0,1.151947133388006,12.0,-0.001102437666862049,-1.151947133388005e-09,-8.537072849086085e-05,0.00118780098489011
