case,frequency_real,frequency_imag,v(sum)_real,v(sum)_imag,v(vn)_real,v(vn)_imag,v(x)_real,v(x)_imag,v(in)_real,v(in)_imag,v(out)_real,v(out)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(ri)_real,i(ri)_imag,i(rf)_real,i(rf)_imag,i(vn)_real,i(vn)_imag,i(ci)_real,i(ci)_imag,i(cf)_real,i(cf)_imag
1,2.154434690031882,0.0,-2.922091461607887e-10,1.356630169724533e-09,0.0,0.0,-1.089481995073108e-10,1.353806902133085e-05,1.0,0.0,-3.694259125797066e-08,-0.001353669881854154,0.0,0.0,9.14453870665527e-14,6.761573762861356e-09,-1.832609466534779e-13,-1.353671239116113e-08,1.832609466534779e-13,1.353671239116113e-08,-3.665038211180988e-13,-1.353671238484324e-08,9.14453870665527e-14,6.761573762861356e-09,1.832609466534779e-13,1.353671239116113e-08,1.832425822555278e-13,-4.961256816196747e-18
1,2.238721138568337,0.0,-3.155201782227753e-10,1.409705328494008e-09,0.0,0.0,-1.176395597906679e-10,1.406770947170818e-05,1.0,0.0,-3.988969247309838e-08,-0.001406628566235007,0.0,0.0,9.874045766993931e-14,7.026102106074189e-09,-1.978806184321074e-13,-1.406629976637968e-08,1.978806184321074e-13,1.406629976637968e-08,-3.957417229487561e-13,-1.406629975940336e-08,9.874045766993931e-14,7.026102106074189e-09,1.978806184321074e-13,1.406629976637968e-08,1.978607889962458e-13,-5.566621704405927e-18
1,2.326305067153623,0.0,-3.406908516504333e-10,1.464856990414624e-09,0.0,0.0,-1.270242747485503e-10,1.461807067680415e-05,1.0,0.0,-4.307189916609003e-08,-0.001461659116353312,0.0,0.0,1.066174937144644e-13,7.300979407523572e-09,-2.13666576901883e-13,-1.461660581981373e-08,2.13666576901883e-13,1.461660581981373e-08,-4.27312083144396e-13,-1.461660581210302e-08,1.066174937144644e-13,7.300979407523572e-09,2.13666576901883e-13,1.461660581981373e-08,2.136451655519701e-13,-6.245852280571731e-18
1,2.417315480804101,0.0,-3.678695196353974e-10,1.522166402916029e-09,0.0,0.0,-1.371576568621824e-10,1.518996328029221e-05,1.0,0.0,-4.650796691477386e-08,-0.001518842588369514,0.0,0.0,1.151229215907431e-13,7.586610542263386e-09,-2.30711862773215e-13,-1.51884411138893e-08,2.30711862773215e-13,1.51884411138893e-08,-4.614009739513847e-13,-1.518844110535916e-08,1.151229215907431e-13,7.586610542263386e-09,2.30711862773215e-13,1.51884411138893e-08,2.306887433088825e-13,-7.007961521790576e-18
1,2.511886431509577,0.0,-3.972163702692175e-10,1.581717993215463e-09,0.0,0.0,-1.480994311748776e-10,1.578422964009535e-05,1.0,0.0,-5.021814752603424e-08,-0.001578263209547743,0.0,0.0,1.243068713561278e-13,7.883416225066912e-09,-2.491169390943398e-13,-1.578264792210214e-08,2.491169390943398e-13,1.578264792210214e-08,-4.982093115576503e-13,-1.578264791265736e-08,1.243068713561278e-13,7.883416225066912e-09,2.491169390943398e-13,1.578264792210214e-08,2.490919752470809e-13,-7.86306215466277e-18
1,2.610157215682533,0.0,-4.289043706744138e-10,1.64359949286491e-09,0.0,0.0,-1.599140873048801e-10,1.640174506912075e-05,1.0,0.0,-5.422430839807274e-08,-0.001640008502316685,0.0,0.0,1.34223472208528e-13,8.191833629967063e-09,-2.689902833695337e-13,-1.640010146962788e-08,2.689902833695337e-13,1.640010146962788e-08,-5.379540402739833e-13,-1.640010145916178e-08,1.34223472208528e-13,8.191833629967063e-09,2.689902833695337e-13,1.640010146962788e-08,2.689633279994343e-13,-8.822500845078762e-18
1,2.712272579332025,0.0,-4.631202864537423e-10,1.707902067188706e-09,0.0,0.0,-1.726712595400886e-10,1.704341912453486e-05,1.0,0.0,-5.855006140397254e-08,-0.00170416941318401,0.0,0.0,1.449311715034065e-13,8.512317034313132e-09,-2.904490269136537e-13,-1.704171122246767e-08,2.904490269136537e-13,1.704171122246767e-08,-5.808694111751879e-13,-1.704171121086077e-08,1.449311715034065e-13,8.512317034313132e-09,2.904490269136537e-13,1.704171122246767e-08,2.904199211420318e-13,-9.899008761503112e-18
1,2.81838293126445,0.0,-5.000657824661868e-10,1.774720449805108e-09,0.0,0.0,-1.864461372548937e-10,1.7710196947478e-05,1.0,0.0,-6.322090205868311e-08,-0.00177084044669421,0.0,0.0,1.56493079250793e-13,8.845338487804838e-09,-3.136196452112932e-13,-1.77084222270282e-08,3.136196452112931e-13,1.77084222270282e-08,-6.272083627621693e-13,-1.77084222141466e-08,1.56493079250793e-13,8.845338487804838e-09,3.136196452112932e-13,1.77084222270282e-08,3.135882174841262e-13,-1.110687051004473e-17
1,2.928644564625232,0.0,-5.39958611417538e-10,1.844153082433167e-09,0.0,0.0,-2.01319908068086e-10,1.840306065519158e-05,1.0,0.0,-6.826435978488651e-08,-0.001840119804627205,0.0,0.0,1.689773400667921e-13,9.191388507777643e-09,-3.38638703349452e-13,-1.840121650210914e-08,3.38638703349452e-13,1.840121650210914e-08,-6.772440117346899e-13,-1.840121648780287e-08,1.689773400667921e-13,9.191388507777643e-09,3.38638703349452e-13,1.840121650210914e-08,3.386047684260732e-13,-1.24621136821781e-17
1,3.043219887107717,0.0,-5.830338972709732e-10,1.916302260194423e-09,0.0,0.0,-2.173802363537498e-10,1.912303078760868e-05,1.0,0.0,-7.371016017019129e-08,-0.001912109530642685,0.0,0.0,1.82457534819587e-13,9.550976801809932e-09,-3.656536609172233e-13,-1.912111448534848e-08,3.656536609172234e-13,1.912111448534848e-08,-7.312712627292031e-13,-1.912111446944945e-08,1.82457534819587e-13,9.550976801809932e-09,3.656536609172233e-13,1.912111448534848e-08,3.656170187783183e-13,-1.398272153145087e-17
