case,frequency_real,frequency_imag,v(ref)_real,v(ref)_imag,v(tail)_real,v(tail)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(out)_real,v(out)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,ic(q2)_real,ic(q2)_imag,ib(q2)_real,ib(q2)_imag,i(it)_real,i(it)_imag,ic(q4)_real,ic(q4)_imag,ib(q4)_real,ib(q4)_imag,i(vn)_real,i(vn)_imag,ic(q1)_real,ic(q1)_imag,ib(q1)_real,ib(q1)_imag,ic(q3)_real,ic(q3)_imag,ib(q3)_real,ib(q3)_imag,i(rl)_real,i(rl)_imag
1,23.26305067153623,0.0,-0.4709691788413669,3.942540455915384e-07,0.5286891532176876,-6.277434893092337e-09,0.0,0.0,1.0,0.0,19.87920978815922,-2.452728177616446e-05,0.0,0.0,-0.01988615963780743,1.360848250283289e-08,-5.708657267133929e-05,-1.826548816612948e-09,-0.009522047404714025,1.113335197507767e-08,-6.403642231954908e-05,-1.27453480899445e-08,0.0,0.0,-0.0103571623834452,1.339392980108678e-08,-6.269079209839622e-05,-6.231845532531186e-09,0.0,0.0,0.009528997254362239,-2.145527017461167e-10,5.708657267133876e-05,1.826548816612948e-09,-0.009403615690521495,7.871881421830596e-09,-6.269077174234951e-05,-1.425483187553296e-09,0.01987920978815922,-2.452728177616446e-08
1,24.17315480804101,0.0,-0.4709691788413337,4.096781721513765e-07,0.5286891532176875,-6.523022608285022e-09,0.0,0.0,1.0,0.0,19.87920978815695,-2.548684554605964e-05,0.0,0.0,-0.01988615963780624,1.41408776900429e-08,-5.708657267134507e-05,-1.89800761438624e-09,-0.009522047404712937,1.156891435374922e-08,-6.403642232064716e-05,-1.324397547040298e-08,0.0,0.0,-0.01035716238344401,1.391793119231042e-08,-6.269079209895653e-05,-6.475649686908045e-09,0.0,0.0,0.009528997254362234,-2.229464977324842e-10,5.70865726713457e-05,1.898007614386241e-09,-0.009403615690520832,8.179847558569104e-09,-6.269077174244318e-05,-1.481251373928578e-09,0.01987920978815694,-2.548684554605964e-08
1,25.11886431509577,0.0,-0.4709691788412983,4.257057260768762e-07,0.528689153217687,-6.778218280689615e-09,0.0,0.0,1.0,0.0,19.87920978815448,-2.648394966130956e-05,0.0,0.0,-0.01988615963780497,1.469410140352715e-08,-5.708657267135135e-05,-1.972262044957716e-09,-0.009522047404711756,1.202151693613817e-08,-6.403642232183197e-05,-1.376211030274012e-08,0.0,0.0,-0.01035716238344273,1.446243272517139e-08,-6.269079209956542e-05,-6.728992021488631e-09,0.0,0.0,0.009528997254362239,-2.31668678355761e-10,5.708657267135091e-05,1.972262044957716e-09,-0.009403615690520126,8.499862040079949e-09,-6.269077174254727e-05,-1.539201340235561e-09,0.01987920978815448,-2.648394966130956e-08
1,26.10157215682533,0.0,-0.47096917884126,4.423603148367786e-07,0.5286891532176865,-7.043397795727366e-09,0.0,0.0,1.0,0.0,19.87920978815183,-2.752006278671121e-05,0.0,0.0,-0.01988615963780359,1.526896850321895e-08,-5.708657267135813e-05,-2.049421479923115e-09,-0.009522047404710481,1.249182637427174e-08,-6.40364223231122e-05,-1.430051576341537e-08,0.0,0.0,-0.01035716238344135,1.502823641243947e-08,-6.269079210022115e-05,-6.992245691856898e-09,0.0,0.0,0.009528997254362239,-2.407320907794871e-10,5.708657267135785e-05,2.049421479923116e-09,-0.009403615690519363,8.83239622536801e-09,-6.269077174265482e-05,-1.599418442731625e-09,0.01987920978815183,-2.752006278671121e-08
1,27.12272579332025,0.0,-0.4709691788412185,4.596664694783897e-07,0.5286891532176862,-7.318951744323266e-09,0.0,0.0,1.0,0.0,19.87920978814897,-2.859671104461202e-05,0.0,0.0,-0.01988615963780209,1.586632572824954e-08,-5.708657267136542e-05,-2.12959956974698e-09,-0.00952204740470911,1.298053540114031e-08,-6.40364223244913e-05,-1.485998488610946e-08,0.0,0.0,-0.01035716238343986,1.56161756434717e-08,-6.269079210093065e-05,-7.265798452302937e-09,0.0,0.0,0.009528997254362237,-2.501500847778369e-10,5.708657267136479e-05,2.12959956974698e-09,-0.009403615690518532,9.177939914088372e-09,-6.269077174277451e-05,-1.661991377007601e-09,0.01987920978814897,-2.859671104461202e-08
1,28.1838293126445,0.0,-0.4709691788411737,4.776496807601016e-07,0.5286891532176856,-7.605285998219032e-09,0.0,0.0,1.0,0.0,19.87920978814587,-2.971548026278155e-05,0.0,0.0,-0.01988615963780048,1.648705294413565e-08,-5.708657267137332e-05,-2.212914411161856e-09,-0.009522047404707624,1.34883638510448e-08,-6.403642232598317e-05,-1.544134172980775e-08,0.0,0.0,-0.01035716238343825,1.622711641173674e-08,-6.269079210169219e-05,-7.550053226957972e-09,0.0,0.0,0.009528997254362237,-2.599365323989082e-10,5.708657267137346e-05,2.212914411161855e-09,-0.009403615690517637,9.537002067987042e-09,-6.269077174290288e-05,-1.727012308630161e-09,0.01987920978814587,-2.971548026278155e-08
1,29.28644564625232,0.0,-0.4709691788411254,4.963364366975013e-07,0.5286891532176852,-7.902822307794079e-09,0.0,0.0,1.0,0.0,19.87920978814253,-3.087801831022521e-05,0.0,0.0,-0.01988615963779874,1.713206443876015e-08,-5.708657267138183e-05,-2.299488721116542e-09,-0.009522047404706023,1.401605971986235e-08,-6.403642232759472e-05,-1.604544259258161e-08,0.0,0.0,-0.01035716238343651,1.686195859036287e-08,-6.269079210251965e-05,-7.84542870327354e-09,0.0,0.0,0.009528997254362237,-2.701058483972777e-10,5.70865726713804e-05,2.299488721116542e-09,-0.009403615690516674,9.910111560566098e-09,-6.269077174303993e-05,-1.794577008895285e-09,0.01987920978814253,-3.087801831022521e-08
1,30.43219887107717,0.0,-0.4709691788410735,5.157542615783695e-07,0.5286891532176846,-8.211998923274185e-09,0.0,0.0,1.0,0.0,19.87920978813893,-3.208603752438034e-05,0.0,0.0,-0.01988615963779687,1.780231026905422e-08,-5.708657267139102e-05,-2.389450017529594e-09,-0.009522047404704291,1.456440026679205e-08,-6.403642232933465e-05,-1.667317727285571e-08,0.0,0.0,-0.01035716238343463,1.752163725758829e-08,-6.26907921034113e-05,-8.152359948718833e-09,0.0,0.0,0.009528997254362235,-2.806730114659321e-10,5.708657267139254e-05,2.389450017529594e-09,-0.009403615690515637,1.029781795607746e-08,-6.269077174319085e-05,-1.864784995892692e-09,0.01987920978813893,-3.208603752438035e-08
1,31.62277660168374,0.0,-0.4709691788410172,5.359317565040356e-07,0.528689153217684,-8.533271240243754e-09,0.0,0.0,1.0,0.0,19.87920978813503,-3.33413172332697e-05,0.0,0.0,-0.01988615963779485,1.849877766036497e-08,-5.708657267140096e-05,-2.482930807114322e-09,-0.009522047404702423,1.513419315920355e-08,-6.403642233121162e-05,-1.732547038001904e-08,0.0,0.0,-0.01035716238343261,1.820712407406614e-08,-6.269079210437407e-05,-8.471299051604785e-09,0.0,0.0,0.009528997254362237,-2.916535862988339e-10,5.708657267139948e-05,2.482930807114322e-09,-0.009403615690514514,1.070069231899266e-08,-6.269077174335044e-05,-1.937739681089043e-09,0.01987920978813503,-3.33413172332697e-08
1,32.85993247600649,0.0,-0.4709691788409562,5.568986415168055e-07,0.5286891532176834,-8.867112470411536e-09,0.0,0.0,1.0,0.0,19.87920978813083,-3.464570637632759e-05,0.0,0.0,-0.01988615963779265,1.922249246056948e-08,-5.708657267141168e-05,-2.580068780551933e-09,-0.009522047404700407,1.572627766227474e-08,-6.403642233323778e-05,-1.800328269631004e-08,0.0,0.0,-0.01035716238343042,1.891942871405285e-08,-6.269079210541491e-05,-8.802715786978572e-09,0.0,0.0,0.009528997254362234,-3.03063746516633e-10,5.708657267141162e-05,2.580068780551933e-09,-0.009403615690513296,1.111932805514102e-08,-6.269077174352565e-05,-2.013548521645815e-09,0.01987920978813083,-3.46457063763276e-08
1,34.14548873833596,0.0,-0.4709691788408906,5.786857993755103e-07,0.5286891532176827,-9.214014338618611e-09,0.0,0.0,1.0,0.0,19.87920978812629,-3.600112622775867e-05,0.0,0.0,-0.01988615963779029,1.997452065107717e-08,-5.708657267142326e-05,-2.681007015300299e-09,-0.009522047404698229,1.634152587517077e-08,-6.403642233542874e-05,-1.870761259198179e-08,0.0,0.0,-0.01035716238342805,1.96596003525879e-08,-6.269079210653554e-05,-9.147098308569509e-09,0.0,0.0,0.009528997254362235,-3.149202984892792e-10,5.708657267142203e-05,2.681007015300299e-09,-0.009403615690511985,1.1554341785755e-08,-6.269077174371473e-05,-2.09232317869621e-09,0.01987920978812629,-3.600112622775867e-08
