Rref_ohm,Vout_V,Ic_Q2_A,I_RREF_A,Vbase_V,Ic_Q1_A
2200,1.85,0.001951368308494184,0.001967223889811142,0.6721074424154877,0.001928650872210618
2200,1.86,0.001951561173601268,0.001967223889811083,0.6721074424156184,0.00192865087222036
2200,1.87,0.001951754038708345,0.001967223889811023,0.6721074424157492,0.001928650872230106
2200,1.88,0.00195194690381543,0.001967223889810964,0.6721074424158798,0.001928650872239839
2200,1.89,0.001952139768922516,0.001967223889810904,0.6721074424160104,0.001928650872249598
2200,1.9,0.001952332634029597,0.001967223889810845,0.6721074424161412,0.001928650872259336
2200,1.91,0.00195252549913668,0.001967223889810786,0.6721074424162717,0.00192865087226908
2200,1.92,0.001952718364243792,0.001967223889810726,0.6721074424164026,0.001928650872278823
2200,1.93,0.00195291122935089,0.001967223889810667,0.6721074424165332,0.00192865087228858
2200,1.94,0.001953104094457966,0.001967223889810607,0.6721074424166636,0.00192865087229832
2200,1.95,0.001953296959565087,0.001967223889810547,0.6721074424167948,0.00192865087230808
2200,1.96,0.001953489824672181,0.001967223889810489,0.6721074424169251,0.00192865087231782
2200,1.97,0.001953682689779283,0.001967223889810429,0.672107442417056,0.001928650872327572
2200,1.98,0.001953875554886364,0.00196722388981037,0.6721074424171866,0.001928650872337287
2200,1.99,0.001954068419993505,0.00196722388981031,0.6721074424173173,0.001928650872347061
2200,2.0,0.001954261285100583,0.001967223889810251,0.6721074424174479,0.001928650872356791
2200,2.01,0.001954454150207731,0.001967223889810191,0.6721074424175789,0.001928650872366559
2200,2.02,0.001954647015314832,0.001967223889810132,0.6721074424177096,0.001928650872376294
2200,2.03,0.001954839880421923,0.001967223889810073,0.6721074424178402,0.001928650872386023
2200,2.04,0.001955032745529049,0.001967223889810013,0.6721074424179708,0.001928650872395772
2200,2.05,0.00195522561063616,0.001967223889809954,0.6721074424181016,0.001928650872405525
2200,2.06,0.001955418475743279,0.001967223889809894,0.6721074424182321,0.001928650872415263
2200,2.07,0.001955611340850382,0.001967223889809835,0.6721074424183628,0.001928650872424996
2200,2.08,0.001955804205957526,0.001967223889809776,0.6721074424184937,0.001928650872434754
2200,2.09,0.001955997071064657,0.001967223889809717,0.6721074424186242,0.001928650872444506
2200,2.1,0.001956189936171794,0.001967223889809657,0.6721074424187549,0.001928650872454254
2200,2.11,0.001956382801278914,0.001967223889809597,0.6721074424188858,0.001928650872463997
2200,2.12,0.001956575666386056,0.001967223889809538,0.6721074424190164,0.00192865087247376
2200,2.13,0.001956768531493185,0.001967223889809478,0.6721074424191471,0.001928650872483494
2200,2.14,0.001956961396600334,0.001967223889809419,0.672107442419278,0.001928650872493246
2200,2.15,0.001957154261707462,0.00196722388980936,0.6721074424194086,0.001928650872502982
2200,2.16,0.001957347126814595,0.0019672238898093,0.6721074424195393,0.001928650872512721
2200,2.17,0.001957539991921727,0.001967223889809241,0.6721074424196699,0.001928650872522471
2200,2.18,0.001957732857028884,0.001967223889809181,0.6721074424198008,0.00192865087253223
2200,2.19,0.00195792572213602,0.001967223889809122,0.6721074424199313,0.001928650872541961
2200,2.2,0.001958118587243191,0.001967223889809063,0.6721074424200619,0.001928650872551716
2200,2.21,0.001958311452350317,0.001967223889809004,0.6721074424201925,0.001928650872561452
2200,2.22,0.001958504317457464,0.001967223889808944,0.6721074424203235,0.001928650872571194
2200,2.23,0.001958697182564632,0.001967223889808884,0.6721074424204543,0.001928650872580947
2200,2.24,0.001958890047671783,0.001967223889808825,0.672107442420585,0.001928650872590702
2200,2.25,0.001959082912778943,0.001967223889808765,0.6721074424207156,0.001928650872600451
2200,2.26,0.001959275777886097,0.001967223889808706,0.672107442420846,0.001928650872610178
2200,2.27,0.001959468642993266,0.001967223889808647,0.6721074424209771,0.001928650872619932
2200,2.28,0.001959661508100435,0.001967223889808588,0.6721074424211075,0.001928650872629683
2200,2.29,0.001959854373207595,0.001967223889808528,0.6721074424212382,0.001928650872639432
2200,2.3,0.001960047238314749,0.001967223889808468,0.672107442421369,0.001928650872649164
2200,2.31,0.001960240103421934,0.001967223889808409,0.6721074424214997,0.00192865087265892
2200,2.32,0.001960432968529079,0.00196722388980835,0.6721074424216303,0.001928650872668654
2200,2.33,0.001960625833636258,0.001967223889808291,0.6721074424217611,0.001928650872678399
2200,2.34,0.001960818698743446,0.001967223889808231,0.672107442421892,0.001928650872688158
2200,2.35,0.001961011563850613,0.001967223889808171,0.6721074424220226,0.001928650872697894
2200,2.36,0.001961204428957787,0.001967223889808112,0.6721074424221533,0.001928650872707635
2200,2.37,0.001961397294064977,0.001967223889808052,0.6721074424222839,0.00192865087271739
