case,time,v(offset),v(sum),v(vn),v(in),v(out),v(vp),i(vp),i(v1),i(r1),i(r2),i(vn),i(v2),i(rf)
1,0.003392500000000184,-0.5,-1.602735624675611e-05,-12.0,0.1250485312669602,0.374903386504026,12.0,-0.001165806426916747,-1.25064558623207e-05,1.25064558623207e-05,-4.999839726437533e-05,0.001128318245698312,4.999839726437532e-05,3.749194138602727e-05
1,0.003393500000000185,-0.5,-1.610686684583307e-05,-12.0,0.1240653515951295,0.3758863276432644,12.0,-0.001165853160884887,-1.240814584619754e-05,1.240814584619754e-05,-4.999838931331542e-05,0.001128266687460064,4.999838931331542e-05,3.759024345101102e-05
1,0.003394500000000185,-0.5,-1.618576137904504e-05,-12.0,0.1230772740356518,0.3768741685183534,12.0,-0.001165900121390399,-1.230934597970308e-05,1.230934597970308e-05,-4.99983814238621e-05,0.00112821486589634,4.99983814238621e-05,3.768903542797324e-05
1,0.003395500000000185,-0.5,-1.626403673157806e-05,-12.0,0.1220843375961366,0.3778668701310284,12.0,-0.001165947306484685,-1.221006016328681e-05,1.221006016328682e-05,-4.999837359632684e-05,0.001128162782958318,4.999837359632685e-05,3.7788313416776e-05
1,0.003396500000000185,-0.5,-1.634168981337614e-05,-12.0,0.1210865814760155,0.3788643932911274,12.0,-0.00116599471421058,-1.211029231658289e-05,1.211029231658289e-05,-4.999836583101867e-05,0.00112811044060775,4.999836583101867e-05,3.788807349809408e-05
1,0.003397500000000185,-0.5,-1.641871755880819e-05,-12.0,0.1200840450649907,0.3798666986181457,12.0,-0.001166042342602439,-1.201004637825495e-05,1.201004637825495e-05,-4.999835812824412e-05,0.001128057840816953,4.999835812824412e-05,3.798831173357045e-05
1,0.0033985000000001852,-0.5,-1.649511692691785e-05,-12.0,0.1190767679414841,0.380873746542784,12.0,-0.001166090189686244,-1.19093263058411e-05,1.19093263058411e-05,-4.999835048830731e-05,0.001128004985568733,4.999835048830731e-05,3.808902416597109e-05
1,0.0033995000000001854,-0.5,-1.657088490164549e-05,-12.0,0.1180647898710712,0.3818854973085151,12.0,-0.001166138253479665,-1.180813607559728e-05,1.180813607559728e-05,-4.999834291150984e-05,0.001127951876856326,4.999834291150984e-05,3.819020681934168e-05
1,0.003400500000000185,-0.5,-1.664601849182823e-05,-12.0,0.1170481508049129,0.3829019109731515,12.0,-0.001166186531992169,-1.170647968234048e-05,1.170647968234048e-05,-4.999833539815082e-05,0.001127898516683316,4.999833539815082e-05,3.829185569916433e-05
1,0.003401500000000186,-0.5,-1.672051473125546e-05,-12.0,0.11602689087818,0.3839229474104212,12.0,-0.001166235023225107,-1.160436113929113e-05,1.160436113929113e-05,-4.999832794852688e-05,0.001127844907063615,4.999832794852687e-05,3.839396679251524e-05
1,0.0034025000000001858,-0.5,-1.679437067905742e-05,-12.0,0.1150010504084645,0.3849485663115547,12.0,-0.001166283725171861,-1.150178447791435e-05,1.150178447791435e-05,-4.99983205629321e-05,0.001127791050021299,4.99983205629321e-05,3.849653606822338e-05
1,0.003403500000000186,-0.5,-1.686758341937211e-05,-12.0,0.1139706698941927,0.3859787271868733,12.0,-0.001166332635817845,-1.139875374776121e-05,1.139875374776121e-05,-4.999831324165807e-05,0.00112773694759067,4.999831324165807e-05,3.859955947702927e-05
1,0.003404500000000186,-0.5,-1.694015006203919e-05,-12.0,0.1129357900130226,0.3870133893673898,12.0,-0.001166381753140652,-1.129527301630847e-05,1.129527301630847e-05,-4.99983059849938e-05,0.001127682601816119,4.99983059849938e-05,3.870303295174519e-05
1,0.003405500000000186,-0.5,-1.701206774215591e-05,-12.0,0.1118964516202399,0.3880525120064129,12.0,-0.001166431075110174,-1.11913463687982e-05,1.11913463687982e-05,-4.999829879322578e-05,0.001127628014752052,4.999829879322578e-05,3.880695240741551e-05
1,0.0034065000000001863,-0.5,-1.708333362065995e-05,-12.0,0.1108526957471439,0.3890960540811607,12.0,-0.001166480599688626,-1.108697790807646e-05,1.108697790807646e-05,-4.999829166663794e-05,0.001127573188462863,4.999829166663794e-05,3.891131374147814e-05
1,0.003407500000000186,-0.5,-1.715394488394084e-05,-12.0,0.1098045635994307,0.390143974394378,12.0,-0.001166530324830706,-1.098217175443146e-05,1.098217175443146e-05,-4.999828460551161e-05,0.001127518125022813,4.999828460551161e-05,3.90161128339262e-05
