case,frequency_real,frequency_imag,v(inv)_real,v(inv)_imag,v(noninv)_real,v(noninv)_imag,v(sum)_real,v(sum)_imag,v(vn)_real,v(vn)_imag,v(fb)_real,v(fb)_imag,v(in)_real,v(in)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(rf)_real,i(rf)_imag,i(rg)_real,i(rg)_imag,i(vn)_real,i(vn)_imag,i(ri)_real,i(ri)_imag,i(rf2)_real,i(rf2)_imag
1,25.11886431509577,0.0,-0.9999979938227809,5.038711663729225e-06,2.000005989607656,-1.007249533674528e-05,1.003083594186549e-06,2.519343235148437e-06,0.0,0.0,0.9999979948138535,-5.036222487260201e-06,1.0,0.0,0.0,0.0,5.560053577269297e-09,1.258187469803159e-10,-0.0001000008996916406,2.519343235148436e-10,-9.999989969063752e-05,2.519368428580789e-10,9.999979948138535e-05,-5.036222487260201e-10,5.560053577269297e-09,1.258187469803159e-10,9.999989969164058e-05,-2.519343235148436e-10,0.0001000007994793802,-5.036272849485076e-10
1,26.10157215682533,0.0,-0.9999979938207577,5.235837672364867e-06,2.000005989603611,-1.04665545596666e-05,1.003084605599724e-06,2.6179057466537e-06,0.0,0.0,0.9999979948118315,-5.233251113577729e-06,1.0,0.0,0.0,0.0,5.560053598085979e-09,1.307410662273123e-10,-0.0001000008996915394,2.6179057466537e-10,-9.999989969053633e-05,2.617931925711167e-10,9.999979948118315e-05,-5.23325111357773e-10,5.560053598085979e-09,1.307410662273123e-10,9.999989969153944e-05,-2.6179057466537e-10,0.000100000799479178,-5.233303446088869e-10
1,27.12272579332025,0.0,-0.9999979938185732,5.44067570460288e-06,2.000005989599244,-1.087603028723352e-05,1.003085698059181e-06,2.720324250680186e-06,0.0,0.0,0.999997994809648,-5.437987953676989e-06,1.0,0.0,0.0,0.0,5.560053646658236e-09,1.358559579438637e-10,-0.0001000008996914302,2.720324250680186e-10,-9.999989969042713e-05,2.720351453922694e-10,9.99997994809648e-05,-5.437987953676989e-10,5.560053646658236e-09,1.358559579438637e-10,9.99998996914302e-05,-2.720324250680186e-10,0.0001000007994789596,-5.438042333556527e-10
1,28.1838293126445,0.0,-0.9999979938162146,5.653527472573654e-06,2.000005989594529,-1.130152564862454e-05,1.003086877227055e-06,2.826749602538814e-06,0.0,0.0,0.9999979948072906,-5.650734570639415e-06,1.0,0.0,0.0,0.0,5.560053722986069e-09,1.4117095600798e-10,-0.0001000008996913123,2.826749602538815e-10,-9.999989969030918e-05,2.82677787003484e-10,9.999979948072906e-05,-5.650734570639415e-10,5.560053722986069e-09,1.4117095600798e-10,9.999989969131228e-05,-2.826749602538815e-10,0.0001000007994787239,-5.650791077985123e-10
1,29.28644564625232,0.0,-0.9999979938136676,5.874706492081213e-06,2.000005989589438,-1.174366736882111e-05,1.003088150763887e-06,2.937338559347809e-06,0.0,0.0,0.9999979948047446,-5.871804325388927e-06,1.0,0.0,0.0,0.0,5.560053792375008e-09,1.466938890411552e-10,-0.0001000008996911849,2.937338559347809e-10,-9.999989969018184e-05,2.937367932733404e-10,9.999979948047446e-05,-5.871804325388927e-10,5.560053792375008e-09,1.466938890411552e-10,9.999989969118493e-05,-2.937338559347809e-10,0.0001000007994784693,-5.871863043432182e-10
1,30.43219887107717,0.0,-0.9999979938109174,6.104538544390082e-06,2.00000598958394,-1.220310669172976e-05,1.003089525886125e-06,3.052254010924986e-06,0.0,0.0,0.9999979948019957,-6.10152283825069e-06,1.0,0.0,0.0,0.0,5.560053861763947e-09,1.524328919385502e-10,-0.0001000008996910474,3.052254010924987e-10,-9.999989969004432e-05,3.052284533465096e-10,9.999979948019957e-05,-6.10152283825069e-10,5.560053861763947e-09,1.524328919385502e-10,9.999989969104741e-05,-3.052254010924987e-10,0.0001000007994781944,-6.101583853479075e-10
1,31.62277660168374,0.0,-0.9999979938079478,6.343362156078398e-06,2.000005989578004,-1.268052033941899e-05,1.003091010587376e-06,3.1716652197131e-06,0.0,0.0,0.9999979947990278,-6.340228468567151e-06,1.0,0.0,0.0,0.0,5.560053924213992e-09,1.583964178511742e-10,-0.0001000008996908989,3.1716652197131e-10,-9.999989968989584e-05,3.171696936365298e-10,9.999979947990279e-05,-6.34022846856715e-10,5.560053924213992e-09,1.583964178511742e-10,9.999989969089895e-05,-3.1716652197131e-10,0.0001000007994778976,-6.340291870851838e-10
1,32.85993247600649,0.0,-0.9999979938047413,6.591529097663899e-06,2.000005989571594,-1.317661150888358e-05,1.003092613860446e-06,3.295748070091598e-06,0.0,0.0,0.9999979947958229,-6.588272813077723e-06,1.0,0.0,0.0,0.0,5.560054014419613e-09,1.64593250635998e-10,-0.0001000008996907386,3.295748070091599e-10,-9.999989968973552e-05,3.2957810275723e-10,9.999979947958228e-05,-6.588272813077723e-10,5.560054014419613e-09,1.64593250635998e-10,9.999989969073862e-05,-3.295748070091599e-10,0.0001000007994775771,-6.588338695805858e-10
1,34.14548873833596,0.0,-0.9999979938012794,6.849404901737375e-06,2.000005989564673,-1.369211090780476e-05,1.003094344920186e-06,3.42468532744205e-06,0.0,0.0,0.9999979947923625,-6.846021223796257e-06,1.0,0.0,0.0,0.0,5.560054090747446e-09,1.710325177961828e-10,-0.0001000008996905655,3.42468532744205e-10,-9.999989968956244e-05,3.424719574295325e-10,9.999979947923626e-05,-6.846021223796258e-10,5.560054090747446e-09,1.710325177961828e-10,9.999989969056551e-05,-3.42468532744205e-10,0.0001000007994772311,-6.846089684008498e-10
1,35.48133892335748,0.0,-0.9999979937975406,7.117369401366663e-06,2.0000059895572,-1.422777783083159e-05,1.003096214202692e-06,3.558666907348794e-06,0.0,0.0,0.9999979947886258,-7.113853346149065e-06,1.0,0.0,0.0,0.0,5.560054208708642e-09,1.777237039223279e-10,-0.0001000008996903786,3.558666907348795e-10,-9.999989968937549e-05,3.558702494017869e-10,9.999979947886259e-05,-7.113853346149065e-10,5.560054208708642e-09,1.777237039223279e-10,9.999989969037858e-05,-3.558666907348795e-10,0.0001000007994768574,-7.113924484682529e-10
