case,frequency_real,frequency_imag,v(base)_real,v(base)_imag,v(em)_real,v(em)_imag,v(x)_real,v(x)_imag,v(bias)_real,v(bias)_imag,v(out)_real,v(out)_imag,v(vcc)_real,v(vcc)_imag,i(vcc)_real,i(vcc)_imag,i(vb)_real,i(vb)_imag,ic(q2)_real,ic(q2)_imag,ib(q2)_real,ib(q2)_imag,i(re)_real,i(re)_imag,i(vin)_real,i(vin)_imag,ic(q1)_real,ic(q1)_imag,ib(q1)_real,ib(q1)_imag,i(rc)_real,i(rc)_imag
1,14.67799267622069,0.0,1.0,0.0,0.9731494819387431,1.744904463901262e-09,-0.02681543831889921,1.196511499213214e-08,0.0,0.0,-0.9607113549427277,5.84483772193937e-07,0.0,0.0,-0.0009607113549427277,5.84483772193937e-10,-5.977994257389571e-06,-2.197193179748501e-10,0.0009607113549427276,-5.844837721939369e-10,5.977994257389528e-06,2.1971931797485e-10,0.0009731494819387431,1.744904463901262e-12,-6.460132738632155e-06,-3.665093586829886e-10,0.0009666893492001153,-3.647644542190869e-10,6.460132738632276e-06,3.665093586829882e-10,0.0009607113549427277,-5.84483772193937e-10
1,15.25222956539018,0.0,1.0,0.0,0.9731494819387432,1.813169146501336e-09,-0.02681543831889894,1.243321785627704e-08,0.0,0.0,-0.9607113549427106,6.073501239164298e-07,0.0,0.0,-0.0009607113549427107,6.073501239164298e-10,-5.977994257399458e-06,-2.283152438911147e-10,0.0009607113549427107,-6.073501239164298e-10,5.977994257399502e-06,2.283152438911148e-10,0.0009731494819387432,1.813169146501336e-12,-6.460132738632733e-06,-3.808480491718164e-10,0.000966689349200111,-3.79034880025315e-10,6.46013273863271e-06,3.808480491718167e-10,0.0009607113549427107,-6.073501239164298e-10
1,15.84893192461113,0.0,1.0,0.0,0.9731494819387433,1.884104500755327e-09,-0.02681543831889886,1.291963398289916e-08,0.0,0.0,-0.9607113549426997,6.311110599986142e-07,0.0,0.0,-0.0009607113549426996,6.311110599986142e-10,-5.97799425741018e-06,-2.372474622328215e-10,0.0009607113549426995,-6.31111059998614e-10,5.977994257410127e-06,2.372474622328215e-10,0.0009731494819387433,1.884104500755327e-12,-6.460132738633388e-06,-3.95747702266548e-10,0.0009666893492001066,-3.938635977657926e-10,6.460132738633361e-06,3.957477022665476e-10,0.0009607113549426996,-6.311110599986142e-10
1,16.46897865482867,0.0,1.0,0.0,0.9731494819387432,1.957815009491073e-09,-0.02681543831889877,1.34250798290173e-08,0.0,0.0,-0.9607113549426876,6.558015786416126e-07,0.0,0.0,-0.0009607113549426876,6.558015786416125e-10,-5.977994257421757e-06,-2.465291295344142e-10,0.0009607113549426876,-6.558015786416125e-10,5.977994257421728e-06,2.465291295344142e-10,0.0009731494819387432,1.957815009491073e-12,-6.460132738634121e-06,-4.112302641166892e-10,0.0009666893492001103,-4.092724491071982e-10,6.460132738634228e-06,4.112302641166897e-10,0.0009607113549426876,-6.558015786416125e-10
1,17.11328304161779,0.0,1.0,0.0,0.9731494819387433,2.034409243145436e-09,-0.02681543831889868,1.39502998810995e-08,0.0,0.0,-0.9607113549426747,6.814580472568106e-07,0.0,0.0,-0.0009607113549426747,6.814580472568105e-10,-5.977994257434257e-06,-2.561739170442767e-10,0.0009607113549426746,-6.814580472568104e-10,5.977994257434197e-06,2.561739170442766e-10,0.0009731494819387433,2.034409243145436e-12,-6.46013273863488e-06,-4.273185394556794e-10,0.000966689349200106,-4.252841302125339e-10,6.460132738634878e-06,4.273185394556794e-10,0.0009607113549426747,-6.814580472568105e-10
1,17.78279410038921,0.0,1.0,0.0,0.9731494819387432,2.114000019680855e-09,-0.02681543831889857,1.449606775163959e-08,0.0,0.0,-0.9607113549426606,7.081182560325095e-07,0.0,0.0,-0.0009607113549426606,7.081182560325096e-10,-5.977994257447756e-06,-2.661960308615252e-10,0.0009607113549426606,-7.081182560325096e-10,5.977994257447749e-06,2.661960308615252e-10,0.0009731494819387432,2.114000019680855e-12,-6.460132738635748e-06,-4.440362251906656e-10,0.0009666893492001097,-4.419222251709844e-10,6.460132738635746e-06,4.440362251906655e-10,0.0009607113549426606,-7.081182560325096e-10
1,18.47849797422289,0.0,1.0,0.0,0.9731494819387433,2.196704570758364e-09,-0.02681543831889847,1.506318731863442e-08,0.0,0.0,-0.9607113549426458,7.3582147359624e-07,0.0,0.0,-0.0009607113549426459,7.358214735962401e-10,-5.977994257462332e-06,-2.766102328606025e-10,0.0009607113549426456,-7.358214735962401e-10,5.977994257462386e-06,2.766102328606025e-10,0.0009731494819387433,2.196704570758364e-12,-6.460132738636647e-06,-4.614079453063958e-10,0.0009666893492001052,-4.592112407356377e-10,6.460132738636505e-06,4.614079453063959e-10,0.0009607113549426459,-7.358214735962401e-10
1,19.201419386388,0.0,1.0,0.0,0.9731494819387433,2.282644714411669e-09,-0.02681543831889835,1.565249390964009e-08,0.0,0.0,-0.9607113549426298,7.646085048547102e-07,0.0,0.0,-0.0009607113549426298,7.646085048547102e-10,-5.97799425747807e-06,-2.874318624344881e-10,0.0009607113549426296,-7.6460850485471e-10,5.977994257478107e-06,2.874318624344881e-10,0.0009731494819387433,2.282644714411668e-12,-6.460132738637633e-06,-4.794592871346343e-10,0.0009666893492001048,-4.77176642420222e-10,6.460132738637589e-06,4.794592871346338e-10,0.0009607113549426298,-7.646085048547102e-10
1,19.95262314968878,0.0,1.0,0.0,0.9731494819387434,2.371947034476615e-09,-0.02681543831889803,1.626485553215112e-08,0.0,0.0,-0.9607113549426053,7.945217510965834e-07,0.0,0.0,-0.0009607113549426053,7.945217510965834e-10,-5.97799425749502e-06,-2.986768590885521e-10,0.0009607113549426052,-7.945217510965834e-10,5.977994257495129e-06,2.986768590885521e-10,0.0009731494819387434,2.371947034476615e-12,-6.460132738638655e-06,-4.982168390425074e-10,0.0009666893492001001,-4.958448920080313e-10,6.460132738638782e-06,4.98216839042508e-10,0.0009607113549426053,-7.945217510965834e-10
1,20.73321573485953,0.0,1.0,0.0,0.9731494819387433,2.464743067040345e-09,-0.02681543831889809,1.690117415211508e-08,0.0,0.0,-0.9607113549425935,8.256052724466326e-07,0.0,0.0,-0.0009607113549425935,8.256052724466326e-10,-5.977994257513413e-06,-3.103617859183459e-10,0.0009607113549425934,-8.256052724466325e-10,5.977994257513343e-06,3.10361785918346e-10,0.0009731494819387433,2.464743067040346e-12,-6.460132738639849e-06,-5.177082295953268e-10,0.0009666893492001038,-5.152434865282864e-10,6.460132738639649e-06,5.177082295953269e-10,0.0009607113549425935,-8.256052724466326e-10
