case,frequency_real,frequency_imag,v(out)_real,v(out)_imag,v(sum)_real,v(sum)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(cf)_real,i(cf)_imag,i(rf)_real,i(rf)_imag,i(vn)_real,i(vn)_imag,i(ri)_real,i(ri)_imag
1,2.326305067153623,0.0,-97.89808328156431,14.3102481915132,0.0001014384819118439,8.479401674907143e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.950446269989398e-05,7.126906134001023e-08,-9.998985615180883e-05,8.479401674907143e-10,-2.091671330324095e-06,-1.430939176346463e-05,-9.789818472004622e-05,1.431023971211152e-05,4.950446269989398e-05,7.126906134001023e-08,9.998985615180883e-05,-8.479401674907143e-10
1,2.417315480804101,0.0,-97.73497308945407,14.84532270571953,0.0001015351291035514,8.79645533193206e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.950527503503039e-05,7.393388286211089e-08,-9.998984648708965e-05,8.79645533193206e-10,-2.254771760971351e-06,-1.484443425493455e-05,-9.773507462458318e-05,1.48453139092642e-05,4.950527503503039e-05,7.393388286211089e-08,9.998984648708965e-05,-8.79645533193206e-10
1,2.511886431509577,0.0,-97.55945995040763,15.39840366890399,0.0001016391253761149,9.12417859194848e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.950614913853867e-05,7.66883816551597e-08,-9.998983608746239e-05,9.124178591948481e-10,-2.430274396290271e-06,-1.539748211774203e-05,-9.7559561589533e-05,1.53983945447254e-05,4.950614913853867e-05,7.66883816551597e-08,9.99898360874624e-05,-9.124178591948481e-10
1,2.610157215682533,0.0,-97.37065166495157,15.96985811054933,0.0001017509993818061,9.462788941409273e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.950708945841662e-05,7.95343854794309e-08,-9.998982490006183e-05,9.462788941409273e-10,-2.619071382359873e-06,-1.596890235940346e-05,-9.737075341595094e-05,1.596984864776039e-05,4.950708945841662e-05,7.95343854794309e-08,9.998982490006183e-05,-9.462788941409273e-10
1,2.712272579332025,0.0,-97.16760003817629,16.56003022940086,0.0001018713129517036,9.812490339392038e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.950810071089191e-05,8.247360863039875e-08,-9.998981286870484e-05,9.81249033939204e-10,-2.82211085734428e-06,-1.655903915806409e-05,-9.716770190948923e-05,1.656002041691052e-05,4.950810071089191e-05,8.247360863039875e-08,9.998981286870484e-05,-9.81249033939204e-10
1,2.81838293126445,0.0,-96.94929869646462,17.16923674951025,0.0001020006623893412,1.01734704659474e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.950918791417293e-05,8.550762840200819e-08,-9.998979993376107e-05,1.01734704659474e-09,-3.040399134633391e-06,-1.716820921881972e-05,-9.694940069712702e-05,1.716922657603978e-05,4.950918791417293e-05,8.550762840200819e-08,9.998979993376107e-05,-1.01734704659474e-09
1,2.928644564625232,0.0,-96.71468105242522,17.79776178735352,0.0001021396796765387,1.054589768074625e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.951035637512604e-05,8.863785999563288e-08,-9.998978603203234e-05,1.054589768074625e-09,-3.275002737787784e-06,-1.779669664114186e-05,-9.67147831921049e-05,1.779775124145584e-05,4.951035637512604e-05,8.863785999563288e-08,9.998978603203234e-05,-1.054589768074625e-09
1,3.043219887107717,0.0,-96.4626184701371,18.44585120064857,0.0001022890335605451,1.092991767462083e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.951161171858552e-05,9.186552743223033e-08,-9.998977109664396e-05,1.092991767462083e-09,-3.527050235184256e-06,-1.844474726803352e-05,-9.646272075917066e-05,1.844584027073089e-05,4.951161171858552e-05,9.186552743223033e-08,9.998977109664394e-05,-1.092991767462083e-09
1,3.162277660168374,0.0,-96.19191869070835,19.11370639159588,0.0001024494304869368,1.132564979783727e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.951295988024809e-05,9.519163390938525e-08,-9.998975505695131e-05,1.132564979783727e-09,-3.797733814363049e-06,-1.911256248964064e-05,-9.619202114013882e-05,1.911369506594608e-05,4.951295988024809e-05,9.519163390938525e-08,9.998975505695131e-05,-1.132564979783727e-09
1,3.285993247600649,0.0,-95.90132458668694,19.80147754045785,0.0001026216153376631,1.173318305082954e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.951440712177198e-05,9.861692782848306e-08,-9.998973783846624e-05,1.173318305082954e-09,-4.088310527542363e-06,-1.980029247723654e-05,-9.590142720830228e-05,1.98014658072748e-05,4.951440712177198e-05,9.861692782848306e-08,9.998973783846624e-05,-1.173318305082954e-09
1,3.414548873833596,0.0,-95.58951332298022,20.50925624989287,0.0001028063719282242,1.215257172579017e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.95159600281124e-05,1.021418648250802e-07,-9.998971936280718e-05,1.215257172579017e-09,-4.400103130648687e-06,-2.050802882799599e-05,-9.558961612935215e-05,2.050924409732115e-05,4.95159600281124e-05,1.021418648250802e-07,9.998971936280718e-05,-1.215257172579017e-09
1,3.548133892335748,0.0,-95.25509601154263,21.23706758650092,0.0001030045232122776,1.258383069109364e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.951762552173235e-05,1.05766570021319e-07,-9.998969954767877e-05,1.258383069109364e-09,-4.73450042860842e-06,-2.123579660701729e-05,-9.525519901606584e-05,2.123705500267023e-05,4.951762552173235e-05,1.05766570021319e-07,9.998969954767877e-05,-1.258383069109364e-09
