case,vg,v(gate),v(drain),i(vd),id(j1),i(vg)
1,-1.12,-1.12,3.0,-0.001179024004121,0.001179024004121,5.242e-12
1,-1.11,-1.11,3.0,-0.001205972254111001,0.001205972254111,5.221999999999999e-12
1,-1.1,-1.1,3.0,-0.001233225004100999,0.001233225004101,5.202e-12
1,-1.09,-1.09,3.0,-0.001260782254091,0.001260782254091,5.182e-12
1,-1.08,-1.08,3.0,-0.001288644004081,0.001288644004081,5.161999999999999e-12
1,-1.07,-1.07,3.0,-0.001316810254071001,0.001316810254071001,5.141999999999999e-12
1,-1.06,-1.06,3.0,-0.001345281004061,0.001345281004061,5.122e-12
1,-1.05,-1.05,3.0,-0.001374056254051001,0.001374056254051001,5.102e-12
1,-1.04,-1.04,3.0,-0.001403136004041,0.001403136004041,5.082e-12
1,-1.03,-1.03,3.0,-0.001432520254031001,0.001432520254031,5.061999999999999e-12
1,-1.02,-1.02,3.0,-0.001462209004021,0.001462209004021,5.042e-12
1,-1.01,-1.01,3.0,-0.001492202254011,0.001492202254011,5.022e-12
1,-1.0,-1.0,3.0,-0.001522500004001001,0.001522500004001,5.002e-12
1,-0.99,-0.99,3.0,-0.001553102253991,0.001553102253991,4.982e-12
1,-0.98,-0.98,3.0,-0.001584009003981,0.001584009003981,4.961999999999999e-12
1,-0.97,-0.97,3.0,-0.001615220253971,0.001615220253971,4.941999999999999e-12
1,-0.96,-0.96,3.0,-0.001646736003961001,0.001646736003961,4.922e-12
1,-0.95,-0.95,3.0,-0.001678556253951,0.001678556253951,4.902e-12
1,-0.94,-0.94,3.0,-0.001710681003940999,0.001710681003941,4.882e-12
1,-0.9299999999999999,-0.9299999999999999,3.0,-0.001743110253931,0.001743110253931,4.861999999999999e-12
1,-0.9199999999999999,-0.9199999999999999,3.0,-0.001775844003921,0.001775844003921,4.841999999999999e-12
1,-0.9099999999999999,-0.9099999999999999,3.0,-0.001808882253911001,0.001808882253911,4.822e-12
1,-0.8999999999999999,-0.8999999999999999,3.0,-0.001842225003901,0.001842225003901,4.802e-12
1,-0.8899999999999999,-0.8899999999999999,3.0,-0.001875872253891,0.001875872253891,4.782e-12
1,-0.8799999999999999,-0.8799999999999999,3.0,-0.001909824003881001,0.001909824003881,4.761999999999999e-12
1,-0.8699999999999999,-0.8699999999999999,3.0,-0.001944080253871001,0.001944080253871001,4.742e-12
1,-0.8599999999999999,-0.8599999999999999,3.0,-0.001978641003861,0.001978641003861001,4.721999999999999e-12
1,-0.8499999999999999,-0.8499999999999999,3.0,-0.002013506253851001,0.002013506253851,4.702e-12
1,-0.8400000000000001,-0.8400000000000001,3.0,-0.002048676003841,0.002048676003841,4.682e-12
1,-0.8300000000000001,-0.8300000000000001,3.0,-0.002084150253831,0.002084150253831,4.662e-12
1,-0.8200000000000001,-0.8200000000000001,3.0,-0.002119929003820999,0.002119929003821,4.642e-12
1,-0.81,-0.81,3.0,-0.002156012253811001,0.002156012253811,4.622e-12
1,-0.8,-0.8,3.0,-0.002192400003800999,0.002192400003801,4.602e-12
1,-0.79,-0.79,3.0,-0.002229092253791,0.002229092253791,4.582e-12
1,-0.78,-0.78,3.0,-0.002266089003781,0.002266089003781,4.561999999999999e-12
1,-0.77,-0.77,3.0,-0.002303390253771001,0.002303390253771,4.542e-12
1,-0.76,-0.76,3.0,-0.002340996003760999,0.002340996003761,4.522e-12
1,-0.75,-0.75,3.0,-0.002378906253751,0.002378906253751,4.501999999999999e-12
1,-0.74,-0.74,3.0,-0.002417121003741001,0.002417121003741001,4.481999999999999e-12
1,-0.73,-0.73,3.0,-0.002455640253731,0.002455640253731,4.461999999999999e-12
1,-0.72,-0.72,3.0,-0.002494464003720999,0.002494464003721,4.441999999999999e-12
1,-0.71,-0.71,3.0,-0.002533592253711,0.002533592253711,4.421999999999999e-12
1,-0.7,-0.7,3.0,-0.002573025003701001,0.002573025003701,4.401999999999998e-12
1,-0.69,-0.69,3.0,-0.002612762253691001,0.002612762253691,4.381999999999996e-12
1,-0.6799999999999999,-0.6799999999999999,3.0,-0.002652804003681,0.002652804003681,4.361999999999996e-12
1,-0.6699999999999999,-0.6699999999999999,3.0,-0.002693150253671001,0.002693150253671,4.341999999999994e-12
1,-0.6599999999999999,-0.6599999999999999,3.0,-0.002733801003661001,0.002733801003661,4.321999999999991e-12
1,-0.6499999999999999,-0.6499999999999999,3.0,-0.002774756253651001,0.002774756253651001,4.301999999999987e-12
1,-0.6399999999999999,-0.6399999999999999,3.0,-0.002816016003641,0.002816016003641,4.281999999999981e-12
1,-0.6299999999999999,-0.6299999999999999,3.0,-0.002857580253631001,0.002857580253631001,4.261999999999974e-12
1,-0.6199999999999999,-0.6199999999999999,3.0,-0.002899449003621001,0.002899449003621001,4.241999999999961e-12
1,-0.6099999999999999,-0.6099999999999999,3.0,-0.002941622253611001,0.002941622253611,4.221999999999942e-12
1,-0.5999999999999999,-0.5999999999999999,3.0,-0.002984100003601,0.002984100003601001,4.201999999999915e-12
1,-0.5900000000000001,-0.5900000000000001,3.0,-0.003026882253591,0.003026882253591,4.181999999999876e-12
1,-0.5800000000000001,-0.5800000000000001,3.0,-0.003069969003581001,0.003069969003581,4.161999999999818e-12
1,-0.5700000000000001,-0.5700000000000001,3.0,-0.003113360253571,0.003113360253570999,4.141999999999732e-12
1,-0.56,-0.56,3.0,-0.003157056003561001,0.003157056003561,4.121999999999605e-12
1,-0.55,-0.55,3.0,-0.003201056253551001,0.003201056253551,4.101999999999418e-12
1,-0.54,-0.54,3.0,-0.003245361003541,0.003245361003541,4.081999999999143e-12
1,-0.53,-0.53,3.0,-0.003289970253531,0.003289970253531,4.061999999998739e-12
1,-0.52,-0.52,3.0,-0.003334884003520999,0.003334884003521,4.041999999998143e-12
1,-0.51,-0.51,3.0,-0.003380102253511,0.003380102253511,4.021999999997267e-12
1,-0.5,-0.5,3.0,-0.003425625003501001,0.003425625003501,4.001999999995977e-12
1,-0.49,-0.49,3.0,-0.003471452253491001,0.003471452253491,3.981999999994078e-12
1,-0.48,-0.48,3.0,-0.003517584003481001,0.003517584003481,3.961999999991283e-12
1,-0.47,-0.47,3.0,-0.003564020253471,0.003564020253471,3.941999999987168e-12
1,-0.46,-0.46,3.0,-0.003610761003461,0.003610761003461,3.921999999981111e-12
1,-0.45,-0.45,3.0,-0.003657806253451001,0.003657806253451,3.901999999972195e-12
1,-0.4399999999999999,-0.4399999999999999,3.0,-0.003705156003441,0.003705156003441,3.881999999959072e-12
1,-0.4299999999999999,-0.4299999999999999,3.0,-0.003752810253431,0.003752810253431,3.861999999939753e-12
