case,vtest,v(ref),v(out),v(vcc),i(vcc),ic(q1),ib(q1),i(vtest),i(rr),ic(q2),ib(q2)
1,1.575,4.307451987382083,1.575,5.0,-0.00867437736468557,-0.004250774988887734,-2.833850061846675e-05,0.004366925377303543,0.004307451987382084,-0.004366925377303456,-2.833849787602278e-05
1,1.6,4.307451987382231,1.6,5.0,-0.00867331467088861,-0.00425077498886335,-2.833850061830759e-05,0.00436586268350625,0.004307451987382231,-0.004365862683506197,-2.833849790084971e-05
1,1.625,4.30745198738238,1.625,5.0,-0.008672251977090761,-0.00425077498883867,-2.833850061813672e-05,0.004364799989708623,0.00430745198738238,-0.004364799989708647,-2.833849792569269e-05
1,1.65,4.307451987382529,1.65,5.0,-0.008671189283293801,-0.004250774988814156,-2.833850061796693e-05,0.00436373729591133,0.004307451987382529,-0.004363737295911275,-2.833849795053685e-05
1,1.675,4.307451987382678,1.675,5.0,-0.008670126589496618,-0.004250774988789653,-2.833850061779953e-05,0.004362674602114036,0.004307451987382679,-0.004362674602113913,-2.833849797535554e-05
1,1.7,4.307451987382827,1.7,5.0,-0.008669063895699436,-0.00425077498876511,-2.833850061764373e-05,0.004361611908316743,0.004307451987382828,-0.004361611908316552,-2.833849800019971e-05
1,1.725,4.307451987382978,1.725,5.0,-0.008668001201902031,-0.004250774988740451,-2.833850061747742e-05,0.004360549214519116,0.004307451987382979,-0.00436054921451905,-2.833849802504735e-05
1,1.75,4.307451987383126,1.75,5.0,-0.008666938508104849,-0.004250774988715915,-2.833850061731706e-05,0.004359486520721823,0.004307451987383126,-0.004359486520721741,-2.833849804987308e-05
1,1.775,4.307451987383276,1.775,5.0,-0.008665875814307888,-0.004250774988691561,-2.833850061715161e-05,0.00435842382692464,0.004307451987383276,-0.004358423826924589,-2.833849807469372e-05
1,1.8,4.307451987383425,1.8,5.0,-0.008664813120510928,-0.004250774988667033,-2.833850061698172e-05,0.004357361133127235,0.004307451987383425,-0.004357361133127262,-2.833849809955155e-05
1,1.825,4.307451987383574,1.825,5.0,-0.008663750426713301,-0.004250774988642367,-2.833850061682484e-05,0.00435629843932972,0.004307451987383575,-0.004356298439329824,-2.833849812438087e-05
1,1.85,4.307451987383724,1.85,5.0,-0.008662687732916341,-0.004250774988617835,-2.833850061667229e-05,0.004355235745532648,0.004307451987383725,-0.004355235745532528,-2.833849814921441e-05
1,1.875,4.307451987383873,1.875,5.0,-0.008661625039119158,-0.004250774988593297,-2.833850061649903e-05,0.004354173051735244,0.004307451987383873,-0.004354173051735247,-2.8338498174055e-05
