case,vin,v(c1),v(tail),v(vn),v(c2),v(in),v(vp),i(vp),i(vin),ic(q2),ib(q2),i(it),i(rc2),i(vn),ic(q1),ib(q1),i(rc1)
2,-0.05599999999999999,11.50430339357236,-0.650109875056359,-12.0,7.824475525352312,-0.05599999999999999,12.0,-0.0009938768257607023,-6.302451769361791e-07,0.0008884094626909942,5.492929062360797e-06,0.001,0.0008884094626909973,0.001,0.0001054673630697107,6.302451769361763e-07,0.0001054673630697113
2,-0.05400000000000002,11.46929028288946,-0.6498837706049551,-12.0,7.859474221452786,-0.05400000000000002,12.0,-0.0009938798926931408,-6.749867798502122e-07,0.0008809629316057925,5.445120527004067e-06,0.001,0.0008809629316057903,0.001,0.0001129169610873503,6.749867798502084e-07,0.0001129169610873492
2,-0.05200000000000002,11.43215955269936,-0.6496419723477247,-12.0,7.896589971424589,-0.05200000000000002,12.0,-0.0009938830799736276,-7.224660629971811e-07,0.0008730659635266766,5.394453963377858e-06,0.001,0.0008730659635266832,0.001,0.0001208171164469438,7.224660629971765e-07,0.0001208171164469453
2,-0.05000000000000002,11.39283300273004,-0.6493835673612246,-12.0,7.935900998697861,-0.05000000000000002,12.0,-0.0009938863826749185,-7.727886920481965e-07,0.0008647019151706722,5.340828633036563e-06,0.001,0.0008647019151706679,0.001,0.0001291844675042468,7.727886920481959e-07,0.0001291844675042472
2,-0.04800000000000001,11.35123648118405,-0.6491076134775684,-12.0,7.9774814857591,-0.04800000000000001,12.0,-0.0009938897942674174,-8.260557741157097e-07,0.0008558550030299752,5.284149958469699e-06,0.001,0.0008558550030299788,0.001,0.0001380347912374356,8.260557741157084e-07,0.0001380347912374352
2,-0.04600000000000001,11.30730099868081,-0.6488131415268977,-12.0,8.021400460814448,-0.04600000000000001,12.0,-0.0009938933064903722,-8.823624518725681e-07,0.0008465105402522472,5.22433105775642e-06,0.001,0.0008465105402522451,0.001,0.000147382766238127,8.823624518725681e-07,0.0001473827662381258
2,-0.04400000000000001,11.26096391735929,-0.6484991580448044,-12.0,8.067720609229568,-0.04400000000000001,12.0,-0.0009938969092364103,-9.417963922949297e-07,0.0008366551895256196,5.161294371295108e-06,0.001,0.0008366551895256239,0.001,0.0001572417197107902,9.417963922949314e-07,0.0001572417197107899
2,-0.04200000000000001,11.21217020350467,-0.6481646484631279,-12.0,8.11649702135847,-0.04200000000000001,12.0,-0.0009939005904546511,-1.0044361828005e-06,0.00082627722949819,5.094973362551153e-06,0.001,0.0008262772294981979,0.001,0.0001676233609564539,1.0044361828005e-06,0.000167623360956454
2,-0.04000000000000001,11.16087372849217,-0.6478085807959565,-12.0,8.16777589193984,-0.04000000000000001,12.0,-0.0009939043360783057,-1.070349652016618e-06,0.0008153668315021703,5.025314269678288e-06,0.001,0.0008153668315021617,0.001,0.0001785375045761347,1.070349652016618e-06,0.000178537504576134
2,-0.03800000000000001,11.10703859912974,-0.6474299098248213,-12.0,8.22159318995189,-0.03800000000000001,12.0,-0.0009939081299826344,-1.139592137201627e-06,0.0008039163425634329,4.952277880161443e-06,0.001,0.0008039163425634278,0.001,0.0001899917874192062,1.139592137201624e-06,0.0001899917874192041
