case,frequency_real,frequency_imag,v(low)_real,v(low)_imag,v(high)_real,v(high)_imag,v(in)_real,v(in)_imag,i(vin)_real,i(vin)_imag,i(clp)_real,i(clp)_imag,i(rhp)_real,i(rhp)_imag,i(rlp)_real,i(rlp)_imag,i(chp)_real,i(chp)_imag
1,1.467799267622069,0.0,0.9999999914946328,-9.222454713771575e-05,8.505367167098025e-09,9.222454713771575e-05,1.0,0.0,-1.701073436756837e-11,-1.844490942754315e-07,8.505367167098025e-12,9.222454713771574e-08,8.505367167098025e-12,9.222454713771576e-08,8.505367188327284e-12,9.222454713771576e-08,8.505367167098025e-12,9.222454713771574e-08
1,1.525222956539018,0.0,0.9999999908161158,-9.583258382687431e-05,9.18388420727862e-09,9.58325838268743e-05,1.0,0.0,-1.836776832921689e-11,-1.916651676537486e-07,9.18388420727862e-12,9.58325838268743e-08,9.18388420727862e-12,9.58325838268743e-08,9.183884208674442e-12,9.583258382687431e-08,9.183884207278618e-12,9.58325838268743e-08
1,1.584893192461112,0.0,0.9999999900834701,-9.958177521570042e-05,9.916530053447855e-09,9.958177521570042e-05,1.0,0.0,-1.983305989031538e-11,-1.991635504314008e-07,9.916530053447855e-12,9.958177521570044e-08,9.916530053447855e-12,9.958177521570042e-08,9.916529930542595e-12,9.958177521570042e-08,9.916530053447855e-12,9.958177521570042e-08
1,1.646897865482867,0.0,0.9999999892923771,-0.0001034776436002741,1.070762283971854e-08,0.0001034776436002741,1.0,0.0,-2.141524577907011e-11,-2.069552872005483e-07,1.070762283971854e-11,1.034776436002741e-07,1.070762283971854e-11,1.034776436002741e-07,1.070762289945293e-11,1.034776436002741e-07,1.070762283971854e-11,1.034776436002741e-07
1,1.71132830416178,0.0,0.9999999884381748,-0.0001075259273215025,1.156182518002485e-08,0.0001075259273215025,1.0,0.0,-2.312365024507606e-11,-2.15051854643005e-07,1.156182518002485e-11,1.075259273215025e-07,1.156182518002485e-11,1.075259273215025e-07,1.156182516393045e-11,1.075259273215025e-07,1.156182518002485e-11,1.075259273215025e-07
1,1.778279410038921,0.0,0.9999999875158283,-0.0001117325892172765,1.248417164905119e-08,0.0001117325892172765,1.0,0.0,-2.496834333158754e-11,-2.23465178434553e-07,1.248417164905119e-11,1.117325892172765e-07,1.248417164905119e-11,1.117325892172765e-07,1.248417169641414e-11,1.117325892172765e-07,1.248417164905119e-11,1.117325892172765e-07
1,1.847849797422289,0.0,0.9999999865199016,-0.000116103825405294,1.348009845545605e-08,0.000116103825405294,1.0,0.0,-2.696019678643457e-11,-2.32207650810588e-07,1.348009845545605e-11,1.16103825405294e-07,1.348009845545605e-11,1.16103825405294e-07,1.348009837087716e-11,1.16103825405294e-07,1.348009845545605e-11,1.16103825405294e-07
1,1.9201419386388,0.0,0.9999999854445245,-0.0001206460744094853,1.455547548228094e-08,0.0001206460744094853,1.0,0.0,-2.91109510137418e-11,-2.412921488189706e-07,1.455547548228094e-11,1.206460744094853e-07,1.455547548228094e-11,1.206460744094853e-07,1.455547549156222e-11,1.206460744094853e-07,1.455547548228094e-11,1.206460744094853e-07
1,1.995262314968878,0.0,0.9999999842833591,-0.000125366026643483,1.571664088338728e-08,0.000125366026643483,1.0,0.0,-3.143328176274969e-11,-2.507320532869659e-07,1.571664088338728e-11,1.25366026643483e-07,1.571664088338728e-11,1.25366026643483e-07,1.57166408776277e-11,1.25366026643483e-07,1.571664088338728e-11,1.25366026643483e-07
1,2.073321573485953,0.0,0.9999999830295616,-0.0001302706342651042,1.697043843982832e-08,0.0001302706342651042,1.0,0.0,-3.394087673230511e-11,-2.605412685302083e-07,1.697043843982832e-11,1.302706342651042e-07,1.697043843982832e-11,1.302706342651042e-07,1.697043838788659e-11,1.302706342651042e-07,1.697043843982832e-11,1.302706342651042e-07
