Cfilter,time,V(b),V(out),V(raw),V(a),I(D1),I(D3),I(D4),I(CFILTER),I(D2),I(RLOAD)
1e-12,0.0002304952463989271,-0.4192359743212449,0.02942081604353619,0.4489514409244121,0.4486567903638152,2.944340096622255e-05,-2.165509382466676e-08,2.944340096743266e-05,9.298289869725117e-10,-2.165509299656421e-08,2.942081604353619e-05
1e-12,0.0002361792940099508,-0.4270720453551345,0.03506305384691699,0.4624861734365603,0.4621350992016872,3.508576639693617e-05,-2.165709042255427e-08,3.508576639662988e-05,1.055459734319574e-09,-2.165709028778551e-08,3.506305384691699e-05
1e-12,0.0002426800985643861,-0.4355805477188958,0.04241070646448139,0.4784158248570082,0.4779912541839621,4.243448942314876e-05,-2.257788194489106e-08,4.24344894227598e-05,1.205076655735773e-09,-2.257788206394551e-08,4.241070646448139e-05
1e-12,0.000250615858761228,-0.4453015732886838,0.05269315973371341,0.4985221335133865,0.4979947330228394,5.271729756700649e-05,-2.275148785021195e-08,5.271729756658487e-05,1.386345736897309e-09,-2.275148763830614e-08,5.269315973371342e-05
1e-12,0.0002620647554842993,-0.4580558037996524,0.07003269411819629,0.5287893210535947,0.5280884979182653,7.005832516837618e-05,-2.398836460396825e-08,7.005832516809307e-05,1.642685949467771e-09,-2.398836462802478e-08,7.00326941181963e-05
1e-12,0.0002699762028227996,-0.4660356833873454,0.08365802907701764,0.5505307915919582,0.5496937124644127,8.368387180379688e-05,-2.404095127788354e-08,8.368387180331631e-05,1.8017750568964e-09,-2.404095145180918e-08,8.365802907701764e-05
1e-12,0.0002783805233878558,-0.4738187551712912,0.0994995206003782,0.5743137896755109,0.5733182757719825,9.952643951205431e-05,-2.495084175696812e-08,9.95264395107267e-05,1.968069716082163e-09,-2.495084139297887e-08,9.94995206003782e-05
1e-12,0.0002883521516931807,-0.4822108326101935,0.1199540962088365,0.6033649904738596,0.6021649288192608,0.0001199811980767684,-2.49673826711973e-08,0.0001199811980764228,2.134485167760093e-09,-2.496738371604579e-08,0.0001199540962088365
1e-12,0.0002978309808414403,-0.4894298456726309,0.1408896526088746,0.6317289328689493,0.6303194982817801,0.0001409176970856851,-2.576163183947278e-08,0.0001409176970838618,2.282844604187444e-09,-2.576163227185901e-08,0.0001408896526088746
1e-12,0.0003078962709745127,-0.4963837744493818,0.164519106103528,0.6625486079898353,0.6609028805528079,0.0001645471310984803,-2.561260406697691e-08,0.000164547131099896,2.412390961924186e-09,-2.561260370459451e-08,0.000164519106103528
1e-12,0.0003185846057476817,-0.5030692083030431,0.1909826950506907,0.6959622813243819,0.6940519033536071,0.0001910115158004766,-2.628127701196558e-08,0.0001910115158001551,2.539472932988897e-09,-2.628127659942692e-08,0.0001909826950506907
1e-12,0.0003303191871270048,-0.5096950692384854,0.2214351464348862,0.733345113858914,0.7311302156736268,0.0002214638078484876,-2.601068022478024e-08,0.0002214638078480176,2.65073386836342e-09,-2.6010680831412e-08,0.0002214351464348862
