case,time,v(drive),v(out),v(gate),v(vdd),i(vdd),i(rg),i(rl),i(cgs),i(vin),id(m1),i(cgd)
3,1.781676474169609e-05,0.0,11.99986746895785,0.02584149185205753,12.0,-1.1044253510617e-05,-5.498189755756921e-05,1.104425351246737e-05,-4.43260347682585e-05,5.498189755757866e-05,3.8839074179009e-07,-1.065586278947706e-05
3,1.782176474169609e-05,0.0,11.9998680302405,0.02573187354391626,12.0,-1.099747994914857e-05,-5.474866711471545e-05,1.099747995795634e-05,-4.336861172450981e-05,5.474866711475986e-05,-3.825754824049454e-07,-1.138005539003117e-05
3,1.782676474169609e-05,0.0,11.99986859095205,0.02562272059231807,12.0,-1.095075394696998e-05,-5.451642679216611e-05,1.095075399618987e-05,-4.395374944284741e-05,5.451642679241745e-05,3.880766819008841e-07,-1.056267734966809e-05
3,1.78317647416961e-05,0.0,11.99986914747596,0.0255140302994592,12.0,-1.090437702078173e-05,-5.42851708499132e-05,1.090437700342524e-05,-4.299848478278578e-05,5.428517084982532e-05,-3.823091176968774e-07,-1.128668606709127e-05
3,1.78367647416961e-05,0.0,11.99986970344791,0.02540580142634763,12.0,-1.085804602340978e-05,-5.405489665180347e-05,1.085804600720053e-05,-4.358461377041919e-05,5.405489665172126e-05,3.87763066100888e-07,-1.047028288159169e-05
3,1.78417647416961e-05,0.0,11.99987025525373,0.02529803129236363,12.0,-1.081206217601327e-05,-5.38255984943907e-05,1.081206218955799e-05,-4.263149342175268e-05,5.382559849445968e-05,-3.820429306244932e-07,-1.119410507266494e-05
3,1.78467647416961e-05,0.0,11.99987080652583,0.02519071867451439,12.0,-1.076612281536438e-05,-5.359727377556253e-05,1.076612284774588e-05,-4.321860076953246e-05,5.359727377572789e-05,3.874498055722597e-07,-1.037867300590634e-05
3,1.78517647416961e-05,0.0,11.99987135365258,0.02508386090926029,12.0,-1.072052896278208e-05,-5.336991682821339e-05,1.072052895182788e-05,-4.22676113925359e-05,5.336991682815764e-05,-3.817766547342671e-07,-1.110230543543977e-05
3,1.78567647416961e-05,0.0,11.99987190026422,0.02497745678967744,12.0,-1.067497795748107e-05,-5.314352508442009e-05,1.067497798142488e-05,-4.285568424923156e-05,5.314352508454104e-05,3.871371667685253e-07,-1.028784083523249e-05
3,1.78617647416961e-05,0.0,11.99987244275229,0.02487150366929303,12.0,-1.06297706514713e-05,-5.291809291338942e-05,1.062977064266353e-05,-4.190681202917435e-05,5.291809291334595e-05,-3.81510378844041e-07,-1.101128088443204e-05
