Cfilter,time,V(ac),V(raw),V(out),I(D1),I(CFILTER),I(RLOAD)
1e-12,0.001896855348729464,6.67501270323289,6.735192157778249,6.017942392779053,0.006017945454539486,3.061762971471525e-09,0.006017942392779052
1e-12,0.001916855348729464,6.736669598442524,6.797461044162382,6.079141513841082,0.00607914457198877,3.058149229981447e-09,0.006079141513841082
1e-12,0.001936855348729464,6.798060735512841,6.859461578423608,6.140081255258451,0.006140084291077486,3.035825003187016e-09,0.006140081255258451
1e-12,0.001956855348729465,6.859183691873053,6.921191312886998,6.200759069444966,0.006200762101395974,3.031956503283468e-09,0.006200759069444966
1e-12,0.001976855348729465,6.920036056231734,6.982647810568333,6.261172424285586,0.006261175433666111,3.009379065178069e-09,0.006261172424285586
1e-12,0.001996855348729465,6.980615427202195,7.043828645270315,6.321318801551946,0.006321321806814773,3.005258742621025e-09,0.006321318801551947
1e-12,0.002016855348729465,7.04091941487076,7.104731401678348,6.381195698329295,0.00638119868075826,2.982431013204418e-09,0.006381195698329295
1e-12,0.002036855348729465,7.100945639420754,7.165353675455892,6.440800625449328,0.006440803603520173,2.978061773970583e-09,0.006440800625449329
1e-12,0.002056855348729465,7.160691732700208,7.22569307333938,6.500131108934113,0.006500134063918139,2.954986646898111e-09,0.006500131108934113
1e-12,0.002076855348729465,7.220155336844575,7.2857472132327,6.559184688444063,0.006559187638814912,2.950371373841253e-09,0.006559184688444063
1e-12,0.002096855348729465,7.279334105843374,7.345513724301238,6.61795891873621,0.006617961845791775,2.927051722612579e-09,0.006617958918736211
1e-12,0.002116855348729465,7.338225704162307,7.404990247065477,6.67645136812609,0.006676454290319711,2.922193281232028e-09,0.00667645136812609
1e-12,0.002136855348729465,7.396827808308269,7.464174433494136,6.734659619957941,0.006734662518592671,2.898631964542162e-09,0.00673465961995794
1e-12,0.002156855348729465,7.455138105450762,7.523063947096871,6.792581271078673,0.006792584164614368,2.893533207967181e-09,0.006792581271078674
1e-12,0.002176855348729465,7.513154294986013,7.581656463016527,6.850213933319213,0.006850216803053755,2.86973307446744e-09,0.006850213933319214
1e-12,0.002196855348729465,7.570874087157188,7.639949668120896,6.907555231978573,0.006907558096376221,2.864396847872276e-09,0.006907555231978573
1e-12,0.002216855348729465,7.628295204617357,7.697941261094058,6.964602807314702,0.006964605647672428,2.840360740260818e-09,0.006964602807314702
1e-12,0.002236855348729465,7.685415381048945,7.755628952527218,7.021354313037828,0.007021357147829477,2.834789884791758e-09,0.007021354313037828
1e-12,0.002256855348729465,7.742232362725835,7.813010465009096,7.077807417809924,0.007077810228328651,2.810520643454127e-09,0.007077807417809924
1e-12,0.002276855348729465,7.798743907131245,7.870083533215833,7.133959803745398,0.007133962608460998,2.804717999494282e-09,0.007133959803745398
1e-12,0.002296855348729465,7.854947784519077,7.92684590400042,7.189809167918234,0.007189811948133951,2.78021846563553e-09,0.007189809167918234
1e-12,0.002316855348729465,7.910841776531119,7.98329533648165,7.245353220869974,0.007245355995055824,2.774186875896503e-09,0.007245353220869975
1e-12,0.002336855348729466,7.966423677756774,8.03942960213259,7.300589688122759,0.00730059243758685,2.749459894313206e-09,0.007300589688122759
1e-12,0.002356855348729466,8.021691294349592,8.095246484868543,7.355516308693761,0.007355519051897019,2.743202206351842e-09,0.007355516308693761
1e-12,0.002376855348729466,8.076642445585923,8.150743781134555,7.410130836613858,0.007410133554870413,2.718250627919836e-09,0.007410130836613858
1e-12,0.002396855348729466,8.131274962480214,8.205919299992399,7.464431039447221,0.007464433751218635,2.711769696434844e-09,0.007464431039447221
1e-12,0.002416855348729466,8.185586689342978,8.260770863207062,7.518414699815323,0.00751841738640735,2.68659638019547e-09,0.007518414699815323
1e-12,0.002436855348729466,8.239575482394633,8.315296305332751,7.572079613920767,0.00757208229381412,2.679895069018691e-09,0.007572079613920767
1e-12,0.002456855348729466,8.293239211322645,8.369493473798373,7.625423593075921,0.007625426247575007,2.654502884053488e-09,0.007625423593075922
1e-12,0.002476855348729466,8.346575757894431,8.42336022899252,7.678444462230915,0.007678447109809028,2.647584067947406e-09,0.007678444462230915
1e-12,0.002496855348729466,8.39958301751315,8.476894444347927,7.73114006150578,0.007731142683482517,2.621975895037346e-09,0.00773114006150578
1e-12,0.002516855348729466,8.452258897829818,8.530094006425442,7.78350824472233,0.007783510859562526,2.614842461138855e-09,0.00778350824472233
