case,frequency_real,frequency_imag,v(fb)_real,v(fb)_imag,v(out)_real,v(out)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(rf)_real,i(rf)_imag,i(vn)_real,i(vn)_imag,i(rg)_real,i(rg)_imag
1,18.47849797422289,0.0,0.9999979845439563,-3.721321615936781e-05,1.999996969085897,-7.44264695319518e-05,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884229224122,1.860623338905851e-08,-1e-09,0.0,0.0009999989845419412,-3.721325337258398e-08,-0.0004999884229224122,1.860623338905851e-08,0.0009999979845439562,-3.721321615936781e-08
1,19.201419386388,0.0,0.9999979844334881,-3.8669082904367e-05,1.999996968864961,-7.73382044778169e-05,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884228671925,1.933415210279695e-08,-1e-09,0.0,0.0009999989844314725,-3.866912157344991e-08,-0.0004999884228671925,1.933415210279695e-08,0.0009999979844334882,-3.8669082904367e-08
1,19.95262314968878,0.0,0.9999979843142077,-4.018190650998635e-05,1.9999969686264,-8.036385320187921e-05,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884228075457,2.009054867336159e-08,-1e-09,0.0,0.0009999989843121923,-4.018194669189286e-08,-0.0004999884228075457,2.009054867336159e-08,0.0009999979843142077,-4.018190650998635e-08
1,20.73321573485953,0.0,0.9999979841854114,-4.175391525976896e-05,1.999996968368807,-8.35078722734532e-05,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884227431667,2.087653722008711e-08,-1e-09,0.0,0.0009999989841833956,-4.175395701368424e-08,-0.0004999884227431667,2.087653722008711e-08,0.0009999979841854114,-4.175391525976896e-08
1,21.54434690031881,0.0,0.9999979840463404,-4.338742461283598e-05,1.999996968090665,-8.677489261309659e-05,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884226736251,2.169327544922096e-08,-1e-09,0.0,0.0009999989840443247,-4.338746800026061e-08,-0.0004999884226736251,2.169327544922096e-08,0.0009999979840463404,-4.338742461283599e-08
1,22.38721138568337,0.0,0.9999979838961754,-4.508484061439508e-05,1.999996967790335,-9.016972631363079e-05,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884225985324,2.254196635913961e-08,-1e-09,0.0,0.0009999989838941595,-4.508488569923571e-08,-0.0004999884225985324,2.254196635913961e-08,0.0009999979838961756,-4.508484061439508e-08
1,23.26305067153623,0.0,0.9999979837340303,-4.684866343967579e-05,1.999996967466044,-9.369737372801503e-05,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884225174722,2.342386001228728e-08,-1e-09,0.0,0.0009999989837320142,-4.684871028833924e-08,-0.0004999884225174722,2.342386001228728e-08,0.0009999979837340303,-4.684866343967579e-08
1,24.17315480804101,0.0,0.9999979835589505,-4.868149107651172e-05,1.999996967115885,-9.736303083451452e-05,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884224299311,2.434025537641968e-08,-1e-09,0.0,0.0009999989835569342,-4.86815397580028e-08,-0.0004999884224299311,2.434025537641968e-08,0.0009999979835589505,-4.868149107651172e-08
1,25.11886431509577,0.0,0.9999979833699035,-5.058602315199353e-05,1.99999696673779,-0.0001011720968900102,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884223354095,2.52925022378999e-08,-1e-09,0.0,0.0009999989833678867,-5.058607373801669e-08,-0.0004999884223354095,2.52925022378999e-08,0.0009999979833699036,-5.058602315199353e-08
1,26.10157215682533,0.0,0.9999979831657753,-5.256506490882933e-05,1.999996966329534,-0.0001051301823827236,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884222333523,2.628200318983798e-08,-1e-09,0.0,0.0009999989831637585,-5.256511747389425e-08,-0.0004999884222333523,2.628200318983798e-08,0.0009999979831657752,-5.256506490882933e-08
1,27.12272579332025,0.0,0.9999979829453628,-5.462153133726939e-05,1.999996965888709,-0.0001092431172960701,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884221231488,2.731021569800855e-08,-1e-09,0.0,0.0009999989829433458,-5.462158595880073e-08,-0.0004999884221231488,2.731021569800855e-08,0.0009999979829453628,-5.462153133726939e-08
1,28.1838293126445,0.0,0.999997982707367,-5.675845146868079e-05,1.999996965412717,-0.000113516959695813,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884220041328,2.837865424759735e-08,-1e-09,0.0,0.00099999898270535,-5.675850822713226e-08,-0.0004999884220041328,2.837865424759735e-08,0.000999997982707367,-5.675845146868079e-08
1,29.28644564625232,0.0,0.9999979824503845,-5.897897283709656e-05,1.999996964898752,-0.000117958004653166,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884218756662,2.948889257392606e-08,-1e-09,0.0,0.0009999989824483672,-5.897903181606941e-08,-0.0004999884218756662,2.948889257392606e-08,0.0009999979824503846,-5.897897283709656e-08
