case,frequency_real,frequency_imag,v(gate)_real,v(gate)_imag,v(out)_real,v(out)_imag,v(vdd)_real,v(vdd)_imag,i(vdd)_real,i(vdd)_imag,id(m1)_real,id(m1)_imag,i(vin)_real,i(vin)_imag,i(rs)_real,i(rs)_imag
3,429.8662347082254,0.0,1.0,0.0,0.9398527631702702,-9.213999433645923e-06,0.0,0.0,-0.0004272058014410571,4.188181560748354e-09,0.0004272058014410571,-4.188181560748354e-09,0.0,0.0,0.0004272058014410319,-4.188181560748147e-09
3,446.6835921509607,0.0,1.0,0.0,0.9398527631630641,-9.574472318952684e-06,0.0,0.0,-0.0004272058014377818,4.352032872251463e-09,0.0004272058014377818,-4.352032872251463e-09,0.0,0.0,0.0004272058014377564,-4.35203287225122e-09
3,464.1588833612755,0.0,1.0,0.0,0.9398527631552829,-9.949047733993791e-06,0.0,0.0,-0.0004272058014342451,4.522294424542921e-09,0.0004272058014342451,-4.522294424542921e-09,0.0,0.0,0.0004272058014342195,-4.522294424542632e-09
3,482.317848223928,0.0,1.0,0.0,0.9398527631468813,-1.033827740222128e-05,0.0,0.0,-0.0004272058014304244,4.699217001009937e-09,0.0004272058014304244,-4.699217001009937e-09,0.0,0.0,0.0004272058014304006,-4.699217001009674e-09
3,501.1872336272695,0.0,1.0,0.0,0.9398527631378089,-1.074273463177954e-05,0.0,0.0,-0.0004272058014263055,4.883061196263777e-09,0.0004272058014263055,-4.883061196263777e-09,0.0,0.0,0.0004272058014262767,-4.883061196263429e-09
3,520.7948328595435,0.0,1.0,0.0,0.9398527631280132,-1.116301515994827e-05,0.0,0.0,-0.0004272058014218505,5.074097799976794e-09,0.0004272058014218505,-5.074097799976794e-09,0.0,0.0,0.0004272058014218242,-5.074097799976488e-09
3,541.1695265464607,0.0,1.0,0.0,0.9398527631172205,-1.159973803061652e-05,0.0,0.0,-0.0004272058014186141,5.272608195755628e-09,0.0004272058014186141,-5.272608195755628e-09,0.0,0.0,0.0004272058014169185,-5.27260819573478e-09
3,562.341325190346,0.0,1.0,0.0,0.9398527631060152,-1.20535465061177e-05,0.0,0.0,-0.0004272058014118509,5.478884775508413e-09,0.0004272058014118509,-5.478884775508413e-09,0.0,0.0,0.0004272058014118251,-5.478884775508047e-09
3,584.3414133735142,0.0,1.0,0.0,0.9398527630936829,-1.252510901465703e-05,0.0,0.0,-0.0004272058014062466,5.693231370299043e-09,0.0004272058014062466,-5.693231370299043e-09,0.0,0.0,0.0004272058014062195,-5.693231370298649e-09
3,607.202195690985,0.0,1.0,0.0,0.9398527630803674,-1.301512013491266e-05,0.0,0.0,-0.0004272058014001903,5.915963697687974e-09,0.0004272058014001903,-5.915963697687974e-09,0.0,0.0,0.000427205801400167,-5.915963697687573e-09
3,630.9573444801896,0.0,1.0,0.0,0.9398527630659891,-1.352430161907504e-05,0.0,0.0,-0.0004272058013936547,6.147409826852683e-09,0.0004272058013936547,-6.147409826852683e-09,0.0,0.0,0.0004272058013936314,-6.147409826852293e-09
3,655.6418494179751,0.0,1.0,0.0,0.9398527630502479,-1.405340345593639e-05,0.0,0.0,-0.000427205801388173,6.387910661814554e-09,0.000427205801388173,-6.387910661814554e-09,0.0,0.0,0.0004272058013864763,-6.387910661789266e-09
