case,time,v(out),v(sum),v(vn),v(in),v(vp),i(vp),i(vin),i(rf),i(rl),i(vn),i(ri)
1,0.0020069000000000037,-0.08607901272099447,0.0002005936054288483,-12.0,0.04334039877457656,12.0,-0.001141047127427928,-4.313980516914772e-06,-4.313980316321166e-06,-8.607901272099446e-06,0.001153968145437949,4.313980516914772e-06
1,0.002007100000000004,-0.08858988164916466,0.0002005851152343564,-12.0,0.04459582050328502,12.0,-0.001140857991990534,-4.439523538805066e-06,-4.439523338219951e-06,-8.858988164916466e-06,0.001154155614719488,4.439523538805067e-06
1,0.002007300000000004,-0.09110061068156818,0.0002005763083711906,-12.0,0.04585117180910395,12.0,-0.001140668843066109,-4.565059550073277e-06,-4.565059349496968e-06,-9.110061068156817e-06,0.001154343049515201,4.565059550073277e-06
1,0.002007500000000004,-0.09361119585343197,0.000200567184854384,-12.0,0.04710645070966941,12.0,-0.001140479680957354,-4.690588352481502e-06,-4.690588151914318e-06,-9.361119585343197e-06,0.001154530449533108,4.690588352481502e-06
1,0.002007700000000004,-0.09612163320019332,0.000200557744694449,-12.0,0.04836165522271578,12.0,-0.001140290505967095,-4.816109747802134e-06,-4.816109547244389e-06,-9.612163320019332e-06,0.001154717814481403,4.816109747802134e-06
1,0.0020079000000000043,-0.09863191875752166,0.0002005479879099159,-12.0,0.04961678336610559,12.0,-0.001140101318398302,-4.941623537819568e-06,-4.941623337271579e-06,-9.863191875752166e-06,0.001154905144068435,4.941623537819568e-06
1,0.0020081000000000044,-0.1011420485613435,0.0002005379145152211,-12.0,0.05087183315782374,12.0,-0.001139912118554065,-5.067129524330852e-06,-5.067129323792938e-06,-1.011420485613435e-05,0.001155092438002735,5.067129524330852e-06
1,0.0020083000000000045,-0.1036520186478227,0.0002005275245257898,-12.0,0.05212680261597528,12.0,-0.001139722906737617,-5.192627509144947e-06,-5.192627308617425e-06,-1.036520186478227e-05,0.001155279695992987,5.192627509144949e-06
1,0.0020085000000000046,-0.1061618250533686,0.0002005168179573871,-12.0,0.05338168975878859,12.0,-0.00113953368325231,-5.31811729408312e-06,-5.318117093566303e-06,-1.061618250533687e-05,0.00115546691774806,5.31811729408312e-06
1,0.0020087000000000048,-0.1086714638146541,0.0002005057948282485,-12.0,0.05463649260462737,12.0,-0.001139344448401637,-5.443598680979913e-06,-5.443598480474118e-06,-1.086714638146541e-05,0.001155654102976978,5.443598680979912e-06
1,0.002008900000000005,-0.1111809309686221,0.0002004944551552146,-12.0,0.05589120917198842,12.0,-0.001139155202489217,-5.56907147168332e-06,-5.569071271188866e-06,-1.111809309686221e-05,0.001155841251388944,5.569071471683321e-06
1,0.002009100000000005,-0.1136902225524773,0.0002004827989552024,-12.0,0.05714583747949946,12.0,-0.001138965945818793,-5.694535468054426e-06,-5.694535267571627e-06,-1.136902225524773e-05,0.001156028362693328,5.694535468054426e-06
1,0.002009300000000005,-0.1161993346037052,0.0002004708262480365,-12.0,0.05840037554593293,12.0,-0.001138776678694246,-5.81999047196849e-06,-5.819990271497664e-06,-1.161993346037052e-05,0.001156215436599668,5.81999047196849e-06
1,0.002009500000000005,-0.1187082631600805,0.0002004585370520701,-12.0,0.05965482139020374,12.0,-0.001138587401419582,-5.945436285315167e-06,-5.945436084856631e-06,-1.187082631600805e-05,0.001156402472817677,5.945436285315167e-06
1,0.0020097000000000053,-0.1212170042596586,0.0002004459313856705,-12.0,0.06090917303136714,12.0,-0.001138398114298931,-6.070872709998147e-06,-6.070872509552215e-06,-1.212170042596586e-05,0.001156589471057237,6.070872709998147e-06
1,0.0020099000000000054,-0.123725553940794,0.0002004330092702303,-12.0,0.06216342848863243,12.0,-0.001138208817636552,-6.196299547936222e-06,-6.196299347503212e-06,-1.23725553940794e-05,0.001156776431028404,6.196299547936221e-06
1,0.0020101000000000055,-0.126233908242145,0.0002004197707247274,-12.0,0.0634175857813573,12.0,-0.001138019511736837,-6.321716601063257e-06,-6.321716400643488e-06,-1.26233908242145e-05,0.001156963352441404,6.321716601063258e-06
1,0.0020103000000000057,-0.1287420632026848,0.0002004062157724695,-12.0,0.06467164292906326,12.0,-0.001137830196904296,-6.44712367132908e-06,-6.447123470922864e-06,-1.287420632026848e-05,0.001157150235006634,6.44712367132908e-06
1,0.0020105000000000058,-0.1312500148616898,0.0002003923444304431,-12.0,0.06592559795141403,12.0,-0.001137640873443569,-6.572520560698361e-06,-6.572520360306014e-06,-1.312500148616898e-05,0.00115733707843467,6.572520560698359e-06
1,0.002010700000000006,-0.1337577592587543,0.0002003781567243776,-12.0,0.06717944886824528,12.0,-0.001137451541659426,-6.69790707115209e-06,-6.697906870773933e-06,-1.337577592587543e-05,0.001157523882436251,6.69790707115209e-06
1,0.002010900000000006,-0.1362652924338225,0.0002003636526763733,-12.0,0.06843319369956233,12.0,-0.001137262201856746,-6.823283004688596e-06,-6.823282804324943e-06,-1.362652924338225e-05,0.001157710646722307,6.823283004688596e-06
1,0.002011100000000006,-0.1387726104271473,0.0002003488323055677,-12.0,0.06968683046552032,12.0,-0.001137072854340547,-6.948648163321476e-06,-6.948647962972646e-06,-1.387726104271473e-05,0.001157897371003924,6.948648163321475e-06
1,0.0020113000000000062,-0.1412797092793305,0.0002003336956403895,-12.0,0.07094035718646279,12.0,-0.001136883499415974,-7.07400234908224e-06,-7.074002148748543e-06,-1.412797092793305e-05,0.001158084054992375,7.07400234908224e-06
1,0.0020115000000000063,-0.1437865850313332,0.0002003182427017663,-12.0,0.07219377188290169,12.0,-0.001136694137388276,-7.199345364019993e-06,-7.199345163701748e-06,-1.437865850313332e-05,0.001158270698399102,7.199345364019992e-06
1,0.0020117000000000065,-0.1462932337244428,0.000200302473512777,-12.0,0.07344707257551529,12.0,-0.001136504768562845,-7.324677010200251e-06,-7.324676809897777e-06,-1.462932337244428e-05,0.001158457300935722,7.324677010200251e-06
1,0.0020119000000000066,-0.1487996514003215,0.0002002863881021277,-12.0,0.0747002572851778,12.0,-0.00113631539324518,-7.44999708970757e-06,-7.44999688942118e-06,-1.487996514003215e-05,0.001158643862314035,7.449997089707568e-06
1,0.0020121000000000067,-0.1513058341010025,0.0002002699864922727,-12.0,0.07595332403293953,12.0,-0.001136126011740915,-7.575305404644726e-06,-7.57530520437474e-06,-1.513058341010025e-05,0.001158830382246012,7.575305404644725e-06
