case,time,v(out),v(sum),v(vn),v(drive),v(in),v(vp),i(vp),i(vin),i(rf),i(d1),i(vn),i(ri),i(d2),i(rl)
3,0.0037766577804539793,1.972167908472958,3.159931877476624e-05,-12.0,2.508337620253926,-1.972010693706601,12.0,-0.001334203769723617,0.0001972042293025342,0.0001972136309154183,0.0003944304217617933,0.0009398079235664253,-0.0001972042293025376,9.401581281438538e-09,0.0001972167908472958
3,0.003776857780453979,1.971748721603986,3.185428753793433e-05,-12.0,2.507909074518866,-1.971590139565209,12.0,-0.001334163968322315,0.0001971621993852725,0.0001971716867316448,0.0003943465588918116,0.0009398520664686365,-0.0001971621993852747,9.487314515847312e-09,0.0001971748721603986
3,0.00377705778045398,1.971326421209486,3.210920024208444e-05,-12.0,2.507477343702229,-1.971166472013872,12.0,-0.001334123871854791,0.0001971198581214086,0.0001971294312009244,0.0003942620733243807,0.0009398965369689491,-0.0001971198581214114,9.573047403853491e-09,0.0001971326421209487
3,0.00377725778045398,1.970901007974485,3.236407334849589e-05,-12.0,2.507042428458505,-1.970739691721619,12.0,-0.001334083480237918,0.0001970772055794938,0.0001970868643901136,0.0003941769651882865,0.0009399413348489821,-0.0001970772055794968,9.658778252644791e-09,0.0001970901007974485
3,0.0037774577804539798,1.97047248255525,3.261888963501842e-05,-12.0,2.506604329413189,-1.970309799362393,12.0,-0.001334042793674755,0.0001970342418252006,0.0001970439863665614,0.0003940912346234171,0.000939986460188755,-0.0001970342418252029,9.744508739888548e-09,0.000197047248255525
3,0.0037776577804539803,1.970040845646706,3.28736655974704e-05,-12.0,2.506163047230182,-1.969876795615055,12.0,-0.001334001812093666,0.0001969909669280628,0.0001970007971981109,0.0003940048817629993,0.0009400319127617962,-0.0001969909669280653,9.830237171925443e-09,0.0001970040845646706
3,0.00377785778045398,1.969606097914915,3.312838397902791e-05,-12.0,2.505718582544276,-1.969440681163375,12.0,-0.001333960535695461,0.000196947380954733,0.0001969572969530936,0.0003939179067469212,0.0009400776926489576,-0.0001969473809547354,9.915965229946469e-09,0.0001969606097914915
3,0.00377805778045398,1.969168240064626,3.338306128993576e-05,-12.0,2.505270936028704,-1.969001456696038,12.0,-0.001333918964406811,0.00019690348397573,0.0001969134857003337,0.000393830309706189,0.0009401237996248778,-0.0001969034839757328,1.000169121778509e-08,0.0001969168240064626
3,0.0037782577804539802,1.968727272771729,3.363768027044426e-05,-12.0,2.504820108327596,-1.968559122906639,12.0,-0.001333877098430609,0.0001968592760586884,0.0001968693635091459,0.0003937420907873523,0.0009401702337682994,-0.000196859276058691,1.008741681724217e-08,0.0001968727272771729
3,0.00377845778045398,1.968283196750818,3.38922574469751e-05,-12.0,2.504366100123534,-1.968113680493684,12.0,-0.001333834937690139,0.0001968147572751102,0.0001968249304493371,0.0003936532501236378,0.0009402169948560814,-0.0001968147572751131,1.017314033181235e-08,0.0001968283196750818
3,0.00377865778045398,1.967836012687546,3.414677551927678e-05,-12.0,2.503908912069915,-1.967665130160587,12.0,-0.001333792482398035,0.000196769927693608,0.0001967801865912027,0.000393563787861595,0.0009402640829594448,-0.0001967699276936107,1.025886344532936e-08,0.0001967836012687546
3,0.003778857780453981,1.96738572130638,3.440125105782539e-05,-12.0,2.503448544858701,-1.96721347261567,12.0,-0.001333749732474251,0.0001967247873866705,0.0001967351320055323,0.0003934737041388914,0.0009403114978574689,-0.0001967247873866728,1.034458445820467e-08,0.000196738572130638
3,0.003779057780453981,1.966932323302804,3.46556667587503e-05,-12.0,2.502984999152621,-1.966758708572163,12.0,-0.001333706688128924,0.0001966793364238896,0.0001966897667636046,0.0003933829990931947,0.000940359239622457,-0.0001966793364238921,1.043030505671147e-08,0.0001966932323302805
3,0.0037792577804539812,1.966475819411013,3.491003914822715e-05,-12.0,2.502518275652868,-1.9663008387482,12.0,-0.001333663349290113,0.0001966335748787318,0.0001966440909371865,0.0003932916728799363,0.0009404073080277154,-0.0001966335748787348,1.051602354180329e-08,0.0001966475819411013
3,0.003779457780453981,1.966016210336369,3.516435097093456e-05,-12.0,2.502048375031551,-1.965839863866818,12.0,-0.001333619716162486,0.0001965875028217765,0.0001965981045985398,0.0003931997256323427,0.0009404557031486423,-0.0001965875028217789,1.060174159660238e-08,0.0001966016210336369
3,0.003779657780453981,1.965553496822883,3.541861873979476e-05,-12.0,2.501575297999178,-1.965375784655963,12.0,-0.001333575788675627,0.0001965411203274676,0.0001965518078204143,0.000393107157499184,0.0009405044247574753,-0.0001965411203274703,1.068745752541653e-08,0.0001965553496822883
3,0.003779857780453981,1.965087679585681,3.567282518774555e-05,-12.0,2.501099045237124,-1.964908601848476,12.0,-0.001333531567039425,0.0001964944274673639,0.0001965052006760493,0.0003930139686336709,0.0009405534729251298,-0.0001964944274673664,1.077317301001273e-08,0.0001965087679585681
3,0.003780057780453981,1.964618759378583,3.592698682941009e-05,-12.0,2.500619617465204,-1.964438316182104,12.0,-0.001333487051184184,0.0001964474243168908,0.0001964582832391754,0.0003929201591801323,0.0009406028474232748,-0.0001964474243168933,1.085888635510534e-08,0.0001964618759378583
3,0.0037802577804539814,1.964146736926569,3.618108642437457e-05,-12.0,2.500137015374142,-1.963964928399493,12.0,-0.001333442241317795,0.0001964001109485893,0.0001964110555840145,0.0003928257292784565,0.0009406525483236167,-0.0001964001109485917,1.094459924154656e-08,0.0001964146736926569
3,0.003780457780453981,1.963671612993225,3.643514046387807e-05,-12.0,2.499651239693021,-1.963488439248185,12.0,-0.001333397137366927,0.0001963524874388622,0.0001963635177852762,0.0003927306790840746,0.000940702575400225,-0.0001963524874388649,1.103030997611751e-08,0.0001963671612993225
3,0.003780657780453982,1.963193388313287,3.668913169439729e-05,-12.0,2.499162291121815,-1.963008849480622,12.0,-0.001333351739550572,0.0001963045538612287,0.0001963156699181593,0.0003926350087479769,0.0009407529287162717,-0.0001963045538612316,1.111602023862006e-08,0.0001963193388313287
3,0.003780857780453982,1.962712063660188,3.694307663408597e-05,-12.0,2.498670170398946,-1.962526159854143,12.0,-0.001333306047787877,0.0001962563102930758,0.0001962675120583554,0.0003925387184233742,0.0009408036080510581,-0.0001962563102930777,1.120172833454785e-08,0.0001962712063660188
3,0.003781057780453982,1.962227639778468,3.719695803043925e-05,-12.0,2.498174878233692,-1.962040371130979,12.0,-0.00133326006230358,0.0001962077568088989,0.0001962190442820438,0.0003924418082612569,0.0009408546134629959,-0.000196207756808901,1.128743594593892e-08,0.0001962227639778468
3,0.0037812577804539824,1.961740117451314,3.745079238379733e-05,-12.0,2.497676415373719,-1.961551484078259,12.0,-0.001333213783020713,0.0001961588934870618,0.0001961702666658931,0.0003923442784103948,0.0009409059447286248,-0.0001961588934870643,1.137314137798198e-08,0.0001961740117451314
