case,frequency_real,frequency_imag,v(d1)_real,v(d1)_imag,v(fb)_real,v(fb)_imag,v(tail)_real,v(tail)_imag,v(vn)_real,v(vn)_imag,v(d2)_real,v(d2)_imag,v(in)_real,v(in)_imag,v(out)_real,v(out)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,id(j2)_real,id(j2)_imag,i(it)_real,i(it)_imag,i(rd2)_real,i(rd2)_imag,i(rf)_real,i(rf)_imag,i(cf)_real,i(cf)_imag,i(vn)_real,i(vn)_imag,id(j1)_real,id(j1)_imag,i(rd1)_real,i(rd1)_imag,i(rg)_real,i(rg)_imag
1,21.54434690031881,0.0,-1.004394368096564e-06,2.515063749360397e-05,0.9999995935087979,-1.16923686206539e-05,0.9980898725754258,-5.782491900541763e-06,0.0,0.0,1.009729034606721e-06,2.948937034731363e-05,1.0,0.0,1.999999188027243,-2.326142190792247e-05,0.0,0.0,-0.0004999897233136791,1.956772849091173e-08,-1.002352537736007e-12,-1.233158429526642e-10,-5.048655263246776e-10,-1.474471466302716e-08,0.0,0.0,-5.048645173033606e-10,-1.474468517365681e-08,0.0009999995945184452,-1.156905328726857e-08,6.553401243108733e-13,2.707342738412865e-08,-0.0004999897304713424,-7.752275512404687e-09,5.028535280787841e-10,1.449808348668916e-08,5.021971840482819e-10,-1.257531874680199e-08,0.0009999995935087978,-1.16923686206539e-08
1,22.38721138568337,0.0,-1.004343422613861e-06,2.61345883739917e-05,0.9999995934871694,-1.21498010178401e-05,0.9980898725647346,-6.008716305330344e-06,0.0,0.0,1.009783956007482e-06,3.064306245256884e-05,1.0,0.0,1.999999187984603,-2.417146232236956e-05,0.0,0.0,-0.0004999897232763617,2.033326310935841e-08,-1.002387750924403e-12,-1.281402428269347e-10,-5.048929880247533e-10,-1.532156186934687e-08,0.0,0.0,-5.048919780037409e-10,-1.532153122628442e-08,0.0009999995944974336,-1.202166130452946e-08,7.076199890744668e-13,2.813260223479352e-08,-0.0004999897304869549,-8.055562390020902e-09,5.028803355280702e-10,1.506528191320931e-08,5.021717113069304e-10,-1.306729418699585e-08,0.0009999995934871695,-1.21498010178401e-08
1,23.26305067153623,0.0,-1.004288416045298e-06,2.715703367952399e-05,0.9999995934638151,-1.262512922418674e-05,0.9980898725531899,-6.2437911299852e-06,0.0,0.0,1.009843260568744e-06,3.184188965072977e-05,1.0,0.0,1.999999187938561,-2.511710561428209e-05,0.0,0.0,-0.0004999897232360745,2.112874720562941e-08,-1.002425773250617e-12,-1.331533843387371e-10,-5.049226402070877e-10,-1.592097666725453e-08,0.0,0.0,-5.049216302843717e-10,-1.592094482536488e-08,0.000999999594474746,-1.249197639009535e-08,7.64070488530544e-13,2.923321444562008e-08,-0.0004999897305038303,-8.37071454896487e-09,5.029092828697253e-10,1.56546704488244e-08,5.021442080226492e-10,-1.357851683976199e-08,0.000999999593463815,-1.262512922418674e-08
1,24.17315480804101,0.0,-1.004229022316493e-06,2.821947940077832e-05,0.9999995934385982,-1.311905336496903e-05,0.9980898725407243,-6.488062623317398e-06,0.0,0.0,1.009907292903733e-06,3.3087617730594e-05,1.0,0.0,1.999999187888847,-2.609974465023364e-05,0.0,0.0,-0.0004999897231926231,2.195535247228269e-08,-1.00246682881407e-12,-1.383626514957394e-10,-5.04954656565104e-10,-1.654384195291472e-08,0.0,0.0,-5.049536464518667e-10,-1.6543808865297e-08,0.0009999995944502493,-1.298069128526461e-08,8.250243357377959e-13,3.037688514158312e-08,-0.0004999897305220657,-8.698196186371216e-09,5.029405393697312e-10,1.626711722171456e-08,5.021145111582464e-10,-1.410973970038916e-08,0.0009999995934385983,-1.311905336496903e-08
1,25.11886431509577,0.0,-1.004164886377588e-06,2.932349044615041e-05,0.9999995934113698,-1.3632300955975e-05,0.9980898725272647,-6.74189058018871e-06,0.0,0.0,1.009976434929172e-06,3.438208156268267e-05,1.0,0.0,1.999999187835168,-2.712082678894518e-05,0.0,0.0,-0.0004999897231456746,2.281429644118537e-08,-1.002511159591751e-12,-1.43775717184999e-10,-5.04989227747284e-10,-1.719107516342289e-08,0.0,0.0,-5.049882174645859e-10,-1.719104078134133e-08,0.0009999995944237976,-1.348852583297019e-08,8.908407859930223e-13,3.156529886979873e-08,-0.0004999897305417722,-9.03848965983613e-09,5.029742885022008e-10,1.690352432323308e-08,5.020824431887938e-10,-1.466174522307521e-08,0.0009999995934113699,-1.3632300955975e-08
1,26.10157215682533,0.0,-1.00409563792685e-06,3.047069294685545e-05,0.999999593381969,-1.416562797508526e-05,0.998089872512731,-7.005648871464282e-06,0.0,0.0,1.010051092542597e-06,3.572718780187611e-05,1.0,0.0,1.999999187777205,-2.818185601314323e-05,0.0,0.0,-0.0004999897230949929,2.370684427685497e-08,-1.002559026864411e-12,-1.494005544745906e-10,-5.050265566950985e-10,-1.786362962812586e-08,0.0,0.0,-5.050255462712983e-10,-1.786359390093806e-08,0.0009999995943952365,-1.401622803805797e-08,9.61907754242473e-13,3.280020608074465e-08,-0.0004999897305630469,-9.392096197894835e-09,5.030107306649648e-10,1.756482913662397e-08,5.02047818963425e-10,-1.523534647342773e-08,0.0009999995933819689,-1.416562797508526e-08
1,27.12272579332025,0.0,-1.004020864631386e-06,3.166277665210498e-05,0.9999995933502225,-1.471981997577547e-05,0.9980898724970376,-7.279725994698185e-06,0.0,0.0,1.010131707168682e-06,3.712491769578291e-05,1.0,0.0,1.999999187714618,-2.928439514482085e-05,0.0,0.0,-0.0004999897230402311,2.463431063995763e-08,-1.002610712756507e-12,-1.552454483573757e-10,-5.050668636235613e-10,-1.856249597280915e-08,0.0,0.0,-5.050658535843411e-10,-1.856245884789146e-08,0.0009999995943643957,-1.456457516904538e-08,1.038644101409992e-12,3.408342570655083e-08,-0.000499989730585973,-9.75953663829805e-09,5.030500805097246e-10,1.825200571772169e-08,5.020104323156928e-10,-1.583138832605249e-08,0.0009999995933502226,-1.471981997577547e-08
1,28.1838293126445,0.0,-1.003940123850184e-06,3.290149741798937e-05,0.9999995933159435,-1.529569324418172e-05,0.9980898724800927,-7.564525646363196e-06,0.0,0.0,1.010218752206526e-06,3.857733000297919e-05,1.0,0.0,1.999999187647039,-3.043006814716541e-05,0.0,0.0,-0.0004999897229811118,2.559806162371025e-08,-1.002666521899019e-12,-1.613190079542202e-10,-5.051103868792734e-10,-1.92887035788196e-08,0.0,0.0,-5.051093761032632e-10,-1.92886650014896e-08,0.0009999995943310953,-1.513437490298369e-08,1.121502103117381e-12,3.541684784015943e-08,-0.0004999897306107587,-1.014135219516633e-08,5.030925685429443e-10,1.896606622966735e-08,5.019700619250922e-10,-1.645074870899468e-08,0.0009999995933159436,-1.529569324418172e-08
1,29.28644564625232,0.0,-1.003852943963607e-06,3.418867979373068e-05,0.9999995932789304,-1.589409600143273e-05,0.9980898724617961,-7.860467316467347e-06,0.0,0.0,1.010312741023256e-06,4.008656402541554e-05,1.0,0.0,1.99999918757407,-3.16205625165423e-05,0.0,0.0,-0.0004999897229172601,2.659951676604223e-08,-1.002726783224921e-12,-1.676301791946297e-10,-5.051573809736125e-10,-2.004332209927179e-08,0.0,0.0,-5.05156370511628e-10,-2.004328201270777e-08,0.0009999995942951395,-1.572646651510958e-08,1.210970115347302e-12,3.680243651929915e-08,-0.0004999897306374873,-1.053810525616372e-08,5.031384458438243e-10,1.9708062433754e-08,5.019264719818035e-10,-1.709433989686534e-08,0.0009999995932789304,-1.589409600143273e-08
1,30.43219887107717,0.0,-1.003758807265967e-06,3.5526219709116e-05,0.9999995932389645,-1.651590965302015e-05,0.99808987244204,-8.16798690643337e-06,0.0,0.0,1.010414227842205e-06,4.165484275945896e-05,1.0,0.0,1.999999187495278,-3.285763176805896e-05,0.0,0.0,-0.000499989722848343,2.764015114047366e-08,-1.002791851907859e-12,-1.741882579934759e-10,-5.052081243805186e-10,-2.082746303457224e-08,0.0,0.0,-5.052071139211023e-10,-2.082742137972948e-08,0.000999999594256314,-1.634172211503882e-08,1.307575452759888e-12,3.824223261937512e-08,-0.0004999897306663809,-1.095038021085358e-08,5.031879830156742e-10,2.047908723859744e-08,5.018794036329836e-10,-1.7763109854558e-08,0.0009999995932389646,-1.651590965302014e-08
