case,frequency_real,frequency_imag,v(drain)_real,v(drain)_imag,v(out)_real,v(out)_imag,v(ref)_real,v(ref)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(source)_real,v(source)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(rd)_real,i(rd)_imag,id(j1)_real,id(j1)_imag,i(rf)_real,i(rf)_imag,i(cf)_real,i(cf)_imag,i(vn)_real,i(vn)_imag,i(vref)_real,i(vref)_imag,i(rs)_real,i(rs)_imag
1,21.54434690031881,0.0,-4.31146285495565e-06,-9.286925812869705e-06,4.291776506548217,-0.0001609106250061433,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892155681034,-1.280753296956539e-05,0.0,0.0,-0.0004727557104150237,2.229844225204889e-09,-9.949347909409528e-13,-1.233164873383935e-10,2.155731427477825e-09,4.643462906434853e-09,2.156700407512429e-09,3.194887540266529e-08,0.0009980870578727619,-4.487972485956907e-08,9.6466861149664e-13,2.730540320930464e-08,-0.0005252903973177181,1.069939114508126e-08,0.0,0.0,0.0009980892155681035,-1.280753296956539e-08
1,22.38721138568337,0.0,-4.311490596320411e-06,-9.650251745196586e-06,4.291776506094498,-0.0001672058193513292,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892155318652,-1.330859316445289e-05,0.0,0.0,-0.0004727557104095836,2.317080868285089e-09,-9.943779360449048e-13,-1.281409124446411e-10,2.155745298160205e-09,4.825125872598293e-09,2.156791235032393e-09,3.319878901003469e-08,0.0009980870577462524,-4.663552308693222e-08,1.041625206468146e-12,2.837365348718465e-08,-0.000525290397287631,1.111797597520372e-08,0.0,0.0,0.0009980892155318653,-1.330859316445289e-08
1,23.26305067153623,0.0,-4.311520549915571e-06,-1.002779182491486e-05,4.291776505604592,-0.0001737472962003623,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892154927367,-1.382925598836262e-05,0.0,0.0,-0.0004727557104035607,2.407730409801373e-09,-9.93776657959256e-13,-1.331540801782522e-10,2.155760274957785e-09,5.013895912457433e-09,2.156889307242095e-09,3.449760211691355e-08,0.0009980870576096533,-4.846001218545443e-08,1.124721026278589e-12,2.94836961766643e-08,-0.0005252903972549627,1.155293680809948e-08,0.0,0.0,0.0009980892154927367,-1.382925598836262e-08
1,24.17315480804101,0.0,-4.311552893376813e-06,-1.042010214220234e-05,4.291776505075596,-0.0001805446906919395,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892154504861,-1.437028834128337e-05,0.0,0.0,-0.0004727557103972324,2.501926370194877e-09,-9.931274128168679e-13,-1.383633745859496e-10,2.155776446688407e-09,5.210051071101171e-09,2.15699520432353e-09,3.584722778432951e-08,0.0009980870574621545,-5.035587950019882e-08,1.214445828583223e-12,3.063716629312619e-08,-0.0005252903972198519,1.200491431070258e-08,0.0,0.0,0.0009980892154504862,-1.437028834128337e-08
1,25.11886431509577,0.0,-4.311587816996365e-06,-1.082776054276388e-05,4.291776504504403,-0.0001876080149135521,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892154048653,-1.493248712609593e-05,0.0,0.0,-0.0004727557103902658,2.599807493540288e-09,-9.924263740380263e-13,-1.43776468595413e-10,2.155793908498183e-09,5.413880271381941e-09,2.157109548762903e-09,3.724965391665898e-08,0.0009980870573028902,-5.232591751135035e-08,1.311328441533282e-12,3.183576281751652e-08,-0.0005252903971818268,1.247457421431858e-08,0.0,0.0,0.0009980892154048653,-1.493248712609593e-08
1,26.10157215682533,0.0,-4.311625526609575e-06,-1.125136747895755e-05,4.291776503887644,-0.0001949476726485859,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892153556051,-1.551668042235502e-05,0.0,0.0,-0.0004727557103827718,2.701517951895932e-09,-9.916694097770038e-13,-1.494013353169722e-10,2.155812763304788e-09,5.625683739478773e-09,2.157233014800983e-09,3.870694618967068e-08,0.0009980870571309208,-5.437302794734269e-08,1.415939880631059e-12,3.308125119882443e-08,-0.0005252903971407763,1.296260829519227e-08,0.0,0.0,0.000998089215355605,-1.551668042235502e-08
1,27.12272579332025,0.0,-4.311666244705137e-06,-1.169154689421865e-05,4.291776503221683,-0.0002025744747003636,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892153024149,-1.612372870599226e-05,0.0,0.0,-0.0004727557103747504,2.807207557671871e-09,-9.908520585694156e-13,-1.552462597874498e-10,2.155833122352568e-09,5.845773447109325e-09,2.15736633121814e-09,4.022125109312068e-08,0.0009980870569452327,-5.65002260589004e-08,1.528896714232593e-12,3.437546595446445e-08,-0.0005252903970965617,1.346973539344677e-08,0.0,0.0,0.000998089215302415,-1.612372870599227e-08
1,28.1838293126445,0.0,-4.311710211091224e-06,-1.214894714208449e-05,4.291776502502592,-0.0002104996548156969,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892152449817,-1.675452611673667e-05,0.0,0.0,-0.0004727557103660074,2.917031984271825e-09,-9.899695030368335e-13,-1.613198511734482e-10,2.155855105545612e-09,6.074473571042244e-09,2.157510282172067e-09,4.179479909238086e-08,0.0009980870567447304,-5.871064506029098e-08,1.650864697533862e-12,3.572031337239149e-08,-0.0005252903970487111,1.39967024718866e-08,0.0,0.0,0.0009980892152449817,-1.675452611673667e-08
1,29.28644564625232,0.0,-4.311757685115936e-06,-1.262424194117356e-05,4.291776501726134,-0.0002187348862314066,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892151829667,-1.741000177511964e-05,0.0,0.0,-0.0004727557103566538,3.031152995405318e-09,-9.890165414936932e-13,-1.676310554520623e-10,2.155878842557968e-09,6.312120970586779e-09,2.157665717211398e-09,4.342990791375769e-08,0.0009980870565282325,-6.10075407443294e-08,1.782562696458814e-12,3.711777431892897e-08,-0.0005252903969971134,1.454428571620368e-08,0.0,0.0,0.0009980892151829667,-1.741000177511964e-08
1,30.43219887107717,0.0,-4.311808945889339e-06,-1.311813136752557e-05,4.29177650088774,-0.0002272922988681773,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892151160045,-1.809112115100402e-05,0.0,0.0,-0.0004727557103464397,3.149738683361434e-09,-9.87987557289125e-13,-1.741891685876871e-10,2.15590447294467e-09,6.559065683762783e-09,2.157833551838142e-09,4.512898595833959e-08,0.0009980870562944653,-6.33942962779313e-08,1.924766924576151e-12,3.856990715644544e-08,-0.0005252903969413247,1.511329167828377e-08,0.0,0.0,0.0009980892151160044,-1.809112115100402e-08
