case,frequency_real,frequency_imag,v(bufferin)_real,v(bufferin)_imag,v(direct)_real,v(direct)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(out)_real,v(out)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(rl1)_real,i(rl1)_imag,i(rs2)_real,i(rs2)_imag,i(vn)_real,i(vn)_imag,i(rs1)_real,i(rs1)_imag,i(rl2)_real,i(rl2)_imag
1,70.7945784384136,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888988634441,-7.794939980260454e-06,0.0,0.0,-0.004999938488993487,3.897465703119796e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938488993487,3.897465703119796e-08,9.900990099009902e-05,0.0,0.009999888988634442,-7.794939980260454e-08
1,73.56422544596393,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888988586018,-8.09989599050593e-06,0.0,0.0,-0.00499993848896927,4.049943540524797e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.00499993848896927,4.049943540524797e-08,9.900990099009902e-05,0.0,0.009999888988586017,-8.09989599050593e-08
1,76.44222742525982,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888988533732,-8.41678258243581e-06,0.0,0.0,-0.004999938488943124,4.208386662210516e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938488943124,4.208386662210516e-08,9.900990099009902e-05,0.0,0.009999888988533732,-8.41678258243581e-08
1,79.43282347242791,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888988477272,-8.746066507891092e-06,0.0,0.0,-0.004999938488914904,4.373028443840727e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938488914904,4.373028443840727e-08,9.900990099009902e-05,0.0,0.009999888988477272,-8.746066507891092e-08
1,82.5404185268016,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888988416313,-9.08823277912006e-06,0.0,0.0,-0.004999938488884421,4.544111391272822e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938488884421,4.544111391272822e-08,9.900990099009902e-05,0.0,0.009999888988416314,-9.08823277912006e-08
1,85.76958985908915,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888988350487,-9.443785383167437e-06,0.0,0.0,-0.00499993848885151,4.721887497751997e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.00499993848885151,4.721887497751997e-08,9.900990099009902e-05,0.0,0.009999888988350487,-9.443785383167437e-08
1,89.12509381337428,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888988279414,-9.813248024212167e-06,0.0,0.0,-0.004999938488815969,4.906618615079699e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938488815969,4.906618615079699e-08,9.900990099009902e-05,0.0,0.009999888988279413,-9.813248024212167e-08
1,92.61187281287906,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888988202669,-1.019716489494709e-05,0.0,0.0,-0.004999938488777604,5.098576839303044e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938488777604,5.098576839303044e-08,9.900990099009902e-05,0.0,0.00999988898820267,-1.019716489494709e-07
1,96.23506263980856,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888988119799,-1.059610147813681e-05,0.0,0.0,-0.004999938488736165,5.298044911493356e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938488736165,5.298044911493356e-08,9.900990099009902e-05,0.0,0.0099998889881198,-1.059610147813681e-07
1,99.99999999999969,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888988030324,-1.101064537953435e-05,0.0,0.0,-0.004999938488691423,5.505316634203969e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938488691423,5.505316634203969e-08,9.900990099009902e-05,0.0,0.009999888988030324,-1.101064537953435e-07
1,103.9122303835166,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888987933706,-1.144140719338335e-05,0.0,0.0,-0.004999938488643108,5.720697304220897e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938488643108,5.720697304220897e-08,9.900990099009902e-05,0.0,0.009999888987933706,-1.144140719338335e-07
