case,frequency_real,frequency_imag,v(fb1)_real,v(fb1)_imag,v(hp)_real,v(hp)_imag,v(lp)_real,v(lp)_imag,v(vn)_real,v(vn)_imag,v(fb2)_real,v(fb2)_imag,v(high)_real,v(high)_imag,v(in)_real,v(in)_imag,v(low)_real,v(low)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(clp)_real,i(clp)_imag,i(rg1)_real,i(rg1)_imag,i(rhp)_real,i(rhp)_imag,i(rf2)_real,i(rf2)_imag,i(vn)_real,i(vn)_imag,i(rlp)_real,i(rlp)_imag,i(rf1)_real,i(rf1)_imag,i(chp)_real,i(chp)_imag,i(rg2)_real,i(rg2)_imag
1,2.154434690031882,0.0,0.9999879765769227,-0.0001357960930969132,1.832389141667629e-08,0.0001353657677587332,0.999989981776291,-0.0001353644141145921,0.0,0.0,1.838232655895982e-08,0.0001353654963206619,3.676483694118525e-08,0.000270732346296287,1.0,0.0,1.999985953033611,-0.0002715935441547574,0.0,0.0,-4.998887505167082e-05,2.152552552300629e-11,-1.003654778375901e-09,-2.707315355310028e-08,1.832389141667629e-12,1.353657677587332e-08,9.999879765769227e-05,-1.357960930969132e-08,1.832389141667629e-12,1.353657677587332e-08,1.838251038222543e-12,1.353668499756252e-08,-4.998887505167082e-05,2.152552552300629e-11,1.001822370905181e-09,1.353644141145921e-08,9.999979764566888e-05,-1.357974510578442e-08,1.832407465559045e-12,1.353671214164108e-08,1.838232655895983e-12,1.353654963206619e-08
1,2.238721138568337,0.0,0.9999879751104696,-0.0001411087489044059,1.978568279999442e-08,0.0001406615882482534,0.9999899803145141,-0.0001406601816464369,0.0,0.0,1.984877961514674e-08,0.0001406613061902416,3.969775771808965e-08,0.0002813240189935451,1.0,0.0,1.99998595010069,-0.0002822189088963009,0.0,0.0,-4.998887505169858e-05,2.236765366668721e-11,-1.003947136655902e-09,-2.813231765105728e-08,1.978568279999442e-12,1.406615882482534e-08,9.999879751104696e-05,-1.411087489044059e-08,1.978568279999442e-12,1.406615882482534e-08,1.98489781029429e-12,1.406627128033036e-08,-4.998887505169858e-05,2.236765366668721e-11,1.001968548586252e-09,1.406601816464369e-08,9.999979749902208e-05,-1.41110159991895e-08,1.978588065682241e-12,1.406629948641359e-08,1.984877961514674e-12,1.406613061902416e-08
1,2.326305067153623,0.0,0.99998797352703,-0.0001466292480214018,2.136408882340733e-08,0.0001461645934109319,0.9999899787361239,-0.0001461631317796141,0.0,0.0,2.143221919712291e-08,0.0001461643003174228,4.286465271643779e-08,0.0002923300622778488,1.0,0.0,1.999985946933796,-0.0002932599623352839,0.0,0.0,-4.998887505167082e-05,2.324272781076102e-11,-1.004262817856282e-09,-2.923291868364801e-08,2.136408882340733e-12,1.461645934109319e-08,9.9998797352703e-05,-1.466292480214018e-08,2.136408882340733e-12,1.461645934109319e-08,2.143243351931489e-12,1.46165761960426e-08,-4.998887505167082e-05,2.324272781076102e-11,1.002126387605884e-09,1.461631317796141e-08,9.999979734067659e-05,-1.466307143138821e-08,2.136430246429556e-12,1.46166055056866e-08,2.143221919712291e-12,1.461643003174228e-08
1,2.417315480804101,0.0,0.999987971817271,-0.0001523657217539344,2.306841243796222e-08,0.0001518828887854408,0.9999899770318175,-0.0001518813699717411,0.0,0.0,2.314197792317463e-08,0.0001518825842246102,4.628418726612849e-08,0.0003037666872750627,1.0,0.0,1.99998594351426,-0.0003047329671650862,0.0,0.0,-4.998887505165694e-05,2.415203687001696e-11,-1.004603682567568e-09,-3.037657775860696e-08,2.306841243796222e-12,1.518828887854408e-08,9.99987971817271e-05,-1.523657217539344e-08,2.306841243796222e-12,1.518828887854408e-08,2.314220934295386e-12,1.518841030504525e-08,-4.998887505165694e-05,2.415203687001696e-11,1.002296818253257e-09,1.518813699717411e-08,9.999979716969895e-05,-1.523672454111519e-08,2.30686431220866e-12,1.518844076143286e-08,2.314197792317463e-12,1.518825842246102e-08
1,2.511886431509577,0.0,0.9999879699711155,-0.0001583266195230873,2.490869873900408e-08,0.000157824897017425,0.9999899751915495,-0.0001578233187842372,0.0,0.0,2.498813292259438e-08,0.0001578245805405439,4.997651572651799e-08,0.0003156507393268933,1.0,0.0,1.999985939821931,-0.0003166548223123699,0.0,0.0,-4.99888750516847e-05,2.509692019836223e-11,-1.004971739836208e-09,-3.156497940506323e-08,2.490869873900408e-12,1.57824897017425e-08,9.999879699711155e-05,-1.583266195230873e-08,2.490869873900408e-12,1.57824897017425e-08,2.498838280392361e-12,1.578261587863494e-08,-4.99888750516847e-05,2.509692019836223e-11,1.00248084504706e-09,1.578233187842372e-08,9.999979698508154e-05,-1.583282027892826e-08,2.490894782599147e-12,1.578264752663952e-08,2.498813292259438e-12,1.578245805405439e-08
1,2.610157215682533,0.0,0.9999879679776827,-0.000164520721310343,2.689579417083563e-08,0.0001639993702654126,0.9999899732044738,-0.0001639977302881097,0.0,0.0,2.698156522914522e-08,0.0001639990414061842,5.396340027394274e-08,0.0003279997228027825,1.0,0.0,1.999985935835046,-0.0003290430878278992,0.0,0.0,-4.998887505167082e-05,2.607876953191553e-11,-1.005369158926225e-09,-3.279987405472249e-08,2.689579417083562e-12,1.639993702654126e-08,9.999879679776828e-05,-1.64520721310343e-08,2.689579417083562e-12,1.639993702654126e-08,2.698183504479752e-12,1.640006813965983e-08,-4.998887505167082e-05,2.607876953191553e-11,1.002679552619679e-09,1.639977302881097e-08,9.999979678573628e-05,-1.645223665175562e-08,2.689606312877733e-12,1.640010102591152e-08,2.698156522914522e-12,1.639990414061842e-08
1,2.712272579332025,0.0,0.999987965825224,-0.0001709571505898153,2.904141045443498e-08,0.0001704154030920664,0.9999899710588791,-0.0001704136989550769,0.0,0.0,2.91340239126449e-08,0.0001704150613659376,5.826833916552894e-08,0.0003408318268824888,1.0,0.0,1.999985931530107,-0.0003419160107511366,0.0,0.0,-4.998887505169858e-05,2.709903107440221e-11,-1.005798282176615e-09,-3.408308062011741e-08,2.904141045443499e-12,1.704154030920664e-08,9.99987965825224e-05,-1.709571505898153e-08,2.904141045443499e-12,1.704154030920664e-08,2.913431525288404e-12,1.704167655165513e-08,-4.998887505169858e-05,2.709903107440221e-11,1.002894112089869e-09,1.704136989550769e-08,9.999979657048826e-05,-1.709588601613213e-08,2.904170086853952e-12,1.704171072460973e-08,2.91340239126449e-12,1.704150613659376e-08
1,2.81838293126445,0.0,0.9999879635010521,-0.0001776453877664148,3.135819361501304e-08,0.0001770824458597654,0.999989968742119,-0.0001770806750530149,0.0,0.0,3.145819532665296e-08,0.0001770820907632106,6.291670523525919e-08,0.000354165952347329,1.0,0.0,1.999985926881739,-0.0003552925519867073,0.0,0.0,-4.998887505171246e-05,2.815920760457225e-11,-1.00626163881596e-09,-3.541648917372388e-08,3.135819361501305e-12,1.770824458597654e-08,9.999879635010522e-05,-1.776453877664148e-08,3.135819361501304e-12,1.770824458597654e-08,3.145850990860623e-12,1.770838615841183e-08,-4.998887505171246e-05,2.815920760457225e-11,1.003125788101578e-09,1.770806750530149e-08,9.999979633806875e-05,-1.776471642202925e-08,3.135850719694919e-12,1.77084216684224e-08,3.145819532665296e-12,1.770820907632106e-08
1,2.928644564625232,0.0,0.9999879609914694,-0.0001845952841397396,3.385979851625058e-08,0.0001840103186502448,0.9999899662405392,-0.0001840084785654591,0.0,0.0,3.396777788039865e-08,0.0001840099496600221,6.793589543857611e-08,0.0003680217394195408,1.0,0.0,1.999985921862549,-0.0003691924142323208,0.0,0.0,-4.99888750516847e-05,2.9260860681874e-11,-1.006761959802051e-09,-3.680206373188905e-08,3.385979851625058e-12,1.840103186502448e-08,9.999879609914695e-05,-1.845952841397396e-08,3.385979851625059e-12,1.840103186502448e-08,3.396811755817746e-12,1.840117897595188e-08,-4.99888750516847e-05,2.9260860681874e-11,1.003375946084795e-09,1.840084785654592e-08,9.999979608710798e-05,-1.845971300925812e-08,3.386013711423574e-12,1.840121587534313e-08,3.396777788039865e-12,1.840099496600221e-08
1,3.043219887107717,0.0,0.9999879582816841,-0.000191817076414258,3.656096934051061e-08,0.0001912092257287972,0.9999899635393955,-0.0001912073136556607,0.0,0.0,3.667756277564567e-08,0.0001912088423011746,7.335549232691911e-08,0.0003824195966907723,1.0,0.0,1.999985916442951,-0.0003836360709992802,0.0,0.0,-4.998887505167082e-05,3.040561296732453e-11,-1.007302193947299e-09,-3.824184514767152e-08,3.656096934051061e-12,1.912092257287972e-08,9.999879582816841e-05,-1.91817076414258e-08,3.65609693405106e-12,1.912092257287973e-08,3.667792955127345e-12,1.912107543895977e-08,-4.998887505167082e-05,3.040561296732453e-11,1.003646060449004e-09,1.912073136556607e-08,9.999979581612675e-05,-1.918189945850222e-08,3.656133495020401e-12,1.912111378210545e-08,3.667756277564568e-12,1.912088423011746e-08
