case,frequency_real,frequency_imag,v(base)_real,v(base)_imag,v(in)_real,v(in)_imag,v(source)_real,v(source)_imag,v(drain)_real,v(drain)_imag,v(out)_real,v(out)_imag,v(vdd)_real,v(vdd)_imag,i(vdd)_real,i(vdd)_imag,id(j1)_real,id(j1)_imag,i(rs)_real,i(rs)_imag,ic(q1)_real,ic(q1)_imag,ib(q1)_real,ib(q1)_imag,ic(q2)_real,ic(q2)_imag,ib(q2)_real,ib(q2)_imag,i(vin)_real,i(vin)_imag,i(rd)_real,i(rd)_imag,i(rb)_real,i(rb)_imag,i(rl)_real,i(rl)_imag,i(rf)_real,i(rf)_imag
1,21.54434690031881,0.0,1.321541970585749,-1.278826436632362e-06,1.0,0.0,0.9929904250978955,-4.473314748051932e-07,-0.01496597574092141,-7.56086166659231e-08,1.285893446284659,-1.189615721224153e-06,0.0,0.0,-0.0004915100875642533,4.672778762743402e-10,8.003167215065443e-06,4.569624556816838e-10,0.0003009061894236047,-1.355549923652101e-10,-0.0001343882226297664,-3.16821975873327e-10,-8.765121003410513e-07,-4.209583525074361e-10,0.0003491186977194229,-1.241062307829354e-09,2.234025571192834e-06,4.447046195365655e-10,-1.021775462843573e-12,-1.497667983720661e-10,7.126655114724479e-06,3.600410317424909e-11,0.0001321541970585749,-1.278826436632362e-10,5.844970210384814e-05,-5.407344187382514e-11,0.0002929030211867637,-7.422842464189597e-10
1,22.38721138568337,0.0,1.321541970585731,-1.328857073038782e-06,1.0,0.0,0.9929904250978838,-4.648321126775693e-07,-0.01496597574092864,-7.856659993968463e-08,1.285893446284643,-1.236156228917018e-06,0.0,0.0,-0.0004915100875642568,4.85558863325391e-10,8.003167215082041e-06,4.748398797141441e-10,0.0003009061894236011,-1.408582159628998e-10,-0.0001343882226298056,-3.292167814751095e-10,-8.765121003540617e-07,-4.374272130761992e-10,0.0003491186977193708,-1.289615524514647e-09,2.234025571238153e-06,4.621024887789668e-10,-1.021759500806911e-12,-1.556260205624049e-10,7.126655114727926e-06,3.741266663794506e-11,0.0001321541970585731,-1.328857073038782e-10,5.844970210384743e-05,-5.61889194962281e-11,0.0002929030211867596,-7.713241162394488e-10
1,23.26305067153623,0.0,1.321541970585711,-1.380845023203763e-06,1.0,0.0,0.9929904250978709,-4.830174158220985e-07,-0.01496597574093793,-8.164030633381598e-08,1.285893446284625,-1.284517508492489e-06,0.0,0.0,-0.0004915100875642776,5.04555044706307e-10,8.003167215100354e-06,4.934167097613931e-10,0.0003009061894235972,-1.463689138854844e-10,-0.0001343882226298614,-3.420965004275715e-10,-8.765121003682106e-07,-4.545403734119581e-10,0.0003491186977193165,-1.340068254895274e-09,2.234025571287213e-06,4.801810027479528e-10,-1.021742265396185e-12,-1.617144690235128e-10,7.126655114732346e-06,3.887633634943618e-11,0.0001321541970585711,-1.380845023203763e-10,5.844970210384659e-05,-5.838715947693131e-11,0.0002929030211867543,-8.015000926703903e-10
1,24.17315480804101,0.0,1.321541970585688,-1.434866861750885e-06,1.0,0.0,0.9929904250978568,-5.019141699215888e-07,-0.01496597574094701,-8.483426320340533e-08,1.285893446284606,-1.334770792741386e-06,0.0,0.0,-0.0004915100875642862,5.242944004668622e-10,8.003167215120395e-06,5.127203081980533e-10,0.000300906189423593,-1.520952030065421e-10,-0.000134388222629913,-3.554801036582652e-10,-8.765121003834436e-07,-4.723230400059528e-10,0.0003491186977192554,-1.39249481232318e-09,2.234025571340068e-06,4.989667898333191e-10,-1.021723655027769e-12,-1.680411116152019e-10,7.126655114736671e-06,4.039726819209778e-11,0.0001321541970585688,-1.434866861750885e-10,5.844970210384571e-05,-6.067139967006299e-11,0.0002929030211867488,-8.328566228197972e-10
1,25.11886431509577,0.0,1.321541970585666,-1.491002159079362e-06,1.0,0.0,0.9929904250978425,-5.215502085764507e-07,-0.01496597574095568,-8.815317502407568e-08,1.285893446284587,-1.386990101245366e-06,0.0,0.0,-0.000491510087564288,5.448060053010534e-10,8.003167215140812e-06,5.327791078778549e-10,0.0003009061894235887,-1.580455177504396e-10,-0.0001343882226299583,-3.693873042808909e-10,-8.765121003997609e-07,-4.908014054854362e-10,0.0003491186977191895,-1.446972417459799e-09,2.234025571397206e-06,5.18487520188821e-10,-1.021703560014191e-12,-1.746152670406199e-10,7.126655114740802e-06,4.197770239241699e-11,0.0001321541970585666,-1.491002159079362e-10,5.844970210384484e-05,-6.304500460206207e-11,0.000292903021186744,-8.654398926689149e-10
1,26.10157215682533,0.0,1.321541970585641,-1.549333598565823e-06,1.0,0.0,0.9929904250978265,-5.419544543016945e-07,-0.01496597574096666,-9.160193032139946e-08,1.285893446284565,-1.44125234940272e-06,0.0,0.0,-0.0004915100875643053,5.661200713716861e-10,8.003167215163566e-06,5.536226540133079e-10,0.0003009061894235838,-1.64228622515665e-10,-0.000134388222630022,-3.838385866317999e-10,-8.765121004175689e-07,-5.100026871935929e-10,0.0003491186977191231,-1.503581312016796e-09,2.234025571458951e-06,5.387719464883745e-10,-1.021681861917644e-12,-1.814466185720523e-10,7.126655114746029e-06,4.361996681971403e-11,0.0001321541970585642,-1.549333598565823e-10,5.844970210384386e-05,-6.551147042739635e-11,0.0002929030211867385,-8.992978951010253e-10
1,27.12272579332025,0.0,1.321541970585615,-1.609947098351016e-06,1.0,0.0,0.9929904250978092,-5.631569611277284e-07,-0.014965975740978,-9.518560887131531e-08,1.285893446284541,-1.497637461719266e-06,0.0,0.0,-0.0004915100875643227,5.882679928111266e-10,8.00316721518821e-06,5.752816476936737e-10,0.0003009061894235785,-1.706536245841601e-10,-0.0001343882226300862,-3.988552364416221e-10,-8.76512100436705e-07,-5.299551672787624e-10,0.0003491186977190513,-1.562404876946427e-09,2.234025571525521e-06,5.59849946276739e-10,-1.021658432851922e-12,-1.885452283137035e-10,7.12665511475143e-06,4.532648041491205e-11,0.0001321541970585615,-1.609947098351016e-10,5.844970210384278e-05,-6.807443007814845e-11,0.0002929030211867321,-9.344805005915376e-10
1,28.1838293126445,0.0,1.321541970585586,-1.672931937891336e-06,1.0,0.0,0.9929904250977908,-5.851889588678836e-07,-0.01496597574099021,-9.890948918231413e-08,1.285893446284516,-1.556228489531656e-06,0.0,0.0,-0.00049151008756434,6.112823919623839e-10,8.003167215214454e-06,5.977879911055747e-10,0.0003009061894235729,-1.773299875357223e-10,-0.000134388222630155,-4.144593721879427e-10,-8.765121004574404e-07,-5.506882343520928e-10,0.0003491186977189719,-1.623529755255908e-09,2.234025571597512e-06,5.817525659770588e-10,-1.021633134728679e-12,-1.959215520224759e-10,7.126655114757243e-06,4.709975675348292e-11,0.0001321541970585586,-1.672931937891336e-10,5.844970210384163e-05,-7.07376586150753e-11,0.0002929030211867252,-9.71039530663773e-10
1,29.28644564625232,0.0,1.321541970585555,-1.738380889461172e-06,1.0,0.0,0.9929904250977707,-6.080828991177277e-07,-0.01496597574100309,-1.027790562702838e-07,1.285893446284489,-1.617111733336148e-06,0.0,0.0,-0.0004915100875643504,6.351971674298481e-10,8.003167215243055e-06,6.211748345226582e-10,0.0003009061894235669,-1.842675451871902e-10,-0.0001343882226302266,-4.306739776739998e-10,-8.765121004797208e-07,-5.722324267749037e-10,0.0003491186977188846,-1.687045979626509e-09,2.234025571675195e-06,6.045120666200773e-10,-1.021605818443547e-12,-2.035864545085713e-10,7.126655114763378e-06,4.894240774775419e-11,0.0001321541970585555,-1.738380889461172e-10,5.844970210384041e-05,-7.350507878800671e-11,0.0002929030211867184,-1.00902883421842e-09
1,30.43219887107717,0.0,1.32154197058552,-1.806390354800014e-06,1.0,0.0,0.9929904250977488,-6.318725030540094e-07,-0.01496597574101798,-1.068000097375706e-07,1.285893446284458,-1.680376869903227e-06,0.0,0.0,-0.0004915100875643764,6.600475440093678e-10,8.003167215274172e-06,6.454766251336487e-10,0.0003009061894235603,-1.914765160769725e-10,-0.0001343882226303129,-4.475229358823681e-10,-8.765121005038714e-07,-5.946194776395703e-10,0.0003491186977187913,-1.753047105025388e-09,2.234025571759004e-06,6.281619713623852e-10,-1.021576322997336e-12,-2.115512256385966e-10,7.126655114770466e-06,5.085714749408122e-11,0.000132154197058552,-1.806390354800014e-10,5.844970210383902e-05,-7.638076681378305e-11,0.0002929030211867096,-1.048504366849218e-09
1,31.62277660168374,0.0,1.321541970585483,-1.877060507105544e-06,1.0,0.0,0.9929904250977252,-6.565928111036164e-07,-0.01496597574103324,-1.109782721681208e-07,1.285893446284426,-1.74611708436529e-06,0.0,0.0,-0.0004915100875643938,6.858701245717676e-10,8.003167215307814e-06,6.707291577806766e-10,0.0003009061894235531,-1.989675185162474e-10,-0.0001343882226303986,-4.650310641531558e-10,-8.765121005299193e-07,-6.178823615101406e-10,0.0003491186977186895,-1.821630346505603e-09,2.234025571849589e-06,6.527371148636914e-10,-1.021544474547115e-12,-2.198275969647501e-10,7.126655114777733e-06,5.284679627053373e-11,0.0001321541970585483,-1.877060507105544e-10,5.844970210383756e-05,-7.936895838024046e-11,0.0002929030211867013,-1.089524273261674e-09
1,32.85993247600649,0.0,1.321541970585444,-1.950495438581641e-06,1.0,0.0,0.9929904250977,-6.822802345556357e-07,-0.01496597574105006,-1.153199978509719e-07,1.285893446284392,-1.81442920747172e-06,0.0,0.0,-0.0004915100875644163,7.127029439768363e-10,8.00316721534369e-06,6.969696276825239e-10,0.0003009061894235455,-2.067515862289805e-10,-0.0001343882226304942,-4.832241507376449e-10,-8.765121005580544e-07,-6.42055342991584e-10,0.000349118697718581,-1.892896722397006e-09,2.234025571947384e-06,6.782736945958453e-10,-1.021510085381608e-12,-2.284277590045803e-10,7.126655114785742e-06,5.491428469093898e-11,0.0001321541970585444,-1.950495438581642e-10,5.8449702103836e-05,-8.247405488507819e-11,0.0002929030211866921,-1.132148972916085e-09
1,34.14548873833596,0.0,1.321541970585401,-2.026803313759083e-06,1.0,0.0,0.9929904250976727,-7.089726091926942e-07,-0.01496597574106795,-1.198315818451655e-07,1.285893446284354,-1.885413858213965e-06,0.0,0.0,-0.0004915100875644424,7.40585525095338e-10,8.003167215382563e-06,7.242366852206576e-10,0.0003009061894235372,-2.148401846038467e-10,-0.000134388222630595,-5.021289927832771e-10,-8.76512100588412e-07,-6.671740271991522e-10,0.0003491186977184677,-1.96695120309928e-09,2.234025572052985e-06,7.04809324159188e-10,-1.021472952814839e-12,-2.373643791967665e-10,7.126655114794261e-06,5.706265802150736e-11,0.0001321541970585401,-2.026803313759083e-10,5.844970210383428e-05,-8.570062991881659e-11,0.0002929030211866814,-1.176441249021271e-09
1,35.48133892335748,0.0,1.321541970585355,-2.106096528814257e-06,1.0,0.0,0.992990425097643,-7.36709251020394e-07,-0.0149659757410874,-1.245196693991513e-07,1.285893446284314,-1.959175592030205e-06,0.0,0.0,-0.0004915100875644667,7.695589370241274e-10,8.003167215424744e-06,7.525704928684994e-10,0.0003009061894235282,-2.232452275819376e-10,-0.0001343882226307051,-5.217734358033158e-10,-8.765121006212363e-07,-6.932754122022361e-10,0.0003491186977183383,-2.043902865695945e-09,2.234025572167044e-06,7.323830886847584e-10,-1.02143285799153e-12,-2.466506205593742e-10,7.126655114803526e-06,5.929508066626251e-11,0.0001321541970585355,-2.106096528814257e-10,5.844970210383246e-05,-8.905343600137296e-11,0.0002929030211866711,-1.222466341009812e-09
